t,mode,S,prom
0.0,5.0,5.0,0.0
0.01,5.0,5.0,0.0
0.02,5.0,5.0,0.0
0.03,5.0,5.0,0.0
0.04,5.0,5.0,0.0
0.05,5.0,5.0,0.0
0.06,5.0,5.0,0.0
0.07,5.0,5.0,0.007057293504476547
0.08,5.0,5.0,0.028324504941701887
0.08999999999999998,5.0,5.0,0.04959171637892723
0.1,5.0,5.0,0.07666432783007622
0.11,5.0,5.0,0.10221483930945396
0.121,5.0,5.0,0.12311045452952384
0.131,5.0,5.0,0.1440060697495937
0.141,5.0,5.0,0.16198449060320855
0.151,5.0,5.0,0.17873656526207923
0.161,5.0,5.0,0.19056123271584513
0.171,5.0,5.0,0.1880855653434992
0.181,5.0,5.0,0.166757670044899
0.191,5.0,5.0,0.14542977474629878
0.201,5.0,5.0,0.11653386522084476
0.211,5.0,5.0,0.08730168025940657
0.221,5.0,5.0,0.060315438173711294
0.231,5.0,5.0,0.030730832926929
0.241,5.0,5.0,0.0040634220466017725
0.251,5.0,5.0,-0.024708336777985097
0.261,5.0,5.0,-0.05089739877730608
0.271,5.0,5.0,-0.07019604053348302
0.281,5.0,5.0,-0.08576739896088838
0.291,5.0,5.0,-0.10133875738829376
0.301,5.0,5.0,-0.1166339535266161
0.311,5.0,5.0,-0.13088445514440536
0.321,5.0,5.0,-0.14433961287140845
0.331,5.0,5.0,-0.15514812171459197
0.341,5.0,5.0,-0.1659566305577755
0.351,5.0,5.0,-0.1696670651435852
0.361,5.0,5.0,-0.1674505814909935
0.371,5.0,5.0,-0.16383139193058013
0.381,5.0,5.0,-0.1604343667626381
0.391,5.0,5.0,-0.15703734159469604
0.401,5.0,5.0,-0.15324222594499587
0.411,5.0,5.0,-0.14800236821174623
0.421,5.0,5.0,-0.14073036313056947
0.431,5.0,5.0,-0.13401824235916138
0.441,5.0,5.0,-0.12730612158775328
0.451,5.0,5.0,-0.12460963279008866
0.461,5.0,5.0,-0.12415025383234024
0.471,5.0,5.0,-0.12094118744134905
0.481,5.0,5.0,-0.11036846712231636
0.491,5.0,5.0,-0.09979574680328368
0.501,5.0,5.0,-0.08268486373126507
0.511,5.0,5.0,-0.06540431305766106
0.521,5.0,5.0,-0.049764165282249445
0.531,5.0,5.0,-0.03345877416431904
0.541,5.0,5.0,-0.017153383046388627
0.551,5.0,5.0,0.0001988563686609268
0.561,5.0,5.0,0.017813558131456374
0.571,5.0,5.0,0.03484468907117844
0.581,5.0,5.0,0.04564935714006424
0.591,5.0,5.0,0.05942908376455307
0.601,5.0,5.0,0.06855570189654828
0.611,5.0,5.0,0.07615346536040307
0.621,5.0,5.0,0.08465223461389541
0.631,5.0,5.0,0.09299735911190508
0.641,5.0,5.0,0.10002520009875296
0.651,5.0,5.0,0.10236487872898578
0.661,5.0,5.0,0.09944263584911824
0.671,5.0,5.0,0.09152436964213848
0.681,5.0,5.0,0.08360610343515873
0.691,5.0,5.0,0.07215313082560897
0.701,5.0,5.0,0.05860348837450147
0.711,5.0,5.0,0.045533479843288656
0.7209999999999999,5.0,5.0,0.03499175831675529
0.731,5.0,5.0,0.02297044526785612
0.741,5.0,5.0,0.012266415730118751
0.751,5.0,5.0,0.001828186586499214
0.761,5.0,5.0,-0.004654759168624878
0.771,5.0,5.0,-0.009138724580407143
0.781,5.0,5.0,-0.0141774270683527
0.791,5.0,5.0,-0.018656481709331277
0.801,5.0,5.0,-0.01917738365009427
0.811,5.0,5.0,-0.017875279765576124
0.8219999999999998,5.0,5.0,-0.020883854106068613
0.8319999999999999,5.0,5.0,-0.022740311734378335
0.8419999999999999,5.0,5.0,-0.024596769362688065
0.852,5.0,5.0,-0.020603845827281475
0.862,5.0,5.0,-0.01633425196632743
0.872,5.0,5.0,-0.013345988839864731
0.882,5.0,5.0,-0.009555421280674636
0.892,5.0,5.0,-0.005764853721484542
0.902,5.0,5.0,-0.0037857261952012776
0.912,5.0,5.0,-0.005542309908196329
0.922,5.0,5.0,-0.006381737207993865
0.932,5.0,5.0,-0.0031029903795570133
0.942,5.0,5.0,0.00017575644887983798
0.952,5.0,5.0,0.0027517769951373337
0.962,5.0,5.0,0.002341623464599252
0.972,5.0,5.0,0.004097187099978328
0.982,5.0,5.0,0.00782623498234898
0.9920000000000002,5.0,5.0,0.011555282864719628
1.002,5.0,5.0,0.011431614495813846
1.012,5.0,5.0,0.01118616722524166
1.024,5.0,5.0,0.013570374064147472
1.034,5.0,5.0,0.0107445377856493
1.044,5.0,5.0,0.007918701507151129
1.054,5.0,5.0,0.0014690885320305825
1.064,5.0,5.0,-0.000758777093142271
1.074,5.0,5.0,-0.002233950421214104
1.084,5.0,5.0,-0.0065142115578055385
1.094,5.0,5.0,-0.010794472694396972
1.104,5.0,5.0,-0.012348291371017697
1.114,5.0,5.0,-0.010946855321526528
1.124,5.0,5.0,-0.01198140550404787
1.134,5.0,5.0,-0.0134965430945158
1.144,5.0,5.0,-0.015011680684983732
1.154,5.0,5.0,-0.013811123184859752
1.164,5.0,5.0,-0.012900430802255869
1.174,5.0,5.0,-0.015802808478474616
1.184,5.0,5.0,-0.01974253598600626
1.194,5.0,5.0,-0.023682263493537904
1.204,5.0,5.0,-0.025245954841375352
1.215,5.0,5.0,-0.027477189991623165
1.225,5.0,5.0,-0.03077650712803006
1.235,5.0,5.0,-0.03170543992891908
1.245,5.0,5.0,-0.03263437272980809
1.255,5.0,5.0,-0.033528306800872085
1.265,5.0,5.0,-0.03752846997231245
1.275,5.0,5.0,-0.03950984794646502
1.285,5.0,5.0,-0.036658625304698954
1.295,5.0,5.0,-0.03380740266293288
1.305,5.0,5.0,-0.031438594893552364
1.315,5.0,5.0,-0.02987320052925497
1.325,5.0,5.0,-0.025757990335114295
1.335,5.0,5.0,-0.020940343965776265
1.345,5.0,5.0,-0.016985206142999233
1.355,5.0,5.0,-0.01367987480480224
