t,k_pos,k_vel,k_acc,a_pos,a_vel,a_acc,e_pos,e_vel,e_acc,R10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8179999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8319999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8449999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9920000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
