t,mode,S,prom
0.0,5.0,5.0,-0.04614811539649964
0.01,5.0,5.0,-0.09229623079299928
0.02,5.0,5.0,-0.1384443461894989
0.03,5.0,5.0,-0.1845924615859985
0.04,5.0,5.0,-0.23074057698249817
0.05,5.0,5.0,-0.2768886923789978
0.06,5.0,5.0,-0.2769166475220118
0.07,5.0,5.0,-0.27694460266502574
0.08,5.0,5.0,-0.2773428626474924
0.08999999999999998,5.0,5.0,-0.27819885985227294
0.1,5.0,5.0,-0.2328785755787976
0.11,5.0,5.0,-0.18799602567451076
0.12,5.0,5.0,-0.14311347577022387
0.13,5.0,5.0,-0.09933052967535332
0.14,5.0,5.0,-0.056015133031178256
0.15,5.0,5.0,-0.012699736387003214
0.16,5.0,5.0,-0.015232860395917668
0.17,5.0,5.0,-0.017467526067048312
0.18,5.0,5.0,-0.019331886898726225
0.19,5.0,5.0,-0.020708562340587378
0.2,5.0,5.0,-0.021881106868386273
0.21,5.0,5.0,-0.022056331671774388
0.22,5.0,5.0,-0.021899835020303727
0.23,5.0,5.0,-0.020643734559416767
0.24,5.0,5.0,-0.01854239823296666
0.25,5.0,5.0,-0.015534213953651487
0.26,5.0,5.0,-0.011505236872471868
0.27,5.0,5.0,-0.006308745057322085
0.28,5.0,5.0,-0.0011122532421723008
0.29,5.0,5.0,0.005244405916891992
0.3,5.0,5.0,0.011949924542568624
0.31,5.0,5.0,0.018145597516559062
0.32,5.0,5.0,0.023749619885347784
0.33,5.0,5.0,0.029353642254136503
0.34,5.0,5.0,0.03447335071396083
0.35,5.0,5.0,0.0389561278745532
0.36,5.0,5.0,0.042516324296593674
0.37,5.0,5.0,0.044993012025952336
0.38,5.0,5.0,0.047469699755311005
0.39,5.0,5.0,0.04906937703490257
0.4,5.0,5.0,0.04979567937552929
0.41,5.0,5.0,0.049498780071735374
0.42,5.0,5.0,0.04844454564154148
0.43,5.0,5.0,0.04739031121134758
0.44,5.0,5.0,0.04587399736046791
0.45,5.0,5.0,0.043924606032669546
0.46,5.0,5.0,0.04152549989521504
0.47,5.0,5.0,0.03858499713242054
0.48,5.0,5.0,0.035644494369626044
