time,ax,ay,az,gx,gy,gz
1746730179.1086247,-0.85,-9.26,-7.88,0.01,0.0,-0.03
1746730179.2177637,-0.84,-9.33,-7.77,0.05,-0.01,-0.03
1746730179.2219841,-0.78,-9.41,-7.51,0.06,0.0,-0.03
1746730179.225363,-0.87,-9.4,-7.5,0.04,0.02,-0.02
1746730179.2276232,-0.86,-9.36,-7.6,0.01,0.02,-0.02
1746730179.229818,-0.8,-9.3,-7.65,0.02,0.03,-0.02
1746730179.2308767,-0.85,-9.34,-7.72,0.06,0.02,-0.03
1746730179.232984,-0.81,-9.4,-7.64,0.09,0.01,-0.03
1746730179.2339885,-0.77,-9.39,-7.57,0.08,0.02,-0.03
1746730179.2360709,-0.79,-9.41,-7.47,0.04,0.02,-0.02
1746730179.237101,-0.86,-9.34,-7.66,0.03,0.03,-0.01
1746730179.2628987,-0.78,-9.35,-7.71,0.05,0.02,-0.02
1746730179.2628987,-0.79,-9.36,-7.65,0.06,0.01,-0.02
1746730179.2628987,-0.84,-9.38,-7.64,0.08,0.01,-0.03
1746730179.2628987,-0.81,-9.44,-7.61,0.07,0.01,-0.02
1746730179.2628987,-0.83,-9.34,-7.57,0.05,0.01,-0.02
1746730179.2628987,-0.88,-9.32,-7.57,0.03,0.01,-0.02
1746730179.2628987,-0.82,-9.29,-7.7,0.04,0.01,-0.02
1746730179.271731,-0.84,-9.34,-7.66,0.05,0.01,-0.02
1746730179.271731,-0.91,-9.32,-7.57,0.06,0.01,-0.03
1746730179.271731,-0.87,-9.36,-7.63,0.05,0.0,-0.03
1746730179.295708,-0.87,-9.29,-7.49,0.01,-0.01,-0.04
1746730179.303918,-0.89,-9.39,-7.6,-0.01,0.0,-0.04
1746730179.303918,-0.84,-9.33,-7.68,0.0,-0.0,-0.03
1746730179.303918,-0.82,-9.36,-7.72,0.02,-0.02,-0.04
1746730179.311921,-0.83,-9.39,-7.58,0.03,-0.03,-0.04
1746730179.311921,-0.92,-9.35,-7.58,-0.0,-0.02,-0.04
1746730179.311921,-0.83,-9.35,-7.65,-0.06,-0.03,-0.05
1746730179.311921,-0.85,-9.37,-7.53,-0.08,-0.03,-0.05
1746730179.311921,-0.77,-9.44,-7.64,-0.09,-0.02,-0.04
1746730179.311921,-0.81,-9.32,-7.7,-0.05,-0.02,-0.04
1746730179.3367484,-0.8,-9.33,-7.6,-0.04,-0.04,-0.05
1746730179.3447888,-0.78,-9.46,-7.58,-0.07,-0.04,-0.05
1746730179.3450766,-0.81,-9.52,-7.48,-0.12,-0.03,-0.04
1746730179.3450766,-0.74,-9.5,-7.53,-0.17,-0.01,-0.03
1746730179.3450766,-0.9,-9.42,-7.67,-0.19,0.0,-0.02
1746730179.3450766,-0.8,-9.27,-7.9,-0.17,0.0,-0.03
1746730179.3450766,-0.8,-9.3,-7.89,-0.11,-0.01,-0.03
1746730179.3450766,-0.82,-9.26,-7.94,-0.05,-0.02,-0.04
1746730179.3533235,-0.86,-9.31,-7.8,-0.0,-0.02,-0.05
1746730179.3533235,-0.78,-9.46,-7.82,-0.01,-0.02,-0.04
1746730179.3780026,-0.9,-9.47,-7.67,-0.03,-0.0,-0.03
1746730179.3780026,-0.85,-9.35,-7.84,-0.01,-0.01,-0.04
1746730179.3780026,-0.78,-9.4,-7.83,0.02,-0.01,-0.04
1746730179.3780026,-0.86,-9.45,-7.81,0.03,-0.01,-0.04
1746730179.3863373,-0.83,-9.36,-7.86,0.05,-0.03,-0.05
1746730179.3863373,-0.72,-9.5,-7.67,0.03,-0.05,-0.06
1746730179.4031084,-0.81,-9.56,-7.59,-0.06,-0.04,-0.05
1746730179.4111497,-0.82,-9.45,-7.76,-0.1,-0.02,-0.04
1746730179.419489,-0.72,-9.24,-7.85,-0.05,-0.04,-0.06
1746730179.4275868,-0.69,-9.43,-7.91,-0.03,-0.08,-0.07
1746730179.4515274,-0.78,-9.51,-7.75,-0.1,-0.07,-0.07
1746730179.4515274,-0.82,-9.34,-7.8,-0.09,-0.05,-0.05
1746730179.4599776,-0.63,-9.45,-7.94,-0.06,-0.07,-0.06
1746730179.4684112,-0.69,-9.47,-7.71,-0.04,-0.07,-0.06
1746730179.4768085,-0.66,-9.57,-7.77,-0.04,-0.08,-0.06
1746730179.4934914,-0.58,-9.53,-7.58,-0.01,-0.08,-0.06
1746730179.5007617,-0.64,-9.75,-7.66,-0.14,-0.1,-0.06
1746730179.5131001,-0.98,-9.5,-7.52,-0.24,-0.02,-0.02
1746730179.5211098,-0.65,-9.34,-8.17,-0.23,-0.01,-0.02
1746730179.5292108,-0.69,-9.28,-8.33,-0.16,-0.03,-0.03
1746730179.5711172,-0.8,-9.3,-8.3,-0.07,-0.04,-0.03
1746730179.5791163,-0.97,-9.28,-8.12,0.06,-0.05,-0.03
1746730179.5793805,-0.83,-9.57,-8.04,0.05,-0.06,-0.05
1746730179.5793805,-0.85,-9.56,-7.88,-0.03,-0.05,-0.04
1746730179.5793805,-0.73,-9.44,-7.95,-0.02,-0.02,-0.04
1746730179.587771,-0.71,-9.42,-8.04,-0.02,-0.02,-0.03
1746730179.596203,-0.85,-9.3,-8.09,-0.0,-0.01,-0.02
1746730179.6123786,-0.71,-9.23,-8.26,0.08,-0.02,-0.04
1746730179.6207414,-0.69,-9.4,-8.03,0.11,-0.03,-0.04
