timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista
1774299647557,0.0218172,-0.663795,0.167048,-21.4201,-22.8003,30.6354,0,0,3.28492,-1
1774299647571,0.0286312,-0.805591,0.200099,-28.6573,-12.4191,23.0446,0,0,3.27809,-1
1774299647584,0.0441748,-0.903054,0.180989,-33.4631,-9.2626,19.8556,0,0,3.27703,-1
1774299647598,0.0556773,-0.944128,0.182066,-36.1023,-8.06319,18.6046,0,0,3.744,-1
1774299647611,0.0772996,-1.00976,0.17095,-38.6147,-8.19388,17.5231,0,0,3.2624,-1
1774299647625,0.0901334,-1.0374,0.161769,-43.0132,-9.50111,16.4101,0,0,3.25849,-1
1774299647638,0.0881488,-1.04229,0.163693,-46.4576,-11.5903,16.3403,0,0,3.29248,-1
1774299647651,0.0741136,-1.07303,0.144808,-49.9363,-12.814,15.7107,0,0,3.2502,-1
1774299647665,0.0515603,-1.09022,0.140459,-53.7808,-12.9968,13.2981,0,0,3.27055,-1
1774299647678,0.0287824,-1.1014,0.128521,-57.2475,-12.1121,10.0966,0,0,3.33814,0
1774299647692,0.0190125,-1.11201,0.12721,-58.8145,-11.3642,6.91978,0,0,3.38246,0
1774299647705,0.0139914,-1.1151,0.129231,-59.1622,-11.3212,3.7867,0,0,3.27105,0
1774299647718,0.000450361,-1.12996,0.11561,-60.5172,-12.2272,-0.291432,0,0,3.26874,0
1774299647732,-0.0229961,-1.13166,0.0999162,-61.5043,-11.2271,-3.88893,0,0,3.28614,1
1774299647745,-0.037377,-1.1334,0.0928721,-62.7285,-8.75732,-6.29268,0,0,3.29777,1
1774299647759,-0.0375469,-1.1254,0.0895722,-64.3092,-6.15791,-7.74083,0,0,3.29711,1
1774299647772,-0.0390802,-1.10935,0.0921074,-65.556,-4.28481,-8.21621,0,0,3.28429,1
1774299647786,-0.0338836,-1.09616,0.0895688,-66.1248,-2.34341,-7.92756,0,0,3.31677,1
1774299647799,-0.0329227,-1.07216,0.0988298,-65.2938,-0.135363,-7.2205,0,0,3.28048,1
1774299647813,-0.0316789,-1.04226,0.122699,-62.8703,2.16615,-6.44673,0,0,3.71327,1
1774299647826,-0.029347,-1.01721,0.145181,-60.4494,4.68217,-5.64323,0,0,3.28857,1
1774299647840,-0.0165329,-0.990804,0.16547,-57.0749,6.49978,-4.51807,0,0,3.29,2
1774299647853,-0.0011991,-0.967765,0.183939,-53.1988,6.99785,-2.32007,0,0,3.31161,2
1774299647867,0.0116482,-0.943693,0.201253,-48.6728,6.48249,0.869872,0,0,3.28064,2
1774299647880,0.0199979,-0.923719,0.218993,-43.5126,5.29643,4.32493,0,0,3.3052,2
1774299647893,0.0234512,-0.906128,0.234948,-37.8218,3.70319,7.57652,0,0,3.28103,5
1774299647907,0.023832,-0.893302,0.248374,-31.6372,2.11848,10.5787,0,0,3.83228,5
1774299647921,0.0265431,-0.884206,0.259959,-25.2959,0.500096,13.1454,0,0,3.28929,5
1774299647934,0.0275105,-0.876473,0.268526,-18.7298,-1.02645,15.3195,0,0,3.28955,5
1774299647948,0.0269652,-0.873031,0.275704,-11.8467,-2.10213,17.2508,0,0,3.32061,5
1774299647961,0.0260307,-0.873321,0.280249,-5.08882,-2.84379,18.6395,0,0,3.27848,5
1774299647974,0.0216175,-0.875911,0.28228,1.6696,-2.99156,19.3468,0,0,3.31192,5
1774299647988,0.0183707,-0.883956,0.283803,8.22061,-2.64929,19.3149,0,0,3.28431,5
1774299648001,0.013409,-0.897171,0.28361,13.9226,-1.79558,18.673,0,0,3.37031,4
1774299648015,0.00980469,-0.909199,0.281497,19.0109,-0.509122,17.6048,0,0,3.27876,4
1774299648028,0.00844055,-0.922324,0.278784,23.5358,0.925497,16.438,0,0,3.2752,4
1774299648041,0.0115533,-0.936925,0.276618,27.3094,2.1695,15.3589,0,0,3.31039,4
1774299648055,0.0180351,-0.95259,0.274646,30.037,2.88571,14.5188,0,0,3.29817,4
1774299648068,0.0248712,-0.959733,0.271813,32.2336,3.05422,14.0338,0,0,3.30894,4
1774299648082,0.0319093,-0.96245,0.270433,34.7717,2.65331,13.7537,0,0,3.28,4
1774299648095,0.0369298,-0.96467,0.269426,37.4145,1.93146,13.5647,0,0,3.32615,4
1774299648109,0.0416655,-0.967047,0.269196,40.2482,0.960297,13.2229,0,0,3.28011,4
1774299648123,0.0455657,-0.970442,0.268989,42.8587,-0.185399,12.6692,0,0,3.68872,4
1774299648136,0.0469009,-0.973804,0.267172,45.202,-1.40996,11.8851,0,0,3.28646,4
1774299648149,0.0482928,-0.979159,0.265698,47.0063,-2.64135,10.9297,0,0,3.29392,4
1774299648163,0.0478761,-0.981886,0.263887,47.9806,-3.87501,9.96808,0,0,3.2942,5
1774299648176,0.0471604,-0.973313,0.258578,49.6214,-5.00083,8.98936,0,0,3.28485,5
1774299648190,0.0469721,-0.968392,0.253543,52.7956,-6.01706,8.32583,0,0,3.3007,5
1774299648203,0.0479415,-0.974721,0.250791,55.7779,-7.20699,7.85469,0,0,3.31513,5
1774299648217,0.0444982,-0.975164,0.242971,58.2536,-8.3797,7.10418,0,0,3.9162,5
1774299648230,0.0415313,-0.970508,0.235047,61.9231,-8.97613,6.2006,0,0,3.28635,5
1774299648244,0.0427811,-0.978621,0.228958,65.8608,-9.40949,5.33085,0,0,3.27442,5
1774299648257,0.0469057,-0.994158,0.221357,68.3023,-10.1291,4.36478,0,0,3.30053,5
1774299648271,0.0497566,-1.00319,0.210244,69.62,-10.9704,3.1935,0,0,3.27127,5
1774299648284,0.056008,-1.00837,0.198123,70.9408,-11.9878,1.83171,0,0,3.28729,5
1774299648297,0.065274,-1.01554,0.187127,72.0282,-13.5541,0.429365,0,0,3.2735,5
1774299648311,0.0711482,-1.02906,0.175852,72.0107,-15.5465,-0.533816,0,0,3.35803,5
1774299648324,0.0753749,-1.0406,0.164256,70.7413,-17.8286,-1.13006,0,0,3.26907,5
1774299648338,0.0801444,-1.05306,0.152838,68.1776,-20.4953,-1.90848,0,0,3.26218,5
1774299648351,0.0837403,-1.06165,0.140748,64.5128,-23.6826,-3.00119,0,0,3.31037,5
1774299648364,0.0803704,-1.06273,0.125713,60.2805,-26.9101,-3.73374,0,0,3.2714,3
1774299648378,0.0698031,-1.04743,0.100656,57.0097,-29.3223,-3.39919,0,0,3.30202,3
1774299648391,0.0599447,-1.0404,0.0866759,56.375,-31.0742,-2.19548,0,0,3.28103,3
1774299648405,0.045884,-1.05524,0.0753715,55.596,-31.9596,-1.26234,0,0,3.3017,3
1774299648418,0.0284652,-1.073,0.0620898,51.2807,-31.6215,-1.23304,0,0,3.27513,3
1774299648432,0.0071302,-1.0783,0.0452124,45.8341,-29.309,-1.01722,0,0,3.69493,2
1774299648446,-0.00791433,-1.08131,0.0309619,40.9741,-25.8203,-0.582553,0,0,3.2875,2
1774299648459,-0.0281474,-1.08973,0.0211722,35.4421,-21.3721,-0.294454,0,0,3.28996,2
1774299648472,-0.0427457,-1.07507,0.0192133,29.578,-15.3165,-0.0791102,0,0,3.30113,2
1774299648486,-0.0458098,-1.06155,0.0271792,25.974,-10.0108,-0.894294,0,0,3.27953,2
1774299648499,-0.0547273,-1.04864,0.0818035,24.6585,-5.4231,-2.68032,0,0,3.29983,2
1774299648513,-0.0460395,-1.04477,0.140699,21.3396,-1.61662,-5.91936,0,0,3.28,2
1774299648526,-0.0328739,-1.05769,0.172936,14.8512,-0.41342,-10.0483,0,0,3.81715,2
1774299648540,-0.0212843,-1.06919,0.171423,6.08992,-1.78451,-11.7071,0,0,3.28118,2
1774299648553,-0.0125491,-1.0571,0.168724,0.0624923,-3.65943,-9.91771,0,0,3.29315,2
1774299648567,-0.0119777,-1.04776,0.170157,-2.32375,-4.36342,-8.35596,0,0,3.29537,2
1774299648580,-0.0105221,-1.04885,0.176769,-4.80602,-4.01751,-9.64018,0,0,3.28313,2
1774299648593,-0.00437063,-1.04044,0.184972,-6.72323,-3.29657,-11.5063,0,0,3.29778,2
1774299648607,0.0082802,-1.03449,0.191243,-7.48782,-3.02725,-11.7057,0,0,3.28763,2
1774299648621,0.015638,-1.03241,0.196127,-8.84033,-2.83514,-10.595,0,0,3.93446,5
1774299648634,0.0203098,-1.02469,0.19994,-10.5623,-2.56945,-9.83019,0,0,3.2789,5
1774299648648,0.0231621,-1.01551,0.201245,-11.237,-2.06,-9.73651,0,0,3.27804,5
1774299648661,0.0265093,-1.00791,0.204267,-11.4532,-1.33932,-9.75472,0,0,3.31159,5
1774299648674,0.0336856,-1.00489,0.206034,-11.701,-0.994826,-9.5959,0,0,3.28676,5
1774299648688,0.0403227,-1.00007,0.208792,-11.5855,-0.987408,-9.11753,0,0,3.30831,5
1774299648701,0.0436658,-0.996181,0.212241,-11.4503,-1.20351,-8.68442,0,0,3.2865,3
1774299648715,0.0461892,-0.992822,0.215646,-11.386,-1.36638,-8.40023,0,0,3.31255,3
1774299648729,0.0485485,-0.990647,0.215387,-11.3002,-1.46702,-8.2339,0,0,3.27778,3
1774299648742,0.0519262,-0.98768,0.217105,-10.9776,-1.52004,-8.14798,0,0,3.70639,3
1774299648756,0.0563098,-0.986937,0.219751,-10.8559,-1.58336,-8.02963,0,0,3.32157,3
1774299648769,0.0599992,-0.984101,0.219985,-10.9749,-1.69023,-7.80787,0,0,3.27983,3
1774299648783,0.0625015,-0.979038,0.220829,-10.8543,-1.87033,-7.52232,0,0,3.30585,3
1774299648796,0.0644135,-0.976975,0.22313,-10.6522,-2.11397,-7.34058,0,0,3.27703,3
1774299648809,0.0681111,-0.97763,0.224285,-10.7454,-2.22362,-7.18745,0,0,3.30005,3
1774299648823,0.0732489,-0.974251,0.227493,-10.7468,-2.35367,-6.75259,0,0,3.30994,3
1774299648837,0.0774675,-0.973124,0.227292,-10.9293,-2.59203,-6.11175,0,0,3.9227,3
1774299648850,0.080882,-0.969792,0.229631,-10.8823,-2.88982,-5.34072,0,0,3.28605,3
1774299648864,0.0846703,-0.972139,0.231569,-10.8718,-3.23128,-4.58211,0,0,3.28679,3
1774299648877,0.0882501,-0.976263,0.230912,-11.2678,-3.52918,-3.77228,0,0,3.313,3
1774299648890,0.0903383,-0.969569,0.236253,-11.463,-3.69004,-2.71543,0,0,3.27909,3
1774299648904,0.0914593,-0.971103,0.235637,-12.1988,-3.65904,-1.7808,0,0,3.28815,3
1774299648917,0.093941,-0.964486,0.236255,-12.7653,-3.44052,-0.565039,0,0,3.26583,3
1774299648931,0.0957267,-0.971635,0.231826,-13.1227,-3.4248,0.329035,0,0,3.35065,3
1774299648944,0.0961742,-0.96917,0.232771,-13.2057,-3.36201,1.24361,0,0,3.2715,3
1774299648957,0.0934305,-0.967326,0.232969,-13.2807,-3.3447,1.75276,0,0,3.30065,3
1774299648971,0.0939357,-0.970143,0.229678,-13.333,-3.38702,2.02826,0,0,3.30437,3
1774299648984,0.0927316,-0.974386,0.230492,-13.4043,-3.40385,2.25104,0,0,3.28255,3
1774299648998,0.0925839,-0.975517,0.233641,-13.9995,-3.23176,2.16374,0,0,3.30115,3
1774299649011,0.091738,-0.970245,0.230929,-14.8276,-3.11257,2.14342,0,0,3.27452,3
1774299649025,0.0907689,-0.963409,0.235169,-14.9422,-3.04031,2.54473,0,0,3.3637,3
1774299649038,0.0895965,-0.965629,0.232977,-15.6883,-2.8899,2.66275,0,0,3.28065,3
1774299649051,0.090846,-0.963513,0.226578,-16.0424,-2.81086,2.90818,0,0,3.27541,1
1774299649065,0.0936851,-0.962343,0.225286,-15.5275,-3.03343,3.01396,0,0,3.31215,1
