Starting real-time gait reader (100Hz). Press any key to stop.
Expected Class Range: 1-5.
[OK] MPU6050 initialized on /dev/i2c-1 (0x68)
ax:-0.129639 ay:-1.00024 az:-0.0739746 gx:-0.145038 gy:0 gz:-2.27481 | Class: -1 | Delay: 3.2668 ms
ax:-0.125488 ay:-1.02246 az:-0.0344238 gx:-1.08397 gy:-1.25954 gz:1.57252 | Class: -1 | Delay: 3.31075 ms
ax:-0.0629883 ay:-1.02808 az:-0.0913086 gx:-0.709924 gy:-1.55725 gz:0.648855 | Class: -1 | Delay: 3.26453 ms
ax:-0.144043 ay:-1.02222 az:-0.102783 gx:0.175573 gy:-1.12214 gz:-0.167939 | Class: -1 | Delay: 3.26412 ms
ax:-0.109375 ay:-0.986572 az:-0.065918 gx:0.320611 gy:-1.21374 gz:1.16031 | Class: -1 | Delay: 3.26319 ms
ax:-0.103271 ay:-1.00293 az:-0.0637207 gx:0.0305344 gy:-0.916031 gz:0.564885 | Class: -1 | Delay: 3.26429 ms
ax:-0.109131 ay:-0.986572 az:-0.0874023 gx:0.0534351 gy:-0.931298 gz:0.633588 | Class: -1 | Delay: 3.26567 ms
ax:-0.111572 ay:-0.983643 az:-0.081543 gx:0.320611 gy:-0.938931 gz:0.389313 | Class: -1 | Delay: 3.25564 ms
ax:-0.120361 ay:-1.00146 az:-0.0622559 gx:0.0381679 gy:-0.854962 gz:0.358779 | Class: -1 | Delay: 3.2604 ms
ax:-0.111328 ay:-0.990967 az:-0.0629883 gx:-0.251908 gy:-0.946565 gz:0.80916 | Class: 5 | Delay: 3.32743 ms
ax:-0.110352 ay:-0.990967 az:-0.0773926 gx:0.0534351 gy:-0.946565 gz:0.748092 | Class: 5 | Delay: 3.26727 ms
ax:-0.118164 ay:-0.99707 az:-0.0725098 gx:0.0763359 gy:-0.847328 gz:0.610687 | Class: 5 | Delay: 3.26508 ms
ax:-0.111084 ay:-0.994629 az:-0.0712891 gx:-0.0839695 gy:-0.839695 gz:0.709924 | Class: 5 | Delay: 3.2664 ms
ax:-0.107178 ay:-0.989258 az:-0.0783691 gx:0.167939 gy:-0.992366 gz:0.709924 | Class: 5 | Delay: 3.26912 ms
ax:-0.113281 ay:-0.995361 az:-0.0698242 gx:0.145038 gy:-0.824427 gz:0.641221 | Class: 5 | Delay: 3.26604 ms
ax:-0.111572 ay:-0.995605 az:-0.0749512 gx:0.0763359 gy:-0.755725 gz:0.427481 | Class: 5 | Delay: 3.28588 ms
ax:-0.104736 ay:-0.994629 az:-0.0737305 gx:-0.0305344 gy:-0.984733 gz:0.679389 | Class: 5 | Delay: 3.2826 ms
ax:-0.118164 ay:-0.98584 az:-0.0720215 gx:0.114504 gy:-0.885496 gz:0.450382 | Class: 1 | Delay: 3.27579 ms
ax:-0.116699 ay:-0.98877 az:-0.0656738 gx:-0.0610687 gy:-0.916031 gz:0.572519 | Class: 1 | Delay: 3.27371 ms
ax:-0.111572 ay:-0.991699 az:-0.0759277 gx:0.19084 gy:-1.07634 gz:0.687023 | Class: 5 | Delay: 3.27297 ms
ax:-0.108887 ay:-0.994629 az:-0.0737305 gx:0.00763359 gy:-0.977099 gz:0.59542 | Class: 5 | Delay: 3.27204 ms
ax:-0.111572 ay:-0.990967 az:-0.0693359 gx:0.0763359 gy:-0.969466 gz:0.534351 | Class: 1 | Delay: 3.27132 ms
ax:-0.115479 ay:-0.986328 az:-0.072998 gx:0.0534351 gy:-0.763359 gz:0.633588 | Class: 5 | Delay: 3.26912 ms
ax:-0.112793 ay:-0.992432 az:-0.0651855 gx:-0.145038 gy:-0.854962 gz:0.587786 | Class: 5 | Delay: 3.28305 ms
ax:-0.113525 ay:-0.991211 az:-0.0681152 gx:0.167939 gy:-1.24427 gz:0.610687 | Class: 5 | Delay: 3.27886 ms
ax:-0.104492 ay:-0.988037 az:-0.0783691 gx:-0.0381679 gy:-0.908397 gz:0.732824 | Class: 1 | Delay: 3.33134 ms
ax:-0.104736 ay:-0.992188 az:-0.0771484 gx:0.0229008 gy:-0.938931 gz:0.603053 | Class: 5 | Delay: 3.27229 ms
ax:-0.109375 ay:-0.990234 az:-0.0712891 gx:0.0229008 gy:-0.908397 gz:0.687023 | Class: 1 | Delay: 3.2649 ms
ax:-0.110107 ay:-0.986816 az:-0.0766602 gx:-0.129771 gy:-1 gz:0.70229 | Class: 5 | Delay: 3.26929 ms
ax:-0.114746 ay:-0.987061 az:-0.0761719 gx:0.0229008 gy:-0.961832 gz:0.633588 | Class: 1 | Delay: 3.26977 ms
ax:-0.112793 ay:-0.985352 az:-0.0712891 gx:0 gy:-1 gz:0.59542 | Class: 5 | Delay: 3.28029 ms
ax:-0.111084 ay:-0.989746 az:-0.0751953 gx:-0.0458015 gy:-0.801527 gz:0.633588 | Class: 5 | Delay: 3.27895 ms
ax:-0.111328 ay:-0.995361 az:-0.0756836 gx:-0.152672 gy:-0.954198 gz:0.740458 | Class: 1 | Delay: 3.26991 ms
ax:-0.112549 ay:-0.998535 az:-0.0698242 gx:-0.167939 gy:-0.854962 gz:0.656489 | Class: 5 | Delay: 3.26988 ms
ax:-0.110596 ay:-0.982422 az:-0.0812988 gx:0.282443 gy:-0.954198 gz:0.763359 | Class: 1 | Delay: 3.2698 ms
ax:-0.116211 ay:-0.988525 az:-0.0673828 gx:-0.0152672 gy:-1.03053 gz:0.694656 | Class: 1 | Delay: 3.27023 ms
ax:-0.109375 ay:-0.991211 az:-0.0756836 gx:-0.0458015 gy:-0.755725 gz:0.70229 | Class: 5 | Delay: 3.26925 ms
ax:-0.105713 ay:-0.990967 az:-0.072998 gx:0.129771 gy:-0.969466 gz:0.687023 | Class: 1 | Delay: 3.26997 ms
ax:-0.105469 ay:-0.984863 az:-0.0766602 gx:0.0992366 gy:-1.09924 gz:0.687023 | Class: 1 | Delay: 3.27645 ms
ax:-0.11084 ay:-0.989014 az:-0.0788574 gx:0.152672 gy:-1.03053 gz:0.763359 | Class: 1 | Delay: 3.27597 ms
ax:-0.114746 ay:-0.98291 az:-0.076416 gx:0.152672 gy:-0.961832 gz:0.587786 | Class: 1 | Delay: 3.2729 ms
ax:-0.117432 ay:-0.988037 az:-0.0776367 gx:-0.0916031 gy:-0.984733 gz:0.51145 | Class: 1 | Delay: 3.25914 ms
ax:-0.119141 ay:-0.994873 az:-0.0732422 gx:-0.0152672 gy:-0.755725 gz:0.618321 | Class: 1 | Delay: 3.27688 ms
ax:-0.114502 ay:-0.995361 az:-0.0725098 gx:0.122137 gy:-0.725191 gz:0.572519 | Class: 5 | Delay: 3.27016 ms
ax:-0.115479 ay:-0.993164 az:-0.0742188 gx:0.0381679 gy:-1.21374 gz:0.656489 | Class: 1 | Delay: 3.2639 ms
ax:-0.114502 ay:-0.992188 az:-0.0754395 gx:0.0916031 gy:-0.977099 gz:0.725191 | Class: 1 | Delay: 3.2813 ms
ax:-0.11377 ay:-0.990479 az:-0.0805664 gx:0.0687023 gy:-0.961832 gz:0.534351 | Class: 5 | Delay: 3.28129 ms
ax:-0.106934 ay:-0.989502 az:-0.0739746 gx:0.137405 gy:-0.961832 gz:0.671756 | Class: 5 | Delay: 3.27334 ms
ax:-0.111572 ay:-0.985596 az:-0.0759277 gx:0.114504 gy:-0.969466 gz:0.618321 | Class: 5 | Delay: 3.26947 ms
ax:-0.107666 ay:-0.993652 az:-0.0800781 gx:0.160305 gy:-0.793893 gz:0.763359 | Class: 5 | Delay: 3.27112 ms
ax:-0.111572 ay:-0.98877 az:-0.0805664 gx:0.00763359 gy:-0.885496 gz:0.679389 | Class: 1 | Delay: 3.27019 ms
ax:-0.109375 ay:-0.995117 az:-0.0710449 gx:0.0763359 gy:-0.854962 gz:0.557252 | Class: 1 | Delay: 3.27369 ms
ax:-0.117432 ay:-0.988281 az:-0.0712891 gx:-0.0839695 gy:-1.03053 gz:0.564885 | Class: 5 | Delay: 3.2691 ms
ax:-0.113037 ay:-0.98999 az:-0.0671387 gx:-0.00763359 gy:-0.908397 gz:0.610687 | Class: 5 | Delay: 3.27982 ms
ax:-0.111328 ay:-0.988281 az:-0.0827637 gx:0.0305344 gy:-1.07634 gz:0.580153 | Class: 5 | Delay: 3.27638 ms
ax:-0.108643 ay:-0.990234 az:-0.0668945 gx:-0.0152672 gy:-0.900763 gz:0.633588 | Class: 5 | Delay: 3.27016 ms
ax:-0.125732 ay:-0.973633 az:-0.0866699 gx:-16.0229 gy:1.27481 gz:0.366412 | Class: 5 | Delay: 3.26754 ms
ax:-0.102295 ay:-0.615723 az:-0.489502 gx:8.57252 gy:-5.38931 gz:-10.6489 | Class: 5 | Delay: 3.2791 ms
ax:-0.10376 ay:-1.50464 az:-0.441162 gx:-13.229 gy:2.70229 gz:-1.19847 | Class: 5 | Delay: 3.27097 ms
ax:-0.12793 ay:-1.02075 az:-0.414795 gx:-8.30534 gy:1.0687 gz:-6.58779 | Class: 5 | Delay: 3.27114 ms
ax:-0.0478516 ay:-0.835449 az:-0.582275 gx:12.2519 gy:3.49618 gz:-1.76336 | Class: 5 | Delay: 3.28162 ms
ax:0.065918 ay:-0.89624 az:-0.171875 gx:26.2519 gy:-5.93893 gz:-2.65649 | Class: 5 | Delay: 3.28043 ms
ax:-0.122314 ay:-1.21143 az:-0.0727539 gx:0.21374 gy:-1.29771 gz:-21.1603 | Class: 5 | Delay: 3.27266 ms
ax:-0.0839844 ay:-0.992188 az:-0.0610352 gx:40.6565 gy:11.6718 gz:-16.5954 | Class: 5 | Delay: 3.27032 ms
ax:-0.265625 ay:-1.06104 az:0.0703125 gx:19.8397 gy:32.4198 gz:-32.687 | Class: 5 | Delay: 3.26962 ms
ax:0.0744629 ay:-1.05762 az:0.13623 gx:5.94656 gy:46.4962 gz:-47.8244 | Class: 5 | Delay: 3.27197 ms
ax:-0.0717773 ay:-1.1665 az:0.176758 gx:19.9695 gy:57.1069 gz:-15.2901 | Class: 5 | Delay: 3.28008 ms
ax:-0.141357 ay:-1.18604 az:0.480225 gx:0.648855 gy:70.2366 gz:-32.1679 | Class: 5 | Delay: 3.27141 ms
ax:-0.0449219 ay:-0.673096 az:0.20166 gx:5.50382 gy:69.6183 gz:3.70992 | Class: 5 | Delay: 3.2781 ms
ax:-0.0891113 ay:-1.03711 az:0.0976562 gx:4.30534 gy:63.9542 gz:15.1908 | Class: 5 | Delay: 3.28229 ms
ax:0.282227 ay:-1.20044 az:-0.238281 gx:2.56489 gy:3.63359 gz:54.5115 | Class: 5 | Delay: 3.27838 ms
ax:0.000244141 ay:-0.762695 az:0.653076 gx:-24.0382 gy:15.5649 gz:59.4504 | Class: 5 | Delay: 3.27012 ms
ax:-0.113281 ay:-1.06714 az:-0.328857 gx:-49.771 gy:32.374 gz:56.1679 | Class: 5 | Delay: 3.26777 ms
ax:-0.238037 ay:-1.23413 az:-0.263428 gx:29.7099 gy:13.6412 gz:-17.3359 | Class: 5 | Delay: 3.27077 ms
ax:-0.141357 ay:-0.687744 az:0.216064 gx:1.1145 gy:26.1985 gz:-20.2824 | Class: 5 | Delay: 3.26675 ms
ax:-0.0227051 ay:-1.01807 az:-0.243896 gx:-5 gy:26.3588 gz:12.8321 | Class: 5 | Delay: 3.28106 ms
ax:-0.112305 ay:-0.988525 az:-0.0854492 gx:-3.47328 gy:23.4275 gz:23.7023 | Class: 5 | Delay: 3.2801 ms
ax:-0.202148 ay:-1.04321 az:0.0134277 gx:3.54198 gy:22.7176 gz:-5.26718 | Class: 5 | Delay: 3.27425 ms
ax:-0.138184 ay:-0.905518 az:-0.0490723 gx:-4.23664 gy:25.8244 gz:-12.5115 | Class: 5 | Delay: 3.27297 ms
ax:-0.09375 ay:-0.999268 az:-0.059082 gx:0.923664 gy:20.9084 gz:5.28244 | Class: 5 | Delay: 3.27008 ms
ax:-0.0922852 ay:-0.993896 az:-0.0378418 gx:3.70229 gy:16.9618 gz:-0.618321 | Class: 5 | Delay: 3.27062 ms
ax:-0.151611 ay:-1.02026 az:-0.101807 gx:0.137405 gy:17.1603 gz:1.75573 | Class: 5 | Delay: 3.27967 ms
ax:-0.127197 ay:-0.975342 az:-0.0871582 gx:1.49618 gy:15.4275 gz:1.09924 | Class: 5 | Delay: 3.27058 ms
ax:-0.110352 ay:-0.974854 az:-0.0964355 gx:-1.32061 gy:12.2595 gz:-1.56489 | Class: 5 | Delay: 3.28358 ms
ax:-0.133057 ay:-0.976807 az:-0.120361 gx:0.557252 gy:8.31298 gz:1.37405 | Class: 5 | Delay: 3.27934 ms
ax:-0.12207 ay:-0.987061 az:-0.0852051 gx:0.748092 gy:3.94656 gz:0.961832 | Class: 5 | Delay: 3.27303 ms
ax:-0.120605 ay:-1.00098 az:-0.0869141 gx:0.259542 gy:0.587786 gz:0.78626 | Class: 5 | Delay: 3.27403 ms
ax:-0.118164 ay:-0.983887 az:-0.0732422 gx:-0.503817 gy:-0.839695 gz:0.625954 | Class: 5 | Delay: 3.27471 ms
ax:-0.118164 ay:-1.00439 az:-0.0725098 gx:-0.175573 gy:-0.908397 gz:0.694656 | Class: 5 | Delay: 3.2719 ms
ax:-0.119629 ay:-0.995361 az:-0.0612793 gx:-0.343511 gy:-0.778626 gz:0.732824 | Class: 5 | Delay: 3.26447 ms
ax:-0.115723 ay:-0.995361 az:-0.0749512 gx:-0.152672 gy:-1.0458 gz:0.412214 | Class: 5 | Delay: 3.2809 ms
ax:-0.109375 ay:-0.976074 az:-0.065918 gx:0.0916031 gy:-0.916031 gz:0.778626 | Class: 5 | Delay: 3.28099 ms
ax:-0.125488 ay:-0.990723 az:-0.0708008 gx:0.656489 gy:0.221374 gz:1.37405 | Class: 5 | Delay: 3.27436 ms
ax:-0.0969238 ay:-1.00879 az:-0.0627441 gx:-0.755725 gy:-1.45038 gz:1.58779 | Class: 5 | Delay: 3.27225 ms
ax:-0.11792 ay:-1.02173 az:-0.0610352 gx:-1.30534 gy:-0.908397 gz:1.54198 | Class: 5 | Delay: 3.27284 ms
ax:-0.11377 ay:-0.978271 az:-0.0788574 gx:0.503817 gy:-0.664122 gz:1.34351 | Class: 5 | Delay: 3.2753 ms
ax:-0.111816 ay:-0.986084 az:-0.0742188 gx:0.40458 gy:-0.847328 gz:0.770992 | Class: 5 | Delay: 3.26653 ms
ax:-0.112793 ay:-0.990967 az:-0.0744629 gx:-0.175573 gy:-1.00763 gz:0.923664 | Class: 1 | Delay: 3.27001 ms
ax:-0.117676 ay:-1.00171 az:-0.0837402 gx:-0.358779 gy:-0.709924 gz:0.908397 | Class: 5 | Delay: 3.28532 ms
ax:-0.111328 ay:-0.981445 az:-0.0751953 gx:-1.0229 gy:-0.572519 gz:0.610687 | Class: 5 | Delay: 3.2779 ms
