timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista
1774532992746,-0.0639604,1.00359,-0.0561484,0.671736,-0.557235,-0.267168,0,0,3.31705,-1
1774532992759,-0.0617677,0.99878,-0.0707998,0.633589,-0.618319,-0.358776,0,0,3.32549,-1
1774532992774,-0.0649412,1.01001,-0.0551769,0.778622,-0.465653,-0.0534443,0,0,5.18993,-1
1774532992788,-0.0620119,0.997315,-0.0671378,0.786259,-0.320615,0.351133,0,0,3.29362,-1
1774532992801,-0.0583499,1.00537,-0.059815,0.595426,-0.534345,0.496179,0,0,3.25873,-1
1774532992816,-0.0593261,1.00903,-0.0698235,1.09159,-0.786252,0.328249,0,0,4.7276,-1
1774532992829,-0.0615233,1.00122,-0.0588387,0.534368,-0.78626,0.633579,0,0,3.27562,-1
1774532992843,-0.056641,0.993653,-0.0700676,0.267184,-1.16793,0.954189,0,0,3.26547,-1
1774532992856,-0.061279,1.00244,-0.0607917,0.0916083,-1.32061,1.03817,0,0,3.2736,-1
1774532992870,-0.0678706,1.00293,-0.0678706,0.22137,-0.97711,1.19847,0,0,3.30219,0
1774532992883,-0.0622563,1.00122,-0.0603033,-0.00762672,-1.16793,1.33587,0,0,3.28564,0
1774532992896,-0.0620117,1.00464,-0.0578615,0.297701,-0.870238,1.48091,0,0,3.25984,0
1774532992910,-0.0710443,1.01001,-0.0593261,0.503811,-0.816795,1.56488,0,0,3.55432,0
1774532992923,-0.0625006,1.00952,-0.0627439,0.893118,-1.05343,1.32825,0,0,3.2686,5
1774532992937,-0.0649412,1.00562,-0.0632324,0.91603,-0.900768,1.34351,0,0,3.26934,5
1774532992950,-0.0617678,1.00635,-0.0642089,1.4122,-0.89313,1.10688,0,0,3.28273,5
1774532992964,-0.0646971,1.00757,-0.0703121,1.46565,-0.809163,1.51907,0,0,3.50371,5
1774532992977,-0.060303,0.999024,-0.0583504,1.56488,-0.770994,1.45038,0,0,3.28314,5
1774532992991,-0.0656735,1.00659,-0.0510259,1.92365,-0.618325,1.29008,0,0,3.25869,5
1774532993004,-0.0595707,1.00415,-0.0676258,1.6794,-0.587787,1.41221,0,0,3.2926,5
1774532993017,-0.0632322,1.00708,-0.0659181,1.45802,-0.908387,1.75571,0,0,3.26147,5
1774532993031,-0.0593264,1.00366,-0.0644532,1.40458,-0.91603,1.93129,0,0,3.59673,5
1774532993044,-0.0622557,1.00146,-0.0654296,1.14505,-1.0458,1.93893,0,0,3.28023,5
1774532993058,-0.0563969,1.00366,-0.0712887,1.16794,-1.2061,2,0,0,3.24895,5
1774532993071,-0.0571289,0.999756,-0.0642095,0.847338,-1.20611,2.14503,0,0,3.29319,5
1774532993084,-0.0537112,1.00903,-0.0612795,0.816795,-1.33587,2.29771,0,0,3.25253,5
1774532993098,-0.055908,0.997315,-0.0703119,1.2519,-1.17558,1.93894,0,0,3.28921,5
1774532993111,-0.0598142,1.00317,-0.0744626,1.00764,-1.32061,1.96183,0,0,3.34284,5
1774532993125,-0.0639646,1.00879,-0.0722658,1.12213,-1.09161,1.62596,0,0,3.35351,5
1774532993138,-0.0549323,1.00049,-0.0712891,1.12977,-0.923669,1.48092,0,0,3.27645,5
1774532993152,-0.0617671,0.992432,-0.0764157,0.938937,-0.57253,1.66412,0,0,3.23923,5
1774532993169,-0.0603028,1.00928,-0.0671393,0.877864,-0.763353,2.13739,0,0,6.77552,5
1774532993182,-0.0617675,0.993165,-0.069824,0.480928,-0.687025,3.03051,0,0,3.26281,5
1774532993199,-0.0571292,1.00708,-0.067383,0.55725,-0.946557,3.58777,0,0,7.41615,5
1774532993213,-0.0583495,0.997559,-0.0705564,0.183217,-1.35113,4.23662,0,0,3.23921,5
1774532993228,-0.055176,0.995117,-0.0676272,-0.053428,-1.26718,4.35877,0,0,3.28327,5
1774532993241,-0.0639642,0.996582,-0.0783684,-0.396936,-1.57251,4.58778,0,0,3.25658,5
1774532993256,-0.0473644,0.989502,-0.0712896,-1.03815,-1.55725,5.20609,0,0,4.7603,5
1774532993269,-0.0551752,0.996093,-0.0788569,-1.28244,-1.49619,5.06871,0,0,3.4996,5
1774532993284,-0.0507816,0.993897,-0.0778809,-1.77098,-1.56488,5.16794,0,0,4.15308,5
1774532993297,-0.0441899,0.996094,-0.0771485,-2.20609,-1.38932,4.78627,0,0,3.48927,5
1774532993311,-0.0417482,0.991944,-0.0800779,-2.93891,-1.29771,4.55726,0,0,3.24051,5
1774532993324,-0.047607,0.986573,-0.0893548,-3.5496,-1.64884,5.30532,0,0,3.25812,5
1774532993337,-0.0615225,0.985108,-0.0759287,-4.66409,-1.67176,5.81678,0,0,3.24301,5
1774532993351,-0.0563968,0.984863,-0.0742189,-5.83203,-1.77099,6.458,0,0,3.25368,5
1774532993364,-0.0429697,1.00146,-0.0563977,-6.4122,-2.04579,7.16028,0,0,3.25627,5
1774532993377,-0.0490718,1.01709,-0.0705556,-6.69465,-2.2977,6.82444,0,0,3.30018,5
1774532993391,-0.0566401,1.02661,-0.0493179,-6.24429,-1.75574,6.84733,0,0,3.25051,5
1774532993404,-0.0661614,1.04028,-0.0468752,-6.04581,-1.39696,7.45036,0,0,3.23601,5
1774532993417,-0.0397968,1.03174,-0.0568841,-5.7023,-1.01528,7.05345,0,0,3.24712,5
1774532993431,-0.0395508,1.02124,-0.0527347,-5.29009,-0.809166,6.542,0,0,3.23697,5
1774532993444,-0.0361331,1.00952,-0.0654288,-5.30534,-0.71756,6.59542,0,0,3.29286,5
1774532993457,-0.0476066,0.995118,-0.0705563,-5.74044,-0.145055,6.83969,0,0,3.24268,5
1774532993471,-0.00390931,1.00439,-0.0480973,-6.45036,0.999966,6.98473,0,0,3.75866,5
1774532993485,-0.046872,0.994141,-0.0231951,-6.03818,1.30533,6.36643,0,0,3.26106,5
1774532993498,-0.0258804,1.00195,-0.0605443,-6.458,1.90075,5.90841,0,0,3.25442,5
1774532993511,-0.0200199,1.01147,-0.0480966,-7.11448,2.61067,4.26722,0,0,3.26551,5
1774532993525,-0.046629,0.983889,-0.064452,-7.78624,4.15263,4.63358,0,0,3.24849,5
1774532993538,-0.0688461,0.998046,-0.0346701,-8.5954,6.65641,6.48086,0,0,3.27177,5
1774532993551,-0.0307644,1.01489,-0.0700659,-8.46565,10.2365,8.25186,0,0,3.24349,5
1774532993565,-0.0769011,1.00879,-0.0402853,-9.11448,12.0457,9.53431,0,0,3.30508,5
1774532993578,-0.0300326,0.999512,-0.0390626,-9.25954,12.0534,9.77862,0,0,3.27401,5
1774532993592,-0.0207526,1.01587,-0.0388184,-8.72521,13.7786,10.2595,0,0,3.29149,5
1774532993605,0.000730918,0.993166,-0.0534658,-7.67179,12.2367,11.1603,0,0,3.26399,5
1774532993622,-0.013915,1,-0.0295427,-8.32059,11.7099,10.8626,0,0,7.28141,5
1774532993636,0.000731397,1.00708,-0.0253909,-6.94661,14.2289,9.56492,0,0,3.35127,5
1774532993649,-0.0559042,1.01099,-0.0356438,-6.7023,18.748,6.54208,0,0,3.28179,5
1774532993663,-0.0754381,0.992433,-0.0573715,-6.41986,25.641,7.29005,0,0,3.25823,5
1774532993676,-0.0715335,1.01025,-0.0500493,-6.39695,33.9616,6.51911,0,0,3.26469,5
1774532993689,-0.0156289,0.993165,-0.020754,-6.49618,38.0304,5.56491,0,0,3.30329,5
1774532993703,0.00170777,1.00659,0.000975042,-4.90844,39.1755,4.17561,0,0,3.25788,5
1774532993716,-0.00707946,1.01147,-0.0166003,-3.68706,38.3664,2.35883,0,0,3.26784,5
1774532993730,-0.0410132,0.993409,-0.0288077,-3.50382,39.7939,4.40452,0,0,3.26729,5
1774532993743,-0.0246593,0.983155,-0.0339352,-4.17555,43.9922,2.61074,0,0,3.24771,5
1774532993756,-0.0314937,1.01147,-0.0317384,-3.74047,47.0381,2.45039,0,0,3.27318,5
1774532993770,0.0227013,0.987551,-0.00854655,-4.66409,46.1603,1.73285,0,0,3.24625,5
1774532993783,0.0239257,1.01196,0.00122002,-3.86262,42.9772,0.465687,0,0,3.28655,5
1774532993799,-0.01904,1.00586,-0.0163562,-3.8397,41.4581,0.969451,0,0,5.55554,5
1774532993813,-0.029052,1.02368,-0.0078131,-2.16799,44.0305,1.1603,0,0,3.68749,5
1774532993826,-0.0187995,0.991213,-0.0261218,-2.74044,46.9388,2.17554,0,0,3.27253,5
1774532993839,-0.0117192,1.0061,-0.00927852,-3.13739,46.5191,2.32824,0,0,3.31108,5
1774532993853,0.0104965,1.01172,-0.0112303,-2.51147,43.9237,1.81681,0,0,3.27156,5
1774532993866,-0.0615184,1.01367,-0.0114746,-2.09925,43.0153,2.8244,0,0,3.24327,5
1774532993879,-0.0180694,1.00488,-0.0275868,-1.30537,43.5572,3.55723,0,0,3.27879,5
1774532993893,-0.0124516,0.995362,-0.0300291,-1.78625,42.2825,3.97709,0,0,3.24993,5
1774532993906,-0.0307604,1.00098,-0.0312499,-2.29006,44.5572,4.8931,0,0,3.29855,5
1774532993920,-0.062986,1.00073,-0.0344236,-3.25188,49.4273,5.6412,0,0,3.25318,5
1774532993933,-0.0285669,0.999268,-0.0361327,-3.05344,53.4884,4.67942,0,0,3.27429,5
1774532993946,-0.0263673,1.00049,-0.0192883,-3.39694,55.229,4.96182,0,0,3.28832,5
1774532993960,0.02734,0.997559,0.00268401,-3.22138,53.0764,3.36646,0,0,3.26386,5
1774532993973,0.0578592,0.98877,-0.00366167,-3.12214,47.9925,2.31301,0,0,3.28499,5
1774532993987,0.0693351,1.01831,0.0227032,-1.86263,40.0537,1.41987,0,0,3.27416,5
1774532994000,0.0981425,1.01367,0.0353995,0.274745,28.3057,0.427511,0,0,3.27732,5
1774532994013,0.0795911,1.03515,0.0288091,2.48085,15.2065,-0.00762053,0,0,3.24695,5
1774532994027,0.0183148,1.02173,0.00732572,4.73276,8.20632,1.19844,0,0,3.27369,5
1774532994040,-0.0136696,0.995363,-0.0231912,4.41986,5.24436,2.75568,0,0,3.26682,5
1774532994053,0.0185524,0.995361,-0.0280758,4.00001,3.15273,2.40459,0,0,3.24418,5
1774532994067,0.0041514,1.00146,-0.0207525,3.53437,2.20614,1.51911,0,0,3.26868,5
1774532994081,0.0185537,0.996094,-0.0217284,3.60305,0.381734,0.41988,0,0,3.6876,5
1774532994094,0.0214842,1.00659,-0.0209961,3.82442,-2.00756,0.213747,0,0,3.28099,5
1774532994108,-0.0165989,0.990968,-0.038573,2.42752,-3.0534,0.755709,0,0,3.24918,5
1774532994121,-0.000977656,0.991211,-0.030274,1.39698,-3.14504,1.51906,0,0,3.32101,5
1774532994134,-0.00512666,1.00513,-0.0217291,1.54961,-5.74038,3.33582,0,0,3.26318,5
1774532994148,-0.0222156,0.996827,-0.0339347,0.885516,-8.29,5.24422,0,0,3.44729,5
1774532994163,-0.00293104,1.01514,-0.0197764,1.29006,-10.2671,6.63355,0,0,3.35127,5
1774532994177,-0.01538,1.01074,-0.0380847,1.16031,-10.7023,6.29772,0,0,3.27653,5
1774532994190,-0.0002452,1.01489,-0.0231944,1.58014,-8.86265,4.22144,0,0,3.25658,5
1774532994203,-0.00244125,1.01147,-0.026367,2.05342,-7.32066,2.32067,0,0,3.23605,5
1774532994217,-0.000732541,0.996583,-0.0307614,1.89313,-6.09927,1.00767,0,0,3.25906,5
1774532994230,-0.0202623,1.01221,-0.0178232,1.23666,-4.3054,0.038197,0,0,3.2449,5
1774532994243,-0.0236814,1.00562,-0.0388169,1.93891,-3.16797,-0.587767,0,0,3.2411,5
1774532994257,-0.0087901,1.01196,-0.0314947,2.14503,-2.77864,0.473251,0,0,3.24705,5
1774532994270,-0.0156245,1.02173,-0.0261234,3.12211,-2.27482,1.46562,0,0,3.23197,5
1774532994283,-0.00976604,1.0022,-0.041747,3.01527,-2.19084,1.59542,0,0,3.24693,3
1774532994297,-0.016357,1.01245,-0.0283213,3.229,-1.80917,1.90075,0,0,3.26773,3
1774532994310,0.00292834,1.00684,-0.0329587,3.71754,-1.67939,1.44276,0,0,3.25831,3
1774532994324,-0.00805587,1.00147,-0.0415033,3.30536,-1.52672,1.06871,0,0,3.35147,3
1774532994337,-0.0136715,1.00781,-0.047607,3.16031,-1.12978,0.931302,0,0,3.3304,3
1774532994350,-0.0104983,1.00684,-0.0351571,3.33587,-1.0229,0.931298,0,0,3.27995,3
1774532994364,-0.0185541,1.00806,-0.0429682,3.34351,-0.183231,0.839697,0,0,3.26492,3
1774532994377,-0.0219724,0.996339,-0.0446776,2.87024,0.236629,1.35876,0,0,3.24901,3
1774532994391,-0.0185549,1.00195,-0.0385746,2.53436,0.152674,1.96945,0,0,3.27803,3
1774532994404,-0.0144046,1.00586,-0.050048,2.58778,0.64884,1.9542,0,0,3.25958,3
1774532994417,-0.00585997,1.01099,-0.0437016,2.60305,0.633588,1.7939,0,0,3.24249,5
1774532994431,-0.00268577,0.986574,-0.0495601,2.18322,0.427487,1.51146,0,0,3.27368,5
1774532994444,-0.00415029,1.00806,-0.0393074,2.25954,0.343514,1.42748,0,0,3.23968,5
1774532994457,0.00683517,1.00024,-0.0432126,2.08397,0.00764366,0.793912,0,0,3.25084,5
1774532994471,-0.00268488,0.993653,-0.0468747,1.542,0.503802,0.366425,0,0,3.24531,5
1774532994484,0.00317342,0.992188,-0.0419925,1.44275,0.37405,0.145045,0,0,3.26645,5
1774532994498,0.000732593,0.993896,-0.0517571,1.03818,-0.114489,-0.312963,0,0,3.28547,5
1774532994511,0.00317366,0.997558,-0.046143,0.435133,-0.137404,-0.0992431,0,0,3.24838,5
1774532994524,-0.00317338,1.00537,-0.044922,0.389314,-0.541973,-0.183204,0,0,3.25971,5
1774532994538,-0.0144035,1.00244,-0.0437013,-0.00762168,-1.23662,1.10683,0,0,3.23825,5
1774532994551,-0.00463936,1.00488,-0.0439453,-0.198468,-1.97708,1.90837,0,0,3.25429,5
1774532994564,-0.00878877,1.01196,-0.047363,-0.496174,-2.4351,2.7099,0,0,3.24166,5
1774532994578,-0.00683607,1.00708,-0.0397955,-0.564883,-2.76335,3.23663,0,0,3.5014,5
1774532994592,0.000731892,1.00928,-0.0317388,-0.595419,-2.87786,3.43511,0,0,3.66705,5
1774532994605,-0.00756778,1.0083,-0.0419915,-0.519086,-3.05343,3.87785,0,0,3.47595,5
1774532994624,-0.00732424,1.0144,-0.0402833,-0.480917,-3.19847,4.2748,0,0,8.96898,5
1774532994638,0.00268485,1.00122,-0.0529776,-0.213748,-2.77864,3.64124,0,0,3.4386,5
1774532994652,-0.010253,0.998535,-0.0449224,-0.129774,-2.83206,3.60305,0,0,3.43916,5
1774532994665,-0.00341845,1.01416,-0.0463866,0.198463,-2.95419,4.38166,0,0,3.48079,5
1774532994679,0.00170863,1.00366,-0.0493162,0.137406,-3.12977,4.28245,0,0,3.48145,5
1774532994693,0.00366197,1.01562,-0.0424809,0.778607,-2.78627,4.90838,0,0,3.62292,5
1774532994706,0.00659159,1.00855,-0.0380862,1.00763,-2.70229,4.6794,0,0,3.45267,5
1774532994720,0.0144038,1.00562,-0.042236,1.24427,-2.63359,3.29775,0,0,3.36581,5
1774532994734,-0.00146373,1.00879,-0.0424805,1.06871,-2.13742,3.19848,0,0,3.71356,3
1774532994748,0.00854422,1.00903,-0.0427246,1.67174,-2.1374,2.6794,0,0,3.98362,3
1774532994761,0.00610369,1.00684,-0.0520013,1.80152,-1.89314,2.36642,0,0,3.32845,3
1774532994775,0.00634764,1.01904,-0.0395517,1.90076,-1.32063,1.79391,0,0,3.25458,3
1774532994788,0.0212392,1.01587,-0.0402832,2.6183,-1.29771,0.0534873,0,0,3.30742,3
1774532994802,0.00878993,1.01074,-0.0578601,2.70992,-0.732841,-0.4351,0,0,3.58495,3
1774532994815,0.00512721,1.00586,-0.0527347,2.22139,-0.374057,-1.28242,0,0,3.30286,3
1774532994829,0.0148919,0.997071,-0.0527344,1.96947,0.25189,-2.39691,0,0,3.24927,3
1774532994842,0.0158691,1.00269,-0.0385752,1.27483,0.77861,-3.82438,0,0,3.31445,5
