timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista
1774533548225,0.0304572,0.949007,-0.412622,-0.923636,-1.03814,-0.671736,0,0,3.26642,-1
1774533548239,0.0355937,0.943898,-0.416949,-1.83203,-1.17557,-1.08396,0,0,3.38174,-1
1774533548253,0.0337101,0.976484,-0.421585,-1.33589,-1.33587,-1.12977,0,0,3.29944,-1
1774533548267,0.037076,0.957947,-0.406884,-0.870243,-1.35114,-1.42747,0,0,3.29655,-1
1774533548280,0.0397683,0.971303,-0.415443,-0.610695,-1.45801,-1.87785,0,0,3.27276,-1
1774533548294,0.0431791,0.973126,-0.4119,0.54195,-1.53435,-2.76333,0,0,3.72165,-1
1774533548307,0.027499,0.956222,-0.409206,0.862586,-1.54198,-3.23663,0,0,3.25861,-1
1774533548321,0.009456,0.940585,-0.421993,0.717562,-0.908416,-1.96187,0,0,3.24967,-1
1774533548334,0.0206412,0.938497,-0.413173,-0.541947,-1.00763,-1.41986,0,0,3.25322,-1
1774533548347,0.0202674,0.945004,-0.419614,-1.88546,-0.526732,-0.763378,0,0,3.34078,0
1774533548361,0.020022,0.945793,-0.413633,-2.71753,-0.687018,-0.396958,0,0,3.31522,0
1774533548374,0.027272,0.943383,-0.424937,-3.71753,-0.427489,0.450356,0,0,3.35276,0
1774533548389,0.0314527,0.95859,-0.414894,-4.27479,-0.519081,0.519082,0,0,4.38152,0
1774533548405,0.0218239,0.949311,-0.412862,-4.45801,-0.641218,0.923652,0,0,3.3702,5
1774533548418,0.0304323,0.946319,-0.416468,-6.02285,-0.725188,1.4122,0,0,3.38582,5
1774533548431,0.0310002,0.952333,-0.41046,-6.9847,-0.56489,1.05345,0,0,3.31511,5
1774533548445,0.0249621,0.960611,-0.415478,-7.17557,-0.427485,1.5038,0,0,3.29839,5
1774533548458,0.0290126,0.961418,-0.405857,-7.51907,-0.740449,2.22135,0,0,3.3328,5
1774533548472,0.0288106,0.951272,-0.411323,-8.46562,-0.725191,1.85497,0,0,3.2835,5
1774533548485,0.034127,0.958667,-0.402915,-8.54962,-0.946558,1.79389,0,0,3.30776,5
1774533548499,0.0336957,0.965025,-0.412503,-9.15265,-0.938932,1.66413,0,0,3.3057,5
1774533548512,0.0324827,0.956384,-0.39785,-9.34351,-0.671764,1.33589,0,0,3.30744,5
1774533548525,0.0336796,0.946146,-0.391179,-9.96181,-0.88549,0.946577,0,0,3.27494,5
1774533548539,0.0334495,0.954749,-0.390389,-10.0992,-0.870229,0.969465,0,0,3.27752,5
1774533548552,0.0363483,0.977316,-0.384337,-9.4962,-0.801529,0.740465,0,0,3.29752,5
1774533548565,0.0298495,0.990108,-0.390805,-8.64125,-1.25189,0.938925,0,0,3.28767,5
1774533548579,0.0348625,0.998211,-0.393769,-6.58785,-1.18321,2.81661e-05,0,0,3.40868,5
1774533548593,0.0520756,0.989587,-0.38848,-3.90848,-1.80914,-0.404568,0,0,3.45848,5
1774533548606,0.0505522,0.978382,-0.38867,-2.90079,-1.78626,-3.41212,0,0,3.3067,5
1774533548620,0.0425596,0.98069,-0.386013,-2.12979,-2.16029,-4.64118,0,0,3.31007,5
1774533548633,0.0311191,0.972252,-0.389129,-0.885534,-2.38931,-5.83966,0,0,3.29315,5
1774533548646,0.0213371,0.972894,-0.39061,-0.534362,-2.36641,-5.66413,0,0,3.29467,5
1774533548660,0.0125383,0.98668,-0.390867,-0.25955,-1.88551,-4.06875,0,0,3.26941,3
1774533548673,0.00495787,0.990441,-0.393045,0.396927,-1.48856,-2.22143,0,0,3.31757,3
1774533548687,0.0104437,0.977424,-0.396451,1.05342,-1.25192,0.335801,0,0,3.31667,3
1774533548700,0.00614607,0.98479,-0.389715,1,-1.08397,2.19842,0,0,3.33554,3
1774533548713,0.0114224,0.976401,-0.383605,0.9771,-0.778635,3.29768,0,0,3.29594,3
1774533548727,0.0242867,0.95988,-0.383062,0.648865,-0.763359,3.61831,0,0,3.26922,3
1774533548740,0.0263468,0.963345,-0.386683,0.503821,-0.870226,3.48092,0,0,3.32504,3
1774533548754,0.0355534,0.960719,-0.389136,0.435117,-0.778629,3.00001,0,0,3.27254,3
1774533548767,0.0254903,0.961902,-0.386501,0.08398,-1.02289,2.59543,0,0,3.28798,3
1774533548780,0.0304683,0.966024,-0.380189,0.33587,-1.229,1.81682,0,0,3.29318,3
1774533548794,0.0237482,0.949867,-0.388347,0.442745,-1.30534,1.54199,0,0,3.59294,5
1774533548808,0.0270667,0.978235,-0.380208,0.770983,-1.41221,1.27482,0,0,3.30896,5
1774533548821,0.0251653,0.962316,-0.382545,2.08393,-1.42748,0.824441,0,0,3.29737,5
1774533548834,0.0253884,0.957083,-0.384986,1.52673,-0.885512,0.839694,0,0,3.27265,5
1774533548848,0.0210392,0.963075,-0.38791,2.11449,-1.00763,0.114526,0,0,3.27637,5
1774533548861,0.0318751,0.953223,-0.393983,1.69467,-0.984734,-0.343498,0,0,3.28472,5
1774533548874,0.024729,0.948291,-0.394042,0.854987,-0.946566,-0.473279,0,0,3.30144,5
1774533548888,0.0309443,0.943649,-0.396702,0.0763592,-0.946565,-0.954184,0,0,3.31346,5
1774533548901,0.0285878,0.947955,-0.391168,-0.740434,-0.725197,-0.893132,0,0,3.27959,5
1774533548917,0.0210705,0.952107,-0.395949,-1.86256,-0.870225,-0.854963,0,0,5.35333,5
1774533548930,0.0125357,0.943687,-0.388501,-2.72516,-0.778629,-0.404594,0,0,3.37091,5
1774533548944,0.0298578,0.955208,-0.388428,-3.41219,-0.793893,-0.305346,0,0,3.50591,5
1774533548957,0.0237422,0.950003,-0.382626,-3.58015,-0.641226,-0.374044,0,0,3.3082,5
1774533548971,0.0236822,0.970258,-0.374833,-3.69465,-0.450387,-0.0763448,0,0,3.26378,5
1774533548984,0.0306923,0.973116,-0.387086,-2.35119,-0.312981,-0.832038,0,0,3.29417,5
1774533548998,0.0256844,0.973144,-0.385997,-2.13741,-0.312977,-0.854961,0,0,3.3723,5
1774533549013,0.0357886,0.998044,-0.39058,0.267103,-0.526711,-2.2137,0,0,3.3135,5
1774533549027,0.0121965,0.950181,-0.397393,0.267176,-0.129783,-1.99237,0,0,3.27506,5
1774533549040,0.0216351,0.971227,-0.387307,0.229009,-0.114504,-2.21373,0,0,3.73855,5
1774533549054,0.0205189,0.986422,-0.380439,0.93891,-0.312971,-2.45037,0,0,3.29211,5
1774533549067,0.0173652,0.986087,-0.391976,1.9389,-0.656478,-2.85495,0,0,3.28239,5
1774533549081,0.0103236,0.971579,-0.377826,1.6794,0.0763139,-0.656554,0,0,3.30013,5
1774533549094,0.00324393,0.992469,-0.388082,2.11449,0.17557,1.33582,0,0,3.28289,5
1774533549109,0.00607548,0.984938,-0.387216,3.07631,0.015272,3.83199,0,0,4.89854,5
1774533549123,0.0114217,0.963832,-0.388416,2.94657,-0.0534331,6.2213,0,0,3.29407,5
1774533549136,0.00905662,0.981514,-0.389878,1.67943,0.106865,9.74799,0,0,3.29996,5
1774533549150,0.0182198,1.0061,-0.387717,3.89306,0.786239,10.9313,0,0,3.29578,5
1774533549163,0.0233863,0.976369,-0.389629,4.14503,0.961827,11.6412,0,0,3.46717,5
1774533549177,0.0408428,1.00001,-0.379978,6.30528,1.2748,10.771,0,0,3.29389,5
1774533549190,0.0405304,0.991539,-0.395114,8.29002,1.03054,9.54202,0,0,3.2932,5
1774533549204,0.0579331,0.95737,-0.392361,8.82441,0.763367,8.29011,0,0,3.57702,5
1774533549217,0.0503679,0.980001,-0.39596,9.40456,0.732825,7.27484,0,0,3.28324,5
1774533549231,0.0650403,0.949762,-0.395996,10.6107,0.366423,5.5802,0,0,3.29261,5
1774533549244,0.051888,0.946323,-0.407116,9.51148,-0.427457,4.19851,0,0,3.29318,5
1774533549258,0.0532096,0.960552,-0.400457,9.41222,-0.427481,3.02294,0,0,3.78778,5
1774533549272,0.0691778,0.959,-0.405226,10.3588,-1.47325,0.801593,0,0,3.31146,5
1774533549285,0.0562801,0.949556,-0.408899,8.85501,-1.73282,0.221391,0,0,3.27602,5
1774533549299,0.0401983,0.969771,-0.411353,10.5114,-1.59542,-1.06866,0,0,3.28535,5
1774533549312,0.0649406,0.941201,-0.402432,9.90078,-1.91602,-2.15264,0,0,3.30733,5
1774533549326,0.0509201,0.957843,-0.412014,9.91603,-2.2519,-2.70991,0,0,3.32289,5
1774533549339,0.0304759,0.94882,-0.412108,9.48856,-2.11451,-1.72522,0,0,3.28607,5
1774533549353,0.0169793,0.963478,-0.423471,9.29772,-1.28247,0.167882,0,0,3.3288,5
1774533549366,0.0390877,0.958303,-0.418023,9.32061,-1.41984,-0.0610618,0,0,3.29091,5
1774533549380,0.0419637,0.963571,-0.427397,9.79388,-2.12212,0.0915985,0,0,3.85257,5
1774533549394,0.0429589,0.962656,-0.428215,9.40459,-2.58014,0.343504,0,0,3.29987,5
1774533549407,0.0422434,0.996249,-0.424355,10.4809,-2.62595,1.00761,0,0,3.30157,5
1774533549421,0.0504558,0.998754,-0.435195,12.4122,-3.89309,2.24424,0,0,3.351,5
1774533549434,0.0420752,0.977505,-0.441587,12.4733,-3.66413,4.51902,0,0,3.31094,5
1774533549447,0.0274882,0.999054,-0.452045,14.3816,-2.86262,7.41213,0,0,3.30578,5
1774533549461,0.0636072,1.00338,-0.431357,13.5496,-4.80147,13.7861,0,0,3.31739,5
1774533549475,-0.0312869,1.09311,-0.456054,18.1296,-0.870347,18.2976,0,0,3.88618,5
1774533549489,-0.0979725,1.22332,-0.488691,25.4044,5.07616,20.2824,0,0,3.32311,5
1774533549502,0.029016,1.12137,-0.476681,38.8927,2.47336,24.2594,0,0,3.28415,5
1774533549516,0.0488756,1.01062,-0.470278,37.4657,1.17561,24.8168,0,0,3.33394,5
1774533549530,0.07808,1.05982,-0.447975,43.122,1.44274,23.1222,0,0,3.28748,5
1774533549543,0.1052,1.21187,-0.519555,42.8626,-1.33579,24.2061,0,0,3.30041,5
1774533549557,0.0817749,1.36252,-0.489555,69.5107,0.0457601,20.9085,0,0,3.29952,5
1774533549570,0.103061,1.45514,-0.492645,80.3737,-3.83958,12.5193,0,0,3.31039,5
1774533549583,0.0546783,1.31172,-0.484456,98.3735,-4.90836,11.3283,0,0,3.30315,5
1774533549597,0.0972349,1.46407,-0.493079,115.351,-6.9923,10.2367,0,0,3.82818,5
1774533549611,0.0396329,1.52793,-0.481801,145.144,-7.08397,14.2136,0,0,3.30493,5
1774533549624,0.0366506,1.52469,-0.501756,160.885,-5.70996,17.748,0,0,3.30332,5
1774533549638,0.0472582,1.63393,-0.469074,191.915,-6.58776,18.0763,0,0,3.32068,5
1774533549651,0.0787893,1.60236,-0.46005,210.961,-7.41982,17.7328,0,0,3.29018,5
1774533549665,0.154282,1.96564,-0.466247,239.717,-12.954,10.1071,0,0,3.3233,5
1774533549678,0.238183,1.83697,-0.485648,250.129,-19.7861,-1.77827,0,0,3.29315,5
1774533549692,0.307903,1.93893,-0.482212,250.13,-23.6869,-15.7324,0,0,3.75506,5
1774533549705,0.187955,1.81422,-0.537538,250.13,-26.0305,-29.5034,0,0,3.27109,5
1774533549719,0.138188,2.00084,-0.75106,250.13,-25.7557,-41.0302,0,0,3.28678,5
1774533549732,0.410874,1.429,-0.585139,250.13,-30.5418,-35.5421,0,0,3.29578,5
1774533549746,-0.253674,1.58827,-0.737988,250.13,-21.3362,-58.6024,0,0,3.26913,5
1774533549759,0.227172,1.49313,-0.543672,250.13,-11.8858,-56.023,0,0,3.25528,3
1774533549772,0.38177,1.9433,-0.412674,250.13,-16.5418,-32.9091,0,0,3.26768,3
1774533549786,0.253468,2.34974,0.0554235,250.13,-14.2825,-10.9396,0,0,3.30533,3
1774533549799,0.275417,2.1787,0.952059,250.13,-20.8319,-9.00769,0,0,3.279,3
1774533549813,0.143881,-1.44507,0.102407,250.13,10.8998,-55.5406,0,0,3.30365,3
1774533549826,0.128086,-3.74819,1.12803,149.347,-27.1897,35.7912,0,0,3.28346,3
1774533549839,-0.217283,-2.59371,0.0666619,-194.738,4.19753,13.5121,0,0,3.26237,3
1774533549853,0.344293,1.46542,0.253763,-222.915,-4.41196,34.8543,0,0,3.28422,3
1774533549866,0.501616,1.56131,-0.029906,-181.085,-8.72506,23.2217,0,0,3.26059,3
1774533549879,0.351583,1.21582,-0.0433242,-135.978,-29.1979,16.8857,0,0,3.26259,3
1774533549893,0.185966,-0.0342527,0.0421227,-165.511,-36.0609,20.0304,0,0,3.26909,3
1774533549906,-0.00107759,0.00522434,0.176163,-233.112,-35.1145,29.1219,0,0,3.27361,3
1774533549919,-0.025394,0.314564,0.251935,-250.137,-30.3437,12.7867,0,0,3.30742,3
1774533549933,0.0106296,0.539521,0.263315,-250.137,-27.3207,-3.96133,0,0,3.25833,3
1774533549947,0.00348868,0.816109,0.170596,-250.137,-20.4124,-6.12971,0,0,3.66902,3
1774533549965,-0.0171298,0.713661,0.0867676,-250.137,-3.55776,10.7629,0,0,7.86709,3
1774533549978,0.0145786,0.921767,0.00592743,-250.137,10.8316,28.4804,0,0,3.36548,3
1774533549992,0.0576787,1.09569,-0.0840698,-250.137,24.3355,37.7402,0,0,3.46591,3
1774533550005,0.0958138,1.19337,-0.187453,-250.137,34.3127,42.0915,0,0,3.28026,3
1774533550019,0.110451,1.38797,-0.333756,-250.137,42.473,46.9999,0,0,3.29837,3
1774533550032,0.125341,1.49939,-0.460657,-250.137,49.3433,51.6487,0,0,3.62015,3
1774533550047,0.0227444,1.57179,-0.573589,-250.137,58.557,47.1223,0,0,4.91235,3
1774533550061,-0.113398,1.66896,-0.623287,-250.137,72.6942,35.7408,0,0,3.28567,3
1774533550075,-0.141083,1.69602,-0.726033,-250.137,89.5262,18.5272,0,0,3.30002,3
1774533550088,-0.0180638,1.79395,-0.852266,-250.137,101.343,7.76368,0,0,3.27737,5
1774533550103,0.263327,1.91724,-1.05488,-250.137,103.397,9.88543,0,0,3.30352,5
1774533550117,0.500339,2.05576,-1.26162,-250.137,90.5347,13.3892,0,0,3.29354,5
1774533550132,0.645293,2.15067,-1.43892,-250.137,69.1991,13.1221,0,0,5.06607,5
1774533550145,0.651791,1.9408,-1.58063,-249.16,44.245,13.6259,0,0,3.34163,5
1774533550159,0.522037,1.55606,-1.67316,-228.291,30.1378,25.4042,0,0,3.37374,5
1774533550172,0.407869,1.53778,-1.7594,-201.07,23.588,44.0529,0,0,3.298,5
1774533550187,0.42488,1.48828,-1.85694,-160.009,13.1988,60.2056,0,0,4.03498,5
1774533550200,0.166378,1.38481,-2.00899,-110.727,1.466,73.5187,0,0,3.31746,5
1774533550213,-0.200469,1.16502,-2.05303,-68.1616,-0.32819,58.2218,0,0,3.31905,5
1774533550227,-0.421396,1.10267,-2.0525,-25.5738,5.21357,14.7341,0,0,3.3143,5
1774533550241,-0.332424,1.13493,-1.96691,21.2276,13.4501,-32.0673,0,0,3.28035,5
1774533550254,-0.09053,1.17272,-1.78742,61.4034,20.5112,-48.9232,0,0,3.28063,5
1774533550267,0.026188,3.97216,-0.0849728,250.124,-12.915,-50.0839,0,0,3.32668,5
1774533550282,-0.288389,0.278759,0.00786974,250.13,-32.2437,-194.912,0,0,4.17174,5
1774533550295,-0.604052,1.57481,0.0344052,231.817,-6.59619,-110.422,0,0,3.29583,5
