timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista
1774391049918,-0.00879199,0.65484,0.0845008,3.65322,-23.8399,21.5963,0,0,3.44038,-1
1774391049931,-0.0110414,0.783199,0.0992651,2.00421,-14.0603,11.8131,0,0,3.68218,-1
1774391049945,-0.0109555,0.839352,0.109389,1.46011,-10.0815,8.37329,0,0,3.27403,-1
1774391049959,-0.0104696,0.87062,0.113492,1.13025,-7.92406,6.55384,0,0,3.74223,-1
1774391049972,-0.0108803,0.8908,0.115661,0.947497,-6.58056,5.40846,0,0,3.26131,-1
1774391049986,-0.0104748,0.905588,0.117475,0.819578,-5.70492,4.60991,0,0,3.27042,-1
1774391049999,-0.0112492,0.915906,0.118542,0.707513,-5.04659,4.04184,0,0,3.27331,-1
1774391050012,-0.0115753,0.923712,0.119929,0.631627,-4.53266,3.5969,0,0,3.25714,-1
1774391050026,-0.012158,0.929933,0.121029,0.559205,-4.12,3.26449,0,0,3.27707,-1
1774391050039,-0.0124347,0.9347,0.122197,0.494674,-3.80594,2.96189,0,0,3.45979,0
1774391050053,-0.0127559,0.938387,0.12271,0.449437,-3.51805,2.72209,0,0,3.30296,0
1774391050066,-0.0134105,0.942162,0.123633,0.430375,-3.29048,2.52308,0,0,3.33323,0
1774391050080,-0.0133319,0.945479,0.124185,0.435483,-3.09475,2.34982,0,0,3.26821,0
1774391050093,-0.0137739,0.947809,0.124626,0.419513,-2.91152,2.20585,0,0,3.29642,0
1774391050106,-0.0136048,0.95023,0.125103,0.411,-2.75572,2.06984,0,0,3.30438,5
1774391050120,-0.0140897,0.95244,0.12525,0.4064,-2.61141,1.9624,0,0,3.36081,5
1774391050133,-0.014078,0.954443,0.124986,0.412498,-2.4918,1.85357,0,0,3.31292,5
1774391050147,-0.0141942,0.956322,0.125605,0.425665,-2.38552,1.74213,0,0,3.29653,5
1774391050160,-0.0140238,0.958004,0.12624,0.451989,-2.28795,1.65861,0,0,3.29309,5
1774391050173,-0.0141507,0.959087,0.126358,0.464402,-2.20721,1.57289,0,0,3.29488,5
1774391050187,-0.0141945,0.960148,0.12671,0.458358,-2.12493,1.49933,0,0,3.3481,5
1774391050200,-0.0139537,0.961457,0.126921,0.461842,-2.0451,1.43751,0,0,3.30334,5
1774391050214,-0.0139516,0.962443,0.126703,0.46258,-1.96144,1.3763,0,0,3.35436,5
1774391050227,-0.0139765,0.963354,0.127603,0.439013,-1.89648,1.30778,0,0,3.30083,5
1774391050242,-0.0134862,0.964738,0.127305,0.455034,-1.85082,1.26601,0,0,4.2139,5
1774391050258,-0.0132374,0.965364,0.127092,0.444348,-1.81657,1.23583,0,0,3.30473,5
1774391050271,-0.012764,0.966329,0.127314,0.431625,-1.76656,1.19707,0,0,3.2616,5
1774391050284,-0.0128357,0.966829,0.127746,0.442951,-1.72051,1.17631,0,0,3.31012,5
1774391050298,-0.0128904,0.967421,0.127583,0.430082,-1.6735,1.1579,0,0,3.26364,5
1774391050313,-0.0128684,0.968415,0.127575,0.4158,-1.64833,1.1225,0,0,4.99689,5
1774391050326,-0.0132098,0.968684,0.127665,0.412419,-1.6022,1.0917,0,0,3.25318,5
1774391050340,-0.0133756,0.969106,0.127857,0.395762,-1.56716,1.06335,0,0,3.29307,5
1774391050353,-0.0132954,0.969774,0.127766,0.395384,-1.53391,1.04219,0,0,3.26888,5
1774391050367,-0.0130907,0.97037,0.127669,0.414178,-1.51835,1.00633,0,0,3.85801,5
1774391050380,-0.0130254,0.971014,0.127658,0.419385,-1.48868,0.976252,0,0,3.27336,5
1774391050394,-0.0129751,0.971738,0.127728,0.423829,-1.45334,0.963933,0,0,3.24236,5
1774391050407,-0.012767,0.972309,0.128082,0.435046,-1.42631,0.955447,0,0,3.27714,5
1774391050420,-0.0126839,0.972633,0.128063,0.449534,-1.40268,0.943525,0,0,3.26195,5
1774391050434,-0.0126844,0.972974,0.128239,0.460963,-1.37433,0.924877,0,0,3.29864,5
1774391050447,-0.0124707,0.973263,0.128348,0.462978,-1.35205,0.901664,0,0,3.50866,5
1774391050461,-0.0126606,0.973741,0.128486,0.454416,-1.33021,0.886797,0,0,3.30486,5
1774391050474,-0.0128633,0.973915,0.128438,0.45723,-1.29965,0.877155,0,0,3.27358,5
1774391050488,-0.0127555,0.974302,0.12807,0.451631,-1.27827,0.850277,0,0,3.61246,5
1774391050501,-0.0129524,0.974327,0.128186,0.457629,-1.272,0.833202,0,0,3.28323,5
1774391050515,-0.0124985,0.974805,0.128218,0.464578,-1.2661,0.817119,0,0,3.24797,5
1774391050528,-0.0126176,0.974884,0.128227,0.470692,-1.23892,0.804128,0,0,3.29927,5
1774391050541,-0.0125552,0.974894,0.127917,0.458744,-1.22842,0.796206,0,0,3.25001,5
1774391050555,-0.0125615,0.975001,0.127907,0.450504,-1.20731,0.78356,0,0,3.28305,5
1774391050568,-0.0125456,0.975411,0.127995,0.44058,-1.1818,0.780263,0,0,3.26105,5
1774391050582,-0.0127488,0.97556,0.128047,0.435963,-1.17327,0.771123,0,0,3.71807,5
1774391050595,-0.0127246,0.975681,0.128096,0.425582,-1.17254,0.764227,0,0,3.2732,5
1774391050609,-0.0128212,0.975775,0.12835,0.41235,-1.17185,0.753851,0,0,3.24521,5
1774391050622,-0.0129134,0.975984,0.128244,0.393419,-1.16087,0.747506,0,0,3.28764,5
1774391050635,-0.0127519,0.976237,0.128198,0.38674,-1.16256,0.732494,0,0,3.2521,5
1774391050649,-0.0126519,0.976436,0.127991,0.383018,-1.16201,0.725637,0,0,3.59538,5
1774391050663,-0.0131189,0.976744,0.12761,0.375641,-1.14129,0.715733,0,0,3.27488,5
1774391050677,-0.0131758,0.976963,0.127462,0.380703,-1.12605,0.710254,0,0,4.50405,5
1774391050691,-0.0131114,0.976848,0.127148,0.383334,-1.11681,0.701222,0,0,3.28883,5
