timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,classe_prevista_raw,classe_prevista,delay_ms
1784923028369,0.000488444,0.658911,-0.19033,0.029334,0.0325684,0.123131,96.4739,-0.0370984,1.02843,0.222098,0,0,3.294
1784923028383,-0.003,0.791,-0.228,0.019,0.017,0.081,101.092,0.176,1.028,0.013,0,0,3.314
1784923028397,-0.005,0.848,-0.244,0.014,0.010,0.060,102.659,0.310,1.028,0.011,0,0,3.558
1784923028410,-0.006,0.880,-0.252,0.011,0.005,0.049,103.466,0.383,1.032,0.013,0,0,3.272
1784923028423,-0.004,0.900,-0.257,0.009,0.003,0.041,103.956,0.244,1.027,0.011,0,0,3.261
1784923028437,-0.003,0.914,-0.260,0.007,0.001,0.036,104.257,0.188,1.025,0.012,0,0,3.883
1784923028451,-0.004,0.924,-0.263,0.006,-0.000,0.032,104.495,0.212,1.025,0.011,0,0,3.248
1784923028464,-0.004,0.932,-0.265,0.005,-0.001,0.029,104.674,0.223,1.029,0.012,0,0,3.335
1784923028477,-0.004,0.938,-0.266,0.004,-0.002,0.027,104.803,0.226,1.024,0.013,0,0,3.262
1784923028491,-0.004,0.942,-0.268,0.004,-0.003,0.025,104.963,0.239,1.023,0.013,0,0,3.342
1784923028504,-0.004,0.947,-0.269,0.003,-0.004,0.023,105.087,0.244,1.026,0.011,0,0,3.259
1784923028518,-0.004,0.951,-0.270,0.003,-0.004,0.022,105.158,0.235,1.031,0.012,0,0,3.270
1784923028531,-0.004,0.953,-0.271,0.003,-0.005,0.021,105.224,0.236,1.022,0.013,0,0,3.277
1784923028545,-0.003,0.956,-0.272,0.002,-0.005,0.020,105.306,0.187,1.025,0.014,0,0,3.267
1784923028559,-0.003,0.958,-0.272,0.002,-0.005,0.019,105.368,0.165,1.032,0.013,0,0,3.803
1784923028572,-0.003,0.961,-0.273,0.002,-0.006,0.018,105.428,0.173,1.032,0.012,0,0,3.398
1784923028586,-0.003,0.963,-0.273,0.002,-0.006,0.018,105.414,0.187,1.025,0.016,0,0,3.263
1784923028599,-0.004,0.964,-0.273,0.002,-0.006,0.017,105.463,0.208,1.026,0.014,0,0,3.273
1784923028612,-0.004,0.966,-0.274,0.002,-0.006,0.017,105.504,0.234,1.027,0.015,0,0,3.265
1784923028626,-0.004,0.967,-0.274,0.002,-0.007,0.016,105.534,0.208,1.026,0.012,0,0,3.296
1784923028639,-0.004,0.969,-0.274,0.002,-0.007,0.016,105.514,0.227,1.032,0.014,0,0,3.263
1784923028653,-0.004,0.970,-0.274,0.002,-0.007,0.015,105.505,0.193,1.027,0.014,0,0,4.188
1784923028667,-0.003,0.971,-0.275,0.002,-0.007,0.015,105.566,0.139,1.030,0.013,0,0,3.287
1784923028680,-0.003,0.972,-0.275,0.002,-0.007,0.015,105.592,0.170,1.029,0.014,0,0,3.260
1784923028694,-0.003,0.973,-0.275,0.002,-0.007,0.015,105.612,0.177,1.027,0.015,0,0,3.581
1784923028707,-0.003,0.974,-0.276,0.002,-0.007,0.015,105.638,0.175,1.024,0.016,0,0,3.243
1784923028721,-0.003,0.974,-0.276,0.003,-0.007,0.014,105.639,0.180,1.025,0.014,0,0,3.284
1784923028734,-0.003,0.975,-0.276,0.003,-0.007,0.014,105.657,0.171,1.025,0.014,0,0,3.256
1784923028747,-0.003,0.975,-0.276,0.003,-0.007,0.014,105.656,0.152,1.024,0.013,0,0,3.502
1784923028761,-0.003,0.976,-0.276,0.003,-0.007,0.014,105.691,0.153,1.028,0.015,2,2,12.911
1784923028784,-0.003,0.977,-0.276,0.003,-0.008,0.014,105.681,0.147,1.027,0.015,2,2,3.264
1784923028797,-0.003,0.977,-0.277,0.003,-0.008,0.013,105.721,0.107,1.032,0.014,2,2,3.262
1784923028811,-0.003,0.978,-0.277,0.003,-0.008,0.013,105.745,0.109,1.025,0.009,2,2,3.253
1784923028827,-0.002,0.978,-0.277,0.003,-0.008,0.013,105.788,0.096,1.028,0.012,2,2,3.270
1784923028840,-0.002,0.979,-0.278,0.003,-0.008,0.013,105.782,0.101,1.029,0.012,2,2,3.842
1784923028855,-0.002,0.979,-0.278,0.003,-0.008,0.012,105.783,0.084,1.026,0.013,2,2,3.290
1784923028868,-0.003,0.980,-0.278,0.003,-0.008,0.012,105.774,0.122,1.036,0.012,2,2,3.255
1784923028885,-0.002,0.981,-0.278,0.003,-0.008,0.012,105.786,0.099,1.033,0.010,2,2,6.685
1784923028898,-0.003,0.981,-0.278,0.003,-0.008,0.012,105.791,0.153,1.023,0.013,2,2,3.249
1784923028913,-0.003,0.981,-0.278,0.003,-0.008,0.011,105.799,0.146,1.033,0.013,2,2,5.126
1784923028927,-0.002,0.982,-0.278,0.003,-0.008,0.011,105.776,0.113,1.026,0.011,2,2,3.244
1784923028941,-0.003,0.982,-0.278,0.003,-0.008,0.011,105.789,0.164,1.033,0.014,2,2,3.676
1784923028954,-0.003,0.983,-0.278,0.003,-0.008,0.011,105.782,0.182,1.030,0.013,2,2,3.260
1784923028967,-0.003,0.983,-0.279,0.003,-0.008,0.011,105.826,0.163,1.031,0.011,2,2,3.253
1784923028983,-0.003,0.983,-0.279,0.003,-0.008,0.011,105.828,0.149,1.022,0.013,2,2,3.889
1784923028997,-0.003,0.983,-0.279,0.003,-0.008,0.011,105.840,0.161,1.028,0.011,2,2,3.267
1784923029010,-0.003,0.983,-0.279,0.003,-0.008,0.010,105.813,0.164,1.022,0.012,2,2,3.307
1784923029024,-0.003,0.983,-0.279,0.002,-0.009,0.010,105.805,0.166,1.019,0.012,2,2,3.286
1784923029037,-0.003,0.983,-0.279,0.002,-0.009,0.010,105.815,0.170,1.026,0.012,2,2,3.259
1784923029050,-0.003,0.983,-0.278,0.002,-0.009,0.010,105.780,0.173,1.021,0.012,2,2,3.895
1784923029064,-0.003,0.984,-0.279,0.002,-0.009,0.010,105.787,0.170,1.032,0.013,2,2,3.259
1784923029078,-0.003,0.984,-0.278,0.002,-0.009,0.010,105.771,0.197,1.025,0.013,2,2,3.321
1784923029091,-0.003,0.984,-0.279,0.002,-0.009,0.010,105.793,0.158,1.026,0.013,2,2,3.255
1784923029108,-0.003,0.984,-0.279,0.002,-0.009,0.010,105.785,0.155,1.024,0.011,2,2,6.871
1784923029121,-0.003,0.984,-0.279,0.002,-0.009,0.009,105.796,0.164,1.028,0.011,2,2,3.869
1784923029140,-0.003,0.985,-0.279,0.002,-0.009,0.009,105.781,0.171,1.028,0.010,2,2,8.158
1784923029154,-0.003,0.985,-0.279,0.002,-0.009,0.009,105.763,0.177,1.024,0.011,2,2,3.259
1784923029167,-0.003,0.985,-0.279,0.002,-0.009,0.009,105.763,0.155,1.028,0.010,2,2,3.263
1784923029180,-0.003,0.985,-0.278,0.001,-0.009,0.009,105.739,0.151,1.027,0.011,2,2,3.273
1784923029194,-0.003,0.985,-0.278,0.001,-0.009,0.009,105.736,0.187,1.027,0.013,2,2,3.945
1784923029208,-0.003,0.985,-0.279,0.001,-0.009,0.009,105.747,0.200,1.031,0.015,2,2,3.269
1784923029221,-0.003,0.986,-0.279,0.001,-0.009,0.009,105.782,0.187,1.037,0.011,2,2,3.266
1784923029238,-0.003,0.986,-0.279,0.001,-0.009,0.009,105.792,0.170,1.027,0.013,2,2,6.714
1784923029251,-0.003,0.986,-0.279,0.001,-0.009,0.009,105.772,0.163,1.031,0.015,2,2,3.254
1784923029265,-0.003,0.986,-0.279,0.000,-0.009,0.009,105.784,0.173,1.024,0.017,2,2,4.720
1784923029280,-0.003,0.986,-0.279,0.000,-0.009,0.009,105.760,0.184,1.026,0.017,2,2,3.259
1784923029294,-0.003,0.987,-0.279,-0.000,-0.009,0.009,105.730,0.175,1.028,0.014,2,2,3.305
1784923029307,-0.003,0.987,-0.279,-0.000,-0.009,0.009,105.729,0.204,1.028,0.012,2,2,3.266
1784923029321,-0.003,0.987,-0.279,-0.000,-0.009,0.009,105.738,0.201,1.025,0.016,2,2,3.262
1784923029334,-0.003,0.987,-0.279,-0.001,-0.009,0.009,105.755,0.214,1.022,0.019,2,2,3.939
1784923029348,-0.003,0.987,-0.279,-0.001,-0.009,0.009,105.732,0.195,1.031,0.017,2,2,3.265
1784923029364,-0.003,0.987,-0.279,-0.001,-0.009,0.009,105.725,0.126,1.027,0.019,2,2,5.669
1784923029377,-0.003,0.987,-0.279,-0.002,-0.009,0.010,105.749,0.121,1.030,0.021,2,2,3.261
1784923029391,-0.003,0.987,-0.279,-0.002,-0.009,0.010,105.719,0.121,1.028,0.022,2,2,3.376
1784923029404,-0.002,0.988,-0.278,-0.003,-0.009,0.010,105.690,0.092,1.030,0.018,2,2,3.818
1784923029419,-0.002,0.988,-0.278,-0.003,-0.009,0.010,105.639,0.073,1.031,0.015,2,2,3.745
1784923029432,-0.002,0.988,-0.278,-0.003,-0.009,0.010,105.610,0.072,1.029,0.016,2,2,3.264
1784923029446,-0.002,0.988,-0.277,-0.003,-0.009,0.010,105.562,0.065,1.029,0.014,2,2,4.308
1784923029460,-0.002,0.988,-0.277,-0.003,-0.009,0.010,105.524,0.009,1.024,0.014,2,2,3.229
1784923029474,-0.001,0.988,-0.277,-0.003,-0.009,0.010,105.528,-0.012,1.022,0.015,2,2,4.796
1784923029489,-0.001,0.988,-0.277,-0.003,-0.009,0.010,105.520,-0.048,1.033,0.013,2,2,3.891
1784923029502,-0.001,0.989,-0.276,-0.003,-0.009,0.010,105.475,-0.091,1.031,0.015,2,2,3.236
1784923029516,-0.000,0.989,-0.276,-0.003,-0.009,0.010,105.485,-0.096,1.022,0.013,2,2,3.229
1784923029529,-0.001,0.989,-0.276,-0.003,-0.009,0.010,105.471,-0.063,1.029,0.014,2,2,3.238
1784923029542,-0.001,0.989,-0.276,-0.003,-0.009,0.010,105.462,-0.056,1.026,0.013,2,2,3.682
1784923029557,-0.000,0.989,-0.276,-0.003,-0.009,0.010,105.445,-0.056,1.023,0.012,2,2,3.247
1784923029570,-0.001,0.989,-0.276,-0.003,-0.009,0.010,105.446,-0.026,1.031,0.011,2,2,3.225
1784923029584,-0.001,0.989,-0.276,-0.003,-0.009,0.010,105.452,-0.014,1.033,0.010,2,2,3.874
1784923029597,-0.001,0.989,-0.275,-0.003,-0.009,0.010,105.442,-0.016,1.029,0.011,2,2,3.230
1784923029611,-0.001,0.989,-0.275,-0.002,-0.009,0.010,105.423,0.047,1.024,0.013,2,2,3.691
1784923029625,-0.001,0.989,-0.275,-0.002,-0.009,0.009,105.426,0.050,1.023,0.010,2,2,3.251
1784923029638,-0.001,0.989,-0.275,-0.002,-0.009,0.009,105.469,0.027,1.028,0.012,2,2,3.224
1784923029651,-0.001,0.989,-0.275,-0.002,-0.009,0.009,105.489,0.029,1.022,0.014,2,2,3.243
