timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,classe_prevista_raw,classe_prevista,delay_ms
1780148601166,0.0867802,0.657771,-0.160535,0.026459,-0.0545352,0.110059,94.2953,-6.64034,1.02358,0.213512,0,0,3.269
1780148601180,0.105,0.791,-0.194,0.015,-0.038,0.065,98.844,-7.010,1.027,0.015,0,0,3.231
1780148601193,0.114,0.848,-0.207,0.010,-0.030,0.047,100.447,-7.186,1.026,0.011,0,0,3.262
1780148601206,0.116,0.880,-0.215,0.009,-0.029,0.040,101.287,-7.143,1.027,0.028,0,0,3.226
1780148601220,0.121,0.899,-0.219,0.009,-0.027,0.036,101.739,-7.311,1.022,0.027,0,0,3.224
1780148601233,0.124,0.914,-0.223,0.009,-0.026,0.032,102.104,-7.372,1.032,0.024,0,0,3.229
1780148601246,0.125,0.924,-0.226,0.010,-0.025,0.030,102.374,-7.406,1.028,0.028,0,0,3.218
1780148601260,0.127,0.932,-0.227,0.010,-0.024,0.028,102.554,-7.446,1.026,0.024,0,0,3.237
1780148601273,0.128,0.939,-0.229,0.010,-0.023,0.026,102.698,-7.483,1.035,0.021,0,0,3.228
1780148601286,0.129,0.944,-0.231,0.010,-0.023,0.024,102.864,-7.521,1.026,0.023,0,0,3.230
1780148601300,0.128,0.948,-0.232,0.011,-0.022,0.023,102.997,-7.441,1.019,0.031,0,0,3.231
1780148601313,0.128,0.951,-0.234,0.012,-0.022,0.023,103.184,-7.377,1.023,0.039,0,0,3.227
1780148601326,0.129,0.954,-0.235,0.012,-0.021,0.023,103.241,-7.416,1.033,0.032,0,0,3.232
1780148601340,0.129,0.958,-0.235,0.012,-0.021,0.023,103.242,-7.397,1.038,0.030,0,0,3.224
1780148601353,0.130,0.961,-0.236,0.013,-0.020,0.023,103.289,-7.445,1.040,0.029,0,0,3.226
1780148601366,0.130,0.963,-0.236,0.013,-0.020,0.023,103.325,-7.437,1.031,0.028,0,0,3.225
1780148601379,0.131,0.966,-0.237,0.014,-0.019,0.022,103.378,-7.490,1.042,0.027,0,0,3.232
1780148601393,0.131,0.968,-0.238,0.014,-0.019,0.021,103.491,-7.481,1.038,0.023,0,0,3.227
1780148601406,0.132,0.970,-0.238,0.014,-0.018,0.021,103.501,-7.534,1.034,0.021,0,0,3.229
1780148601419,0.132,0.971,-0.238,0.014,-0.017,0.021,103.527,-7.491,1.025,0.025,0,0,3.236
1780148601433,0.131,0.972,-0.239,0.014,-0.017,0.021,103.611,-7.461,1.023,0.032,0,0,3.224
1780148601446,0.132,0.972,-0.239,0.013,-0.016,0.022,103.632,-7.522,1.027,0.038,0,0,3.231
1780148601459,0.133,0.974,-0.240,0.013,-0.015,0.023,103.648,-7.590,1.036,0.041,0,0,3.222
1780148601473,0.133,0.975,-0.240,0.013,-0.015,0.024,103.653,-7.601,1.036,0.040,0,0,3.230
1780148601486,0.135,0.976,-0.240,0.013,-0.014,0.024,103.690,-7.717,1.037,0.032,0,0,3.228
1780148601503,0.135,0.977,-0.241,0.013,-0.014,0.024,103.711,-7.751,1.032,0.028,0,0,7.222
1780148601517,0.136,0.978,-0.241,0.012,-0.014,0.024,103.727,-7.750,1.027,0.020,0,0,3.264
1780148601531,0.136,0.978,-0.241,0.012,-0.013,0.023,103.763,-7.760,1.029,0.015,0,0,3.897
1780148601544,0.136,0.979,-0.242,0.012,-0.013,0.023,103.837,-7.778,1.029,0.016,0,0,3.217
1780148601557,0.136,0.979,-0.243,0.012,-0.012,0.022,103.917,-7.770,1.030,0.017,2,2,12.907
1780148601580,0.137,0.980,-0.243,0.012,-0.012,0.022,103.934,-7.815,1.034,0.016,2,2,3.226
1780148601594,0.137,0.980,-0.243,0.012,-0.012,0.021,103.918,-7.812,1.033,0.017,2,2,3.940
1780148601608,0.138,0.981,-0.243,0.012,-0.012,0.020,103.921,-7.880,1.037,0.017,2,2,3.224
1780148601621,0.139,0.981,-0.244,0.012,-0.011,0.020,103.954,-7.952,1.029,0.016,2,2,3.256
1780148601634,0.139,0.981,-0.244,0.012,-0.011,0.019,103.964,-7.969,1.023,0.015,2,2,3.686
1780148601648,0.139,0.982,-0.244,0.012,-0.011,0.018,104.009,-7.967,1.029,0.014,2,2,3.228
1780148601661,0.139,0.982,-0.245,0.012,-0.011,0.018,104.038,-7.958,1.033,0.011,2,2,3.226
1780148601675,0.140,0.982,-0.245,0.012,-0.011,0.017,104.071,-7.999,1.028,0.009,2,2,3.229
1780148601689,0.140,0.982,-0.245,0.011,-0.010,0.017,104.073,-8.011,1.028,0.015,2,2,3.804
1780148601702,0.140,0.983,-0.246,0.011,-0.010,0.017,104.098,-7.988,1.033,0.020,2,2,3.695
1780148601716,0.140,0.983,-0.245,0.011,-0.009,0.017,104.041,-7.988,1.031,0.021,2,2,3.795
1780148601730,0.141,0.984,-0.245,0.011,-0.009,0.017,103.988,-8.031,1.038,0.021,2,2,3.224
1780148601743,0.141,0.985,-0.245,0.011,-0.009,0.017,103.958,-8.075,1.042,0.020,2,2,3.231
1780148601756,0.141,0.985,-0.245,0.010,-0.009,0.017,103.975,-8.088,1.031,0.019,2,2,3.227
1780148601770,0.142,0.985,-0.245,0.010,-0.009,0.017,103.995,-8.104,1.020,0.022,2,2,3.691
1780148601783,0.142,0.985,-0.246,0.010,-0.009,0.017,104.058,-8.147,1.024,0.020,2,2,3.241
1780148601797,0.143,0.985,-0.246,0.010,-0.009,0.017,104.115,-8.171,1.031,0.020,2,2,3.220
1780148601811,0.143,0.985,-0.246,0.009,-0.009,0.017,104.106,-8.140,1.034,0.017,2,2,3.853
1780148601824,0.142,0.985,-0.246,0.009,-0.009,0.017,104.057,-8.087,1.033,0.021,2,2,3.227
1780148601837,0.142,0.986,-0.246,0.009,-0.009,0.017,104.057,-8.089,1.039,0.019,2,2,3.702
1780148601851,0.143,0.986,-0.247,0.009,-0.009,0.017,104.149,-8.120,1.029,0.023,2,2,3.254
1780148601864,0.142,0.985,-0.247,0.009,-0.009,0.017,104.195,-8.076,1.008,0.022,2,2,3.228
1780148601878,0.143,0.985,-0.247,0.009,-0.009,0.017,104.170,-8.094,1.014,0.024,2,2,3.240
1780148601891,0.143,0.984,-0.247,0.009,-0.009,0.017,104.152,-8.091,1.020,0.022,2,2,3.226
1780148601905,0.142,0.984,-0.247,0.008,-0.009,0.017,104.189,-8.057,1.025,0.022,2,2,4.373
1780148601919,0.143,0.984,-0.248,0.008,-0.009,0.018,104.313,-8.092,1.016,0.022,2,2,3.230
1780148601932,0.142,0.984,-0.249,0.008,-0.008,0.018,104.344,-8.008,1.030,0.034,2,2,3.225
1780148601946,0.143,0.984,-0.249,0.007,-0.008,0.019,104.315,-8.062,1.035,0.040,2,2,3.234
1780148601959,0.143,0.984,-0.249,0.007,-0.007,0.020,104.299,-8.085,1.029,0.040,2,2,3.234
1780148601972,0.143,0.985,-0.249,0.007,-0.007,0.021,104.319,-8.043,1.033,0.047,2,2,3.706
1780148601986,0.141,0.985,-0.250,0.006,-0.006,0.023,104.462,-7.894,1.032,0.081,2,2,3.236
1780148602000,0.143,0.984,-0.251,0.006,-0.005,0.025,104.563,-8.054,1.018,0.087,2,2,4.227
1780148602014,0.144,0.983,-0.251,0.005,-0.004,0.028,104.515,-8.215,1.007,0.101,2,2,3.319
1780148602027,0.146,0.984,-0.250,0.005,-0.003,0.029,104.430,-8.410,1.041,0.072,2,2,3.324
1780148602042,0.147,0.984,-0.250,0.004,-0.002,0.031,104.397,-8.485,1.031,0.064,2,2,4.941
1780148602056,0.148,0.984,-0.251,0.004,-0.002,0.031,104.453,-8.600,1.050,0.035,2,2,3.234
1780148602069,0.149,0.985,-0.251,0.004,-0.001,0.032,104.398,-8.638,1.032,0.064,2,2,3.232
1780148602082,0.149,0.985,-0.250,0.004,0.000,0.033,104.323,-8.617,1.042,0.070,2,2,3.229
1780148602096,0.149,0.986,-0.250,0.003,0.002,0.034,104.216,-8.642,1.041,0.068,2,2,3.266
1780148602109,0.150,0.987,-0.249,0.004,0.003,0.035,104.152,-8.723,1.039,0.062,2,2,3.687
1780148602123,0.151,0.987,-0.249,0.004,0.003,0.035,104.071,-8.739,1.037,0.055,2,2,3.226
1780148602136,0.151,0.988,-0.248,0.004,0.004,0.036,104.001,-8.756,1.045,0.054,2,2,3.232
1780148602149,0.152,0.989,-0.247,0.006,0.003,0.035,103.856,-8.865,1.052,0.048,2,2,3.232
1780148602163,0.154,0.989,-0.247,0.008,0.002,0.034,103.833,-9.005,1.036,0.059,2,2,3.238
1780148602176,0.154,0.989,-0.248,0.009,0.002,0.033,103.967,-9.007,1.035,0.048,2,2,3.692
