timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,classe_prevista_raw,classe_prevista,delay_ms
1777495521300,-0.0974121,0.515625,-0.863281,-1.26718,-25.5573,24,135.714,5.03476,1.01025,35.0825,0,0,3.345
1777495521314,-0.103,0.526,-0.871,-2.802,-25.840,30.290,142.333,5.396,1.023,39.913,0,0,3.397
1777495521329,-0.122,0.541,-0.865,-3.939,-24.969,36.359,144.445,5.923,1.027,44.283,0,0,3.358
1777495521344,-0.139,0.543,-0.855,-5.672,-22.626,39.611,145.457,6.530,1.023,45.969,0,0,3.402
1777495521358,-0.158,0.557,-0.860,-7.435,-20.046,40.000,145.941,7.201,1.037,45.355,0,0,3.344
1777495521371,-0.174,0.543,-0.859,-9.519,-16.847,38.550,146.432,7.909,1.031,43.134,0,0,3.266
1777495521384,-0.172,0.537,-0.867,-11.656,-13.611,36.008,146.930,8.372,1.034,40.220,0,0,3.307
1777495521398,-0.159,0.543,-0.866,-13.672,-11.031,33.893,147.207,8.499,1.035,38.175,0,0,3.294
1777495521413,-0.141,0.554,-0.870,-15.137,-8.519,33.031,147.288,8.310,1.041,37.319,0,0,4.253
1777495521426,-0.131,0.565,-0.883,-15.145,-6.534,33.954,147.314,7.993,1.056,37.749,0,0,3.265
1777495521439,-0.134,0.570,-0.880,-14.450,-5.069,35.099,147.242,7.794,1.057,38.294,0,0,3.250
1777495521454,-0.123,0.577,-0.875,-13.084,-3.863,35.924,147.065,7.500,1.056,38.427,0,0,3.300
1777495521467,-0.111,0.569,-0.877,-12.634,-3.107,36.069,147.063,7.115,1.051,38.343,0,0,3.240
1777495521480,-0.098,0.567,-0.871,-12.290,-3.252,37.115,147.033,6.654,1.044,39.231,0,0,3.362
1777495521494,-0.084,0.556,-0.867,-12.802,-3.809,39.069,147.111,6.118,1.034,41.289,0,0,3.261
1777495521507,-0.078,0.550,-0.868,-13.817,-4.672,42.160,147.263,5.633,1.031,44.612,0,0,3.269
