timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,classe_prevista_raw,classe_prevista,delay_ms
1777496288222,0.0529785,0.893311,-0.471191,0.0353435,-0.674275,0.265038,107.197,-2.73223,1.01135,0.725356,0,0,3.266
1777496288236,0.007,0.906,-0.466,0.026,-0.679,0.271,112.243,-1.559,1.019,0.732,0,0,3.268
1777496288249,-0.020,0.909,-0.469,0.014,-0.672,0.277,114.144,-0.552,1.023,0.727,0,0,3.276
1777496288262,-0.053,0.915,-0.462,0.003,-0.651,0.266,114.992,0.585,1.026,0.703,0,0,3.262
1777496288276,-0.093,0.920,-0.456,-0.009,-0.617,0.258,115.406,1.949,1.031,0.669,0,0,3.266
1777496288289,-0.140,0.916,-0.443,-0.022,-0.564,0.240,115.521,3.615,1.027,0.614,0,0,3.257
1777496288302,-0.164,0.924,-0.440,-0.033,-0.498,0.205,115.499,5.139,1.037,0.540,0,0,3.273
1777496288316,-0.169,0.920,-0.441,-0.043,-0.431,0.182,115.525,6.310,1.034,0.470,0,0,3.252
1777496288329,-0.186,0.935,-0.440,-0.054,-0.357,0.156,115.434,7.368,1.050,0.393,0,0,3.261
1777496288342,-0.206,0.932,-0.456,-0.065,-0.277,0.116,115.610,8.412,1.058,0.307,0,0,3.254
1777496288356,-0.198,0.932,-0.441,-0.076,-0.194,0.073,115.529,9.078,1.050,0.221,0,0,3.271
1777496288369,-0.240,1.015,-0.433,-0.070,-0.100,0.006,114.879,9.939,1.129,0.123,0,0,3.255
1777496288383,-0.252,1.003,-0.440,-0.052,0.010,0.026,114.558,10.753,1.124,0.059,0,0,3.272
1777496288396,-0.070,0.950,-0.477,-0.032,0.026,0.092,115.126,8.863,1.065,0.100,0,0,3.255
1777496288409,-0.051,0.937,-0.475,-0.033,0.044,0.135,115.598,7.213,1.052,0.146,0,0,3.262
1777496288423,-0.017,0.942,-0.481,-0.032,0.050,0.159,115.995,5.518,1.058,0.170,0,0,3.253
1777496288437,0.001,0.930,-0.481,-0.036,0.054,0.176,116.354,4.012,1.047,0.187,0,0,3.809
1777496288450,0.068,0.946,-0.479,-0.019,0.036,0.131,116.497,1.943,1.063,0.137,0,0,3.249
1777496288463,0.060,0.950,-0.478,-0.004,0.023,0.094,116.557,0.545,1.065,0.097,0,0,3.258
1777496288477,0.066,0.936,-0.482,-0.007,0.011,0.067,116.744,-0.570,1.055,0.068,0,0,3.264
1777496288490,0.054,0.932,-0.479,-0.011,0.004,0.043,116.860,-1.212,1.049,0.045,0,0,3.262
1777496288503,0.046,0.939,-0.482,-0.015,-0.002,0.022,116.945,-1.554,1.057,0.026,0,0,3.279
1777496288517,0.033,0.935,-0.479,-0.015,-0.005,0.012,116.992,-1.623,1.051,0.020,0,0,3.239
1777496288530,0.026,0.938,-0.477,-0.018,-0.006,0.008,116.984,-1.573,1.052,0.020,0,0,3.291
1777496288543,0.026,0.938,-0.475,-0.016,-0.006,0.008,116.955,-1.532,1.052,0.019,0,0,3.248
