timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,classe_prevista_raw,classe_prevista,delay_ms,tempo_s,Fase
1778187196097,-0.0078151,0.429668,-0.504888,0.199274,-0.136293,-0.0365215,126.922,0.614033,0.99419,0.414921,0,0,3.674,0.0,0
1778187196111,0.09,0.509,-0.603,0.236,-0.152,-0.166,133.221,-6.186,1.006,0.518,0,0,3.997,0.014,0
1778187196124,0.114,0.552,-0.641,0.26,-0.16,-0.186,134.807,-7.437,1.002,0.443,0,0,3.265,0.027,0
1778187196137,0.125,0.588,-0.653,0.286,-0.146,-0.139,134.705,-7.89,1.011,0.395,0,0,3.274,0.04,0
1778187196151,0.119,0.613,-0.654,0.319,-0.11,-0.077,134.206,-7.349,0.982,0.521,0,0,3.268,0.054,0
1778187196164,0.102,0.63,-0.652,0.358,-0.05,-0.034,133.702,-6.179,0.963,0.674,0,0,3.273,0.067,0
1778187196178,0.077,0.644,-0.648,0.4,0.036,-0.012,133.192,-4.428,0.961,0.91,0,0,3.276,0.081,0
1778187196191,0.064,0.654,-0.638,0.444,0.138,-0.005,132.439,-3.562,0.926,1.181,0,0,3.285,0.094,0
1778187196205,0.229,0.426,-0.544,0.302,0.216,0.247,103.791,-9.422,2.108,2.658,0,0,4.046,0.108,0
1778187196219,0.229,0.579,-0.549,0.233,0.263,0.309,104.184,-9.039,2.046,1.191,0,0,3.264,0.122,0
1778187196232,0.239,0.498,-0.567,0.149,0.298,0.338,72.774,-10.704,0.862,1.14,0,0,3.254,0.135,0
1778187196248,0.264,0.491,-0.592,0.059,0.307,0.345,82.109,-12.849,1.084,1.086,0,0,3.266,0.151,0
1778187196262,0.291,0.5,-0.59,-0.034,0.298,0.335,87.788,-15.34,1.03,1.161,0,0,3.256,0.165,0
1778187196275,0.3,0.533,-0.588,-0.116,0.276,0.339,91.387,-15.863,1.151,1.202,0,0,3.263,0.178,0
1778187196288,0.289,0.561,-0.584,-0.191,0.253,0.326,94.427,-15.076,1.062,1.198,0,0,3.252,0.191,0
1778187196302,0.291,0.611,-0.573,-0.256,0.225,0.316,95.919,-14.872,1.383,1.181,0,0,3.274,0.205,0
1778187196315,0.263,0.76,-0.56,-0.295,0.199,0.279,96.093,-13.102,2.85,0.933,0,0,3.254,0.218,0
1778187196328,0.244,0.778,-0.56,-0.327,0.173,0.249,98.366,-11.673,1.182,0.873,0,0,3.243,0.231,0
1778187196342,0.208,0.98,-0.491,-0.289,0.167,0.229,96.764,-10.035,4.05,0.342,0,0,3.255,0.245,0
1778187196355,0.185,0.966,-0.504,-0.274,0.158,0.226,100.359,-8.167,1.033,0.183,0,0,3.267,0.258,0
1778187196368,0.169,0.969,-0.505,-0.26,0.149,0.228,102.031,-6.878,1.148,0.255,0,0,3.269,0.271,0
1778187196382,0.155,0.972,-0.504,-0.244,0.146,0.232,103.37,-5.842,1.136,0.326,0,0,3.262,0.285,0
1778187196395,0.152,0.971,-0.505,-0.227,0.144,0.234,104.782,-5.808,1.101,0.306,0,0,3.261,0.298,0
1778187196408,0.147,0.965,-0.506,-0.214,0.143,0.234,106.391,-5.57,1.01,0.263,0,0,3.259,0.311,0
1778187196422,0.146,0.959,-0.507,-0.205,0.14,0.23,107.914,-5.754,1.007,0.179,0,0,3.247,0.325,0
1778187196435,0.146,0.953,-0.509,-0.198,0.134,0.222,109.296,-6.006,1.012,0.099,0,0,3.259,0.338,0
1778187196448,0.145,0.95,-0.509,-0.192,0.127,0.211,110.245,-6.136,1.045,0.08,0,0,3.239,0.351,0
1778187196462,0.14,0.95,-0.509,-0.186,0.12,0.199,111.032,-5.714,1.065,0.083,0,0,3.269,0.365,0
1778187196475,0.132,0.947,-0.509,-0.18,0.113,0.188,111.898,-5.064,1.042,0.071,0,0,3.256,0.378,0
1778187196489,0.126,0.946,-0.511,-0.174,0.106,0.178,112.694,-4.652,1.061,0.062,1,1,3.987,0.392,0
1778187196503,0.118,0.944,-0.511,-0.167,0.1,0.17,113.344,-4.103,1.054,0.039,1,1,3.776,0.406,0
1778187196516,0.113,0.944,-0.51,-0.161,0.095,0.162,113.765,-3.796,1.062,0.04,1,1,3.253,0.419,0
1778187196530,0.109,0.944,-0.511,-0.156,0.09,0.154,114.31,-3.579,1.078,0.045,1,1,3.294,0.433,0
1778187196543,0.105,0.944,-0.511,-0.15,0.085,0.146,114.728,-3.312,1.073,0.058,1,1,3.257,0.446,0
1778187196557,0.1,0.943,-0.511,-0.145,0.079,0.137,115.095,-3.031,1.069,0.066,1,1,4.026,0.46,0
1778187196571,0.095,0.943,-0.511,-0.14,0.074,0.13,115.453,-2.684,1.062,0.058,1,1,3.273,0.474,0
1778187196584,0.09,0.942,-0.512,-0.135,0.07,0.123,115.871,-2.434,1.056,0.049,1,1,3.29,0.487,0
1778187196598,0.085,0.94,-0.512,-0.13,0.066,0.117,116.212,-2.12,1.056,0.037,1,1,3.266,0.501,0
1778187196611,0.08,0.94,-0.512,-0.125,0.063,0.112,116.476,-1.78,1.058,0.02,1,1,3.262,0.514,0
1778187196624,0.076,0.939,-0.513,-0.12,0.06,0.108,116.775,-1.58,1.05,0.013,1,1,3.969,0.527,0
1778187196638,0.072,0.937,-0.513,-0.116,0.057,0.104,117.039,-1.348,1.043,0.012,1,1,3.266,0.541,0
1778187196652,0.069,0.936,-0.513,-0.111,0.054,0.1,117.278,-1.198,1.041,0.014,1,1,3.266,0.555,0
1778187196665,0.065,0.934,-0.513,-0.107,0.052,0.096,117.545,-1.082,1.037,0.014,1,1,3.51,0.568,0
1778187196679,0.063,0.933,-0.513,-0.103,0.049,0.092,117.703,-1.085,1.039,0.024,1,1,3.254,0.582,2
1778187196692,0.061,0.932,-0.513,-0.099,0.046,0.087,117.916,-1.02,1.049,0.035,1,1,3.914,0.595,2
1778187196706,0.059,0.931,-0.513,-0.095,0.043,0.083,118.047,-1.001,1.051,0.04,1,1,3.697,0.609,2
1778187196720,0.056,0.93,-0.513,-0.092,0.04,0.078,118.186,-0.923,1.042,0.043,1,1,3.274,0.623,2
1778187196733,0.053,0.929,-0.514,-0.088,0.037,0.075,118.328,-0.789,1.054,0.038,1,1,3.252,0.636,2
1778187196747,0.051,0.928,-0.514,-0.086,0.034,0.071,118.474,-0.69,1.049,0.04,1,1,3.268,0.65,2
1778187196760,0.048,0.927,-0.514,-0.083,0.032,0.068,118.595,-0.613,1.048,0.039,1,1,3.906,0.663,2
1778187196774,0.046,0.927,-0.515,-0.081,0.03,0.064,118.729,-0.531,1.05,0.043,1,1,3.285,0.677,2
1778187196787,0.044,0.926,-0.515,-0.079,0.027,0.061,118.79,-0.497,1.041,0.052,1,1,3.314,0.69,2
1778187196801,0.042,0.925,-0.515,-0.078,0.025,0.058,118.847,-0.439,1.043,0.06,1,1,3.259,0.704,2
1778187196814,0.04,0.924,-0.515,-0.077,0.024,0.055,118.94,-0.336,1.052,0.062,1,1,3.319,0.717,2
1778187196828,0.038,0.924,-0.515,-0.077,0.022,0.052,118.96,-0.264,1.04,0.065,2,2,3.922,0.731,2
1778187196842,0.034,0.923,-0.515,-0.076,0.021,0.051,119.014,-0.017,1.046,0.068,2,2,3.275,0.745,2
1778187196855,0.032,0.923,-0.514,-0.076,0.021,0.049,119.027,0.054,1.048,0.075,2,2,3.269,0.758,2
1778187196868,0.03,0.923,-0.514,-0.076,0.02,0.049,119.04,0.129,1.049,0.084,2,2,3.254,0.771,2
1778187196882,0.028,0.923,-0.514,-0.076,0.02,0.048,118.981,0.215,1.066,0.091,2,2,3.273,0.785,2
1778187196895,0.026,0.924,-0.513,-0.077,0.021,0.048,118.906,0.247,1.066,0.093,2,2,3.895,0.798,2
1778187196910,0.024,0.925,-0.513,-0.077,0.021,0.048,118.783,0.341,1.064,0.096,2,2,3.885,0.813,2
1778187196923,0.023,0.926,-0.512,-0.077,0.021,0.048,118.692,0.312,1.067,0.098,2,2,3.273,0.826,2
1778187196936,0.022,0.926,-0.511,-0.077,0.021,0.048,118.625,0.261,1.059,0.094,2,2,3.274,0.839,3
1778187196950,0.022,0.927,-0.511,-0.077,0.021,0.047,118.554,0.147,1.065,0.083,2,2,3.272,0.853,3
1778187196963,0.022,0.927,-0.51,-0.076,0.02,0.046,118.437,0.002,1.056,0.069,2,2,3.902,0.866,3
1778187196977,0.023,0.928,-0.509,-0.076,0.018,0.043,118.384,-0.203,1.06,0.064,2,2,3.313,0.88,3
1778187196991,0.023,0.928,-0.508,-0.074,0.017,0.039,118.254,-0.342,1.051,0.069,2,2,3.272,0.894,3
1778187197004,0.021,0.929,-0.506,-0.071,0.015,0.036,118.09,-0.21,1.053,0.068,2,2,3.286,0.907,3
1778187197017,0.019,0.929,-0.505,-0.067,0.014,0.033,118.012,-0.049,1.057,0.06,2,2,3.257,0.92,3
