experiment_base,accuracy_mean,,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,training_time,time_std,epochs_mean,epochs_std
layers_256-128-64-32_s4,0.9705,±,0.0074,0.9714,0.0069,0.9705,0.0074,0.9708,0.0073,185.1863,51.7888,33.5000,10.2225
layers_128-64-32_s4,0.9508,±,0.0098,0.9533,0.0087,0.9508,0.0098,0.9514,0.0096,158.6919,56.4784,40.3000,15.0558
layers_64-32_s4,0.8981,±,0.0068,0.9068,0.0059,0.8981,0.0068,0.9002,0.0066,89.5788,17.4541,31.6000,7.0585
,,±,,,,,,,,,,,
XGBoost,0.9673,±,0.0030,0.9673,0.0030,0.9673,0.0030,0.9672,0.0030,31.1865,0.9534,-,-
Random Forest,0.9552,±,0.0057,0.9551,0.0057,0.9552,0.0057,0.9549,0.0057,67.7373,0.7900,-,-
SVM,0.8528,±,0.0064,0.8681,0.0059,0.8528,0.0064,0.8566,0.0062,102.8982,1.9074,-,-
Naive Bayes,0.5226,±,0.0111,0.6507,0.0078,0.5226,0.0111,0.5304,0.0122,0.1381,0.0117,-,-
,,,,,,,,,,,,,
,0.9705,±,0.0074,,,,,,,,,,
,0.9508,±,0.0098,,,,,,,,,,
,0.8981,±,0.0068,,,,,,,,,,
,,±,,,,,,,,,,,
,0.9673,±,0.0030,,,,,,,,,,
,0.9552,±,0.0057,,,,,,,,,,
,0.8528,±,0.0064,,,,,,,,,,
,0.5226,±,0.0111,,,,,,,,,,
