t,mode,S,prom
0.004,1.0,5.0,0.0
0.01,1.0,5.0,0.0
0.02,1.0,5.0,0.0
0.03,1.0,5.0,0.0
0.04,1.0,5.0,0.0
0.05,1.0,5.0,0.0
0.06,1.0,5.0,0.0
0.07,1.0,5.0,0.0006138136610388756
0.08,1.0,5.0,0.0012276273220777512
0.08999999999999998,1.0,5.0,0.0031795086339116096
0.1,1.0,5.0,0.005910808779299258
0.11,1.0,5.0,0.008606690540909767
0.12,1.0,5.0,0.01095351055264473
0.13,1.0,5.0,0.013300330564379691
0.14,1.0,5.0,0.015084873139858243
0.15,1.0,5.0,0.016113217175006866
0.16,1.0,5.0,0.01609194001648575
0.17,1.0,5.0,0.014642554544843731
0.18,1.0,5.0,0.013193169073201717
0.19,1.0,5.0,0.01026950862724334
0.2,1.0,5.0,0.006682981760241092
0.21,1.0,5.0,0.003053083945997059
0.22,1.0,5.0,-0.0006000075256451965
0.23,1.0,5.0,-0.004253098997287453
0.24,1.0,5.0,-0.007788958284072577
0.25,1.0,5.0,-0.010815822402946653
0.26,1.0,5.0,-0.012583882268518209
0.271,1.0,5.0,-0.012426268262788653
0.281,1.0,5.0,-0.010689156549051403
0.291,1.0,5.0,-0.008204911602661014
0.301,1.0,5.0,-0.005875566089525819
0.311,1.0,5.0,-0.003750857384875417
0.321,1.0,5.0,-0.0012538932729512452
0.331,1.0,5.0,-5.630054511129856e-05
0.341,1.0,5.0,0.001099432585760951
0.351,1.0,5.0,0.0034336102195084094
0.361,1.0,5.0,0.005736628826707601
0.371,1.0,5.0,0.006928268214687705
0.381,1.0,5.0,0.0064494871534407135
0.391,1.0,5.0,0.005870706122368574
0.402,1.0,5.0,0.005322088301181793
0.412,1.0,5.0,0.005319332797080278
0.422,1.0,5.0,0.005316577292978764
0.432,1.0,5.0,0.00816234117373824
0.442,1.0,5.0,0.012783869076520203
0.452,1.0,5.0,0.01664178534410894
0.462,1.0,5.0,0.019203867902979253
0.472,1.0,5.0,0.020104310801252724
0.482,1.0,5.0,0.021095676440745597
0.492,1.0,5.0,0.021425561420619486
0.502,1.0,5.0,0.022778791096061467
0.512,1.0,5.0,0.024468488711863755
0.522,1.0,5.0,0.025008217897266153
0.532,1.0,5.0,0.023998799081891776
0.542,1.0,5.0,0.01820386247709393
0.552,1.0,5.0,0.009200809989124537
0.562,1.0,5.0,0.0015465239994227886
0.572,1.0,5.0,-0.002349709253758192
0.582,1.0,5.0,-0.006245942506939173
0.592,1.0,5.0,-0.007296171784400941
0.602,1.0,5.0,-0.006370100006461143
0.612,1.0,5.0,-0.004879508912563324
0.622,1.0,5.0,-0.0017060775309801102
0.632,1.0,5.0,0.0014673538506031036
0.642,1.0,5.0,0.010491746850311756
0.652,1.0,5.0,0.025337341614067557
0.662,1.0,5.0,0.04172521326690912
0.672,1.0,5.0,0.0573860028758645
0.682,1.0,5.0,0.07304679248481989
0.692,1.0,5.0,0.08530936278402805
