t,k_pos,k_vel,k_acc,a_pos,a_vel,a_acc,e_pos,e_vel,e_acc,R10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8169999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8299999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
