t,mode,S,prom
0.001,5.0,5.0,0.0
0.01,5.0,5.0,0.0
0.02,5.0,5.0,0.0
0.03,5.0,5.0,0.0
0.04,5.0,5.0,0.0
0.05,5.0,5.0,0.0
0.06,5.0,5.0,0.0
0.07,5.0,5.0,0.000530000077560544
0.08,5.0,5.0,0.002179683232679963
0.08999999999999998,5.0,5.0,0.004313392424955964
0.1,5.0,5.0,0.0064471016172319645
0.11,5.0,5.0,0.00805884269066155
0.12,5.0,5.0,0.008714918745681643
0.13,5.0,5.0,0.00848370308522135
0.14,5.0,5.0,0.0077426426345482465
0.15,5.0,5.0,0.007001582183875144
0.16,5.0,5.0,0.0058122226269915695
0.17,5.0,5.0,0.003452071244828403
0.18,5.0,5.0,-0.0004810015903785825
0.19,5.0,5.0,-0.004818835784681142
0.2,5.0,5.0,-0.009156669978983699
0.21,5.0,5.0,-0.012560644489713012
0.22,5.0,5.0,-0.014633277826942504
0.23,5.0,5.0,-0.015709495451301337
0.24,5.0,5.0,-0.016260186955332757
0.25,5.0,5.0,-0.016810878459364176
0.26,5.0,5.0,-0.016622783429920674
0.27,5.0,5.0,-0.015356139000505208
0.28,5.0,5.0,-0.013265031343325972
0.29,5.0,5.0,-0.010982585395686329
0.3,5.0,5.0,-0.008700139448046686
0.31,5.0,5.0,-0.006713399942964315
0.32,5.0,5.0,-0.004953679139725864
0.33,5.0,5.0,-0.003228418459184468
0.34,5.0,5.0,-0.0018045442877337337
0.35,5.0,5.0,-0.0003806701162829995
0.36,5.0,5.0,0.00024383459240198132
0.371,5.0,5.0,-0.00012801578268408775
0.381,5.0,5.0,-0.0012902999762445689
0.391,5.0,5.0,-0.00278856058139354
0.401,5.0,5.0,-0.004286821186542511
0.411,5.0,5.0,-0.005617685802280903
0.421,5.0,5.0,-0.006784618576057255
0.431,5.0,5.0,-0.00785415198188275
0.441,5.0,5.0,-0.00850994533393532
0.451,5.0,5.0,-0.009165738685987888
0.461,5.0,5.0,-0.009310319274663923
0.471,5.0,5.0,-0.008975784061476588
0.481,5.0,5.0,-0.008217161055654286
0.491,5.0,5.0,-0.007294040964916349
0.501,5.0,5.0,-0.00637092087417841
0.511,5.0,5.0,-0.005566056468524039
0.521,5.0,5.0,-0.004880199150647968
0.531,5.0,5.0,-0.004093752393964678
0.541,5.0,5.0,-0.0031461848062463104
0.551,5.0,5.0,-0.002198617218527943
0.561,5.0,5.0,-0.0012812994071282446
0.571,5.0,5.0,-0.0005969923688098789
0.581,5.0,5.0,-0.00022026996593922375
0.591,5.0,5.0,-0.00016178430523723365
0.601,5.0,5.0,-0.00010329864453524352
0.611,5.0,5.0,-0.00029670153744518755
0.621,5.0,5.0,-0.0006380841019563377
0.631,5.0,5.0,-0.0011672673397697508
0.641,5.0,5.0,-0.0019856062834151087
0.651,5.0,5.0,-0.0027609440847299995
0.661,5.0,5.0,-0.003456331172492355
0.671,5.0,5.0,-0.0037771994946524494
0.681,5.0,5.0,-0.003844111016951501
0.691,5.0,5.0,-0.003691909438930452
0.701,5.0,5.0,-0.0037042794516310095
0.711,5.0,5.0,-0.003805421688593924
0.7209999999999999,5.0,5.0,-0.004025050741620362
0.731,5.0,5.0,-0.0042887864401564
0.741,5.0,5.0,-0.004552522138692438
0.751,5.0,5.0,-0.0046667304355651135
0.761,5.0,5.0,-0.004620599886402488
0.771,5.0,5.0,-0.004614703846164048
0.781,5.0,5.0,-0.004649498127400875
0.791,5.0,5.0,-0.004684292408637702
0.801,5.0,5.0,-0.004695022455416619
0.811,5.0,5.0,-0.004692027787677944
0.8209999999999998,5.0,5.0,-0.004689891287125647
0.8309999999999998,5.0,5.0,-0.004607102111913264
0.8409999999999999,5.0,5.0,-0.004199072089977563
0.851,5.0,5.0,-0.003983570612035692
0.861,5.0,5.0,-0.003775325685273856
0.871,5.0,5.0,-0.003816673869732767
0.881,5.0,5.0,-0.004398858489003033
0.891,5.0,5.0,-0.005807945888955146
0.901,5.0,5.0,-0.0070765259326435615
0.911,5.0,5.0,-0.008709951501805334
0.921,5.0,5.0,-0.010119736765045672
0.931,5.0,5.0,-0.011038283968809992
0.941,5.0,5.0,-0.011669254128355531
0.951,5.0,5.0,-0.012300224287901071
0.961,5.0,5.0,-0.012860044185072184
0.971,5.0,5.0,-0.013257992034778
0.981,5.0,5.0,-0.013177990214899182
0.9910000000000002,5.0,5.0,-0.012383844004943969
1.001,5.0,5.0,-0.011589697794988751
1.011,5.0,5.0,-0.010299380915239454
1.021,5.0,5.0,-0.009006846835836768
1.031,5.0,5.0,-0.008085091831162574
1.041,5.0,5.0,-0.007599399285390973
1.051,5.0,5.0,-0.0071137067396193744
1.061,5.0,5.0,-0.00695679453201592
1.071,5.0,5.0,-0.0070038468576967714
1.081,5.0,5.0,-0.0071013479493558405
1.091,5.0,5.0,-0.00714690973982215
1.101,5.0,5.0,-0.007192471530288458
1.111,5.0,5.0,-0.007130901422351598
1.121,5.0,5.0,-0.006938354950398207
1.131,5.0,5.0,-0.006702159345149994
1.141,5.0,5.0,-0.006589839863590896
1.151,5.0,5.0,-0.006477520382031798
1.161,5.0,5.0,-0.0063790151383727785
1.171,5.0,5.0,-0.006149950157850981
1.181,5.0,5.0,-0.0059387995395809405
1.191,5.0,5.0,-0.0057565764989703895
1.201,5.0,5.0,-0.005574353458359838
1.211,5.0,5.0,-0.005424572667106986
1.221,5.0,5.0,-0.005501310341060162
1.231,5.0,5.0,-0.005912240874022245
1.241,5.0,5.0,-0.0065671272808685895
1.251,5.0,5.0,-0.007222013687714935
1.261,5.0,5.0,-0.007936998829245567
1.271,5.0,5.0,-0.008511570002883672
1.281,5.0,5.0,-0.008758112275972962
1.291,5.0,5.0,-0.008802318340167403
1.301,5.0,5.0,-0.008846524404361844
1.311,5.0,5.0,-0.009008083352819085
1.321,5.0,5.0,-0.009266681503504513
1.331,5.0,5.0,-0.009501925762742756
1.341,5.0,5.0,-0.00971279703080654
1.351,5.0,5.0,-0.009923668298870323
1.361,5.0,5.0,-0.009936996176838877
1.371,5.0,5.0,-0.009706263896077871
1.381,5.0,5.0,-0.009501833049580456
1.391,5.0,5.0,-0.009489039750769734
1.401,5.0,5.0,-0.009476246451959014
1.411,5.0,5.0,-0.00959412925876677
1.421,5.0,5.0,-0.009907263470813632
1.431,5.0,5.0,-0.01036076811142266
1.441,5.0,5.0,-0.010648857103660704
1.451,5.0,5.0,-0.010936946095898748
1.461,5.0,5.0,-0.011126313218846917
1.471,5.0,5.0,-0.011486768210306765
1.481,5.0,5.0,-0.012051265966147183
1.491,5.0,5.0,-0.012695266865193844
1.501,5.0,5.0,-0.013339267764240504
1.511,5.0,5.0,-0.013855667691677807
1.521,5.0,5.0,-0.014127696584910154
1.531,5.0,5.0,-0.01424542274326086
1.541,5.0,5.0,-0.014338597655296326
1.551,5.0,5.0,-0.014431772567331792
1.561,5.0,5.0,-0.014491260517388582
1.571,5.0,5.0,-0.014406712073832753
1.581,5.0,5.0,-0.014261383656412364
1.591,5.0,5.0,-0.01412618262693286
1.601,5.0,5.0,-0.013990981597453355
1.611,5.0,5.0,-0.013702330365777017
1.621,5.0,5.0,-0.01314713703468442
1.631,5.0,5.0,-0.01232514688745141
1.641,5.0,5.0,-0.011368630081415176
1.651,5.0,5.0,-0.010412113275378942
1.661,5.0,5.0,-0.009607837814837697
1.671,5.0,5.0,-0.00909272199496627
1.681,5.0,5.0,-0.008544034231454134
1.691,5.0,5.0,-0.007737602759152651
1.701,5.0,5.0,-0.006931171286851168
1.711,5.0,5.0,-0.0060891062021255484
1.721,5.0,5.0,-0.005368619691580534
1.731,5.0,5.0,-0.0050223110476508735
