time,ax,ay,az,gx,gy,gz
1746729740.2653892,-0.45,-9.89,-9.7,0.02,0.01,-0.02
1746729740.3478208,-0.49,-9.9,-9.65,0.03,0.01,-0.02
1746729740.355825,-0.51,-9.87,-9.7,0.03,0.01,-0.02
1746729740.3559878,-0.42,-9.89,-9.64,0.03,0.01,-0.03
1746729740.3559878,-0.52,-9.85,-9.65,0.03,0.01,-0.02
1746729740.3559878,-0.58,-9.88,-9.75,0.03,0.02,-0.03
1746729740.3641796,-0.46,-9.79,-9.7,0.04,0.01,-0.03
1746729740.3641796,-0.46,-9.78,-9.64,0.04,0.0,-0.02
1746729740.3641796,-0.46,-9.83,-9.63,0.04,0.0,-0.02
1746729740.3641796,-0.49,-9.85,-9.64,0.04,0.0,-0.03
1746729740.3884735,-0.42,-9.88,-9.67,0.03,0.01,-0.03
1746729740.3884735,-0.51,-9.85,-9.7,0.03,0.01,-0.03
1746729740.3884735,-0.5,-9.87,-9.7,0.04,0.01,-0.02
1746729740.4011445,-0.45,-9.75,-9.6,0.04,0.01,-0.02
1746729740.4034426,-0.49,-9.79,-9.72,0.04,0.0,-0.02
1746729740.404815,-0.49,-9.85,-9.66,0.04,0.01,-0.02
1746729740.4059176,-0.49,-9.82,-9.62,0.04,0.01,-0.03
1746729740.4070537,-0.46,-9.77,-9.67,0.04,0.02,-0.03
1746729740.408184,-0.45,-9.87,-9.7,0.04,0.01,-0.03
1746729740.409316,-0.43,-9.9,-9.71,0.04,-0.0,-0.03
1746729740.4300709,-0.45,-9.85,-9.67,0.03,0.01,-0.03
1746729740.4373772,-0.46,-9.87,-9.7,0.04,0.0,-0.02
1746729740.4373772,-0.46,-9.85,-9.66,0.03,0.01,-0.02
1746729740.4373772,-0.49,-9.85,-9.65,0.04,0.0,-0.02
1746729740.4373772,-0.48,-9.92,-9.7,0.03,0.0,-0.02
1746729740.4373772,-0.47,-9.86,-9.61,0.04,0.01,-0.03
1746729740.4453795,-0.48,-9.86,-9.6,0.03,0.01,-0.03
1746729740.4453795,-0.47,-9.86,-9.62,0.03,0.01,-0.03
1746729740.4453795,-0.49,-9.87,-9.7,0.03,0.01,-0.03
1746729740.4533808,-0.46,-9.78,-9.74,0.03,0.02,-0.03
1746729740.4693875,-0.47,-9.85,-9.67,0.03,0.01,-0.03
1746729740.4774172,-0.47,-9.85,-9.61,0.03,0.02,-0.04
1746729740.4774172,-0.46,-9.87,-9.77,0.03,0.02,-0.04
1746729740.4774172,-0.43,-9.76,-9.64,0.03,0.02,-0.03
1746729740.4774172,-0.46,-9.86,-9.63,0.03,0.01,-0.03
1746729740.4774172,-0.45,-9.8,-9.68,0.03,0.01,-0.03
1746729740.4774172,-0.43,-9.85,-9.7,0.03,0.01,-0.03
1746729740.4854167,-0.51,-9.86,-9.58,0.03,0.01,-0.03
1746729740.4854167,-0.43,-9.78,-9.65,0.03,0.0,-0.03
