time,ax,ay,az,gx,gy,gz
1746730006.9245372,-0.08,-9.88,-10.26,0.04,0.0,-0.05
1746730007.0146103,-0.21,-9.89,-10.09,0.04,0.0,-0.03
1746730007.0146103,-0.18,-9.89,-10.16,0.04,0.01,-0.04
1746730007.0146103,-0.1,-9.91,-10.14,0.04,0.0,-0.05
1746730007.022926,-0.14,-9.9,-10.14,0.04,0.01,-0.03
1746730007.022926,-0.13,-9.88,-10.21,0.04,0.0,-0.04
1746730007.022926,-0.06,-9.96,-10.09,0.04,0.01,-0.04
1746730007.022926,-0.17,-9.94,-10.2,0.02,0.01,-0.02
1746730007.0309327,-0.12,-9.9,-10.2,0.05,0.0,-0.04
1746730007.0309327,-0.05,-10.0,-10.14,0.04,0.01,-0.03
1746730007.055809,-0.19,-9.82,-10.16,0.03,0.0,-0.03
1746730007.055809,-0.06,-9.84,-10.18,0.05,0.01,-0.04
1746730007.0640407,-0.14,-9.87,-10.15,0.04,0.0,-0.03
1746730007.0640407,-0.14,-9.94,-10.09,0.05,0.0,-0.05
1746730007.0640407,-0.15,-9.94,-10.06,0.03,0.01,-0.03
1746730007.0720274,-0.14,-9.9,-10.13,0.05,0.0,-0.04
1746730007.0720274,-0.2,-10.0,-10.03,0.06,-0.0,-0.05
1746730007.0720274,-0.07,-9.92,-10.15,0.05,-0.0,-0.03
1746730007.0720274,0.01,-10.05,-10.06,0.04,0.0,-0.03
1746730007.0720274,-0.17,-9.92,-10.26,0.02,0.01,-0.03
1746730007.105587,-0.12,-9.95,-10.27,0.04,0.01,-0.03
1746730007.1066585,-0.23,-9.87,-10.08,0.04,0.01,-0.02
1746730007.1066585,-0.06,-9.69,-10.49,0.06,-0.04,-0.01
1746730007.1087954,0.0,-9.64,-10.36,0.09,-0.02,-0.05
1746730007.1098683,-0.19,-10.03,-10.27,0.04,-0.0,-0.02
1746730007.1120212,0.02,-9.86,-10.14,0.05,0.02,-0.04
1746730007.1130931,-0.14,-9.87,-9.99,0.05,0.02,-0.03
1746730007.1141586,0.01,-9.94,-10.02,0.04,0.01,-0.02
1746730007.1172965,-0.29,-9.83,-10.09,0.03,0.02,-0.02
1746730007.1201382,-0.13,-9.96,-10.04,0.03,0.01,-0.03
1746730007.1444423,-0.16,-9.92,-10.09,0.03,0.01,-0.02
1746730007.1444423,-0.13,-9.9,-10.13,0.04,0.01,-0.03
1746730007.1444423,-0.15,-9.98,-10.2,0.04,0.01,-0.02
1746730007.1444423,-0.07,-9.84,-10.04,0.04,0.01,-0.02
1746730007.1444423,-0.19,-9.85,-10.21,0.04,0.0,-0.02
1746730007.1524942,-0.14,-9.9,-10.05,0.04,0.01,-0.02
1746730007.1524942,-0.11,-9.87,-10.09,0.03,0.01,-0.02
1746730007.1524942,-0.11,-9.89,-10.12,0.03,0.01,-0.03
1746730007.1524942,-0.11,-9.92,-10.11,0.03,0.0,-0.03
1746730007.1524942,-0.16,-9.87,-10.24,0.03,0.0,-0.03
1746730007.1767955,-0.06,-9.93,-10.1,0.03,0.01,-0.02
1746730007.1767955,-0.16,-9.89,-10.17,0.03,0.0,-0.02
