timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista
1774300188773,-0.0208403,-0.667866,-0.0810817,0.0411134,-0.610828,0.334781,0,0,3.27477,-1
1774300188787,-0.023349,-0.801572,-0.097412,0.0897419,-0.850346,0.395154,0,0,3.27278,-1
1774300188800,-0.0242156,-0.858618,-0.104212,0.155541,-0.95659,0.40036,0,0,3.28216,-1
1774300188814,-0.0252458,-0.890548,-0.107122,0.176462,-0.974024,0.394156,0,0,3.28527,-1
1774300188827,-0.0244616,-0.909844,-0.110286,0.14241,-0.989348,0.412371,0,0,3.26812,-1
1774300188841,-0.0241087,-0.924209,-0.110834,0.139084,-0.998612,0.502533,0,0,3.81709,-1
1774300188854,-0.0244859,-0.934954,-0.112645,0.135559,-1.01195,0.483011,0,0,3.24555,-1
1774300188868,-0.0243876,-0.942551,-0.113649,0.136772,-0.99772,0.513026,0,0,3.24614,-1
1774300188881,-0.0242016,-0.948605,-0.115227,0.141275,-1.01393,0.52879,0,0,3.24836,-1
1774300188895,-0.0247171,-0.953657,-0.115697,0.116436,-0.998605,0.543225,0,0,3.37541,0
1774300188908,-0.0250997,-0.957785,-0.116385,0.106411,-0.979075,0.558987,0,0,3.31347,0
1774300188922,-0.0251676,-0.961572,-0.117306,0.10007,-0.961161,0.568046,0,0,3.27804,0
1774300188935,-0.0252859,-0.965039,-0.118096,0.103348,-0.965911,0.569109,0,0,3.32232,0
1774300188948,-0.0254262,-0.967556,-0.118536,0.091529,-0.971946,0.582782,0,0,3.29897,5
1774300188962,-0.0254955,-0.969978,-0.11885,0.0848249,-0.944297,0.586842,0,0,3.2726,5
1774300188975,-0.0253509,-0.971779,-0.118888,0.0894521,-0.939779,0.578115,0,0,3.28747,5
1774300188989,-0.0256826,-0.973335,-0.119316,0.113977,-0.944249,0.5743,0,0,3.32915,5
1774300189002,-0.0256478,-0.975017,-0.119384,0.141488,-0.943317,0.562634,0,0,3.32108,5
1774300189016,-0.0263816,-0.975833,-0.119368,0.197339,-0.914674,0.521624,0,0,3.28073,5
1774300189029,-0.026529,-0.976664,-0.11928,0.240204,-0.893894,0.5011,0,0,3.30279,5
1774300189043,-0.0269231,-0.977624,-0.119272,0.303284,-0.873418,0.474729,0,0,3.30253,5
1774300189057,-0.0258376,-0.978869,-0.118759,0.330969,-0.876715,0.488659,0,0,3.80218,5
1774300189070,-0.0262789,-0.98055,-0.118904,0.354921,-0.87285,0.485206,0,0,3.28056,5
1774300189083,-0.0254245,-0.981835,-0.11885,0.358076,-0.863954,0.500451,0,0,3.27293,5
1774300189097,-0.0250673,-0.983472,-0.118865,0.383475,-0.854779,0.485832,0,0,3.28906,5
1774300189110,-0.0247612,-0.984917,-0.118854,0.408887,-0.861408,0.461895,0,0,3.27651,5
1774300189124,-0.0250483,-0.985054,-0.11878,0.438081,-0.8713,0.434069,0,0,3.28888,5
1774300189137,-0.0255921,-0.985908,-0.118836,0.467078,-0.885592,0.391989,0,0,3.2758,5
1774300189151,-0.0258662,-0.986881,-0.118901,0.472502,-0.919106,0.369328,0,0,3.89359,5
1774300189164,-0.0259034,-0.987891,-0.11862,0.460245,-0.932593,0.366876,0,0,3.27653,5
1774300189178,-0.0260832,-0.98855,-0.118489,0.432051,-0.920296,0.385405,0,0,3.26762,5
1774300189191,-0.0256553,-0.98936,-0.118377,0.381395,-0.906098,0.422076,0,0,3.28934,5
1774300189205,-0.0255715,-0.989817,-0.118142,0.322794,-0.88207,0.478773,0,0,3.27443,5
1774300189218,-0.0255628,-0.990083,-0.118026,0.267446,-0.848871,0.534564,0,0,3.28425,5
1774300189231,-0.0257291,-0.990486,-0.117789,0.208899,-0.815081,0.586431,0,0,3.27388,5
1774300189245,-0.0259901,-0.990959,-0.117656,0.154404,-0.793093,0.640401,0,0,3.85926,5
1774300189259,-0.0258932,-0.991865,-0.11815,0.0825456,-0.781253,0.691956,0,0,3.26782,5
1774300189272,-0.0258583,-0.992279,-0.118174,0.0277641,-0.760034,0.726785,0,0,3.2688,5
1774300189286,-0.0257913,-0.992671,-0.1184,-0.0224155,-0.761538,0.74858,0,0,3.28068,5
1774300189299,-0.0262013,-0.992863,-0.118434,-0.0455871,-0.753782,0.754666,0,0,3.27412,5
1774300189312,-0.0263773,-0.992922,-0.118725,-0.0652077,-0.74605,0.766055,0,0,3.27925,5
1774300189326,-0.0263097,-0.993458,-0.118856,-0.0880222,-0.766607,0.77373,0,0,3.27194,5
1774300189339,-0.0263235,-0.993579,-0.118724,-0.101685,-0.767725,0.766628,0,0,3.28142,5
1774300189352,-0.0262811,-0.993648,-0.11851,-0.102847,-0.78395,0.770777,0,0,3.28927,5
1774300189366,-0.0264951,-0.993693,-0.118704,-0.111734,-0.77802,0.776851,0,0,3.27149,5
1774300189379,-0.026357,-0.994099,-0.118944,-0.112755,-0.788865,0.797707,0,0,3.2821,5
1774300189394,-0.0264894,-0.994189,-0.119294,-0.119765,-0.775327,0.796195,0,0,5.01764,5
1774300189408,-0.0267032,-0.994066,-0.119298,-0.0940073,-0.777671,0.794339,0,0,3.30456,5
1774300189421,-0.0265897,-0.994485,-0.119247,-0.0731753,-0.785055,0.799488,0,0,3.26823,5
1774300189435,-0.0266016,-0.994655,-0.119385,-0.0543965,-0.770474,0.799603,0,0,3.27901,5
1774300189448,-0.0266456,-0.994981,-0.119308,-0.0358284,-0.771365,0.794975,0,0,3.29571,5
1774300189462,-0.0266115,-0.99539,-0.119377,-0.0252029,-0.776507,0.797926,0,0,3.9564,5
1774300189475,-0.0265463,-0.995508,-0.11979,-0.0194824,-0.775766,0.786517,0,0,3.26951,5
1774300189489,-0.0264733,-0.995686,-0.120065,-0.0119374,-0.786674,0.784783,0,0,3.26625,5
1774300189502,-0.026187,-0.995834,-0.120002,-0.00954678,-0.784502,0.777562,0,0,3.27903,5
1774300189515,-0.0263139,-0.996181,-0.119791,-0.00428497,-0.79448,0.78793,0,0,3.27105,5
1774300189529,-0.0261542,-0.99662,-0.119632,-0.0104845,-0.795306,0.786978,0,0,3.27831,5
1774300189542,-0.0260773,-0.996953,-0.119632,-0.00560254,-0.803811,0.766763,0,0,3.28253,5
1774300189556,-0.0261548,-0.997174,-0.11947,-0.00872059,-0.807545,0.762709,0,0,3.32064,5
1774300189569,-0.0259379,-0.997104,-0.119413,-0.00780145,-0.820935,0.755024,0,0,3.27945,5
1774300189583,-0.0260537,-0.997157,-0.119347,0.0115099,-0.840862,0.730185,0,0,3.29299,5
1774300189596,-0.0260353,-0.997433,-0.119521,0.0310192,-0.857093,0.711464,0,0,3.28877,5
1774300189610,-0.0264154,-0.997492,-0.119601,0.0472855,-0.874553,0.673645,0,0,3.28029,5
1774300189623,-0.0261447,-0.99757,-0.119645,0.066923,-0.900891,0.638384,0,0,3.28492,5
1774300189636,-0.0267022,-0.997226,-0.120149,0.110317,-0.922316,0.568673,0,0,3.28056,5
1774300189650,-0.0268699,-0.997176,-0.120126,0.147412,-0.950251,0.508884,0,0,3.33671,5
1774300189663,-0.0266225,-0.997354,-0.120018,0.199563,-0.976615,0.453316,0,0,3.28971,5
1774300189678,-0.0262252,-0.997567,-0.120119,0.247067,-1.03363,0.414584,0,0,4.26555,5
1774300189691,-0.0259742,-0.997888,-0.11998,0.295758,-1.06603,0.372031,0,0,3.27453,5
1774300189704,-0.0257128,-0.998088,-0.12019,0.364848,-1.10774,0.3293,0,0,3.2749,5
1774300189718,-0.0257093,-0.997915,-0.12009,0.427913,-1.15696,0.285541,0,0,3.28436,5
1774300189731,-0.0255561,-0.997942,-0.119866,0.468158,-1.19613,0.265233,0,0,3.27527,5
1774300189744,-0.025506,-0.99785,-0.119792,0.509141,-1.24167,0.237926,0,0,3.29223,5
1774300189758,-0.0240558,-0.998169,-0.119656,0.549964,-1.3292,0.22843,0,0,3.29153,5
1774300189772,-0.0235578,-0.998399,-0.119173,0.579072,-1.35142,0.213471,0,0,4.05306,5
1774300189785,-0.0240448,-0.998983,-0.119204,0.57956,-1.33941,0.20235,0,0,3.26645,5
1774300189799,-0.0238684,-0.999445,-0.118688,0.604435,-1.35077,0.191425,0,0,3.26479,5
1774300189812,-0.0239458,-0.99964,-0.118675,0.622346,-1.37521,0.160983,0,0,3.27592,5
1774300189825,-0.0239984,-0.999624,-0.118428,0.631114,-1.39827,0.15238,0,0,3.26503,5
1774300189839,-0.0241235,-0.999523,-0.118214,0.62954,-1.41747,0.142546,0,0,3.2739,5
1774300189852,-0.0240828,-0.9998,-0.11788,0.614349,-1.42146,0.146112,0,0,3.31577,5
1774300189866,-0.0239476,-0.999948,-0.117326,0.573888,-1.43892,0.155473,0,0,3.29743,5
1774300189879,-0.0242139,-1.00001,-0.117159,0.528846,-1.41216,0.174159,0,0,3.27688,5
1774300189893,-0.0240623,-0.999736,-0.117011,0.48419,-1.41559,0.196506,0,0,3.29092,5
1774300189906,-0.0241525,-0.999651,-0.116848,0.448034,-1.3957,0.214174,0,0,3.28547,5
1774300189920,-0.0242922,-0.999496,-0.117247,0.407484,-1.38506,0.232564,0,0,3.28255,5
1774300189933,-0.0239342,-0.999667,-0.117042,0.367068,-1.38487,0.261055,0,0,3.28508,5
1774300189946,-0.0236774,-0.999618,-0.117101,0.337485,-1.37356,0.293087,0,0,3.27662,1
1774300189960,-0.0237845,-0.999602,-0.116924,0.299711,-1.35732,0.324606,0,0,3.32521,1
1774300189973,-0.0237159,-0.999588,-0.116839,0.259775,-1.3407,0.350931,0,0,3.27645,1
1774300189988,-0.0233084,-0.999328,-0.116961,0.230216,-1.35199,0.370641,0,0,4.31764,1
1774300190001,-0.0232286,-0.999389,-0.11696,0.221156,-1.36265,0.369119,0,0,3.27749,1
1774300190014,-0.0234834,-0.99948,-0.117109,0.192906,-1.3817,0.361259,0,0,3.28557,1
1774300190028,-0.0234707,-0.999706,-0.116995,0.186367,-1.39669,0.346561,0,0,3.28825,1
1774300190041,-0.0227964,-0.999623,-0.117185,0.184906,-1.40997,0.336542,0,0,3.29312,1
1774300190055,-0.0229205,-0.99949,-0.117196,0.195515,-1.42594,0.309956,0,0,3.31354,1
1774300190068,-0.0227402,-0.999288,-0.117484,0.201676,-1.45643,0.303274,0,0,3.27597,1
1774300190081,-0.0228028,-0.999084,-0.117663,0.204494,-1.46209,0.288832,0,0,3.29245,1
1774300190095,-0.0230228,-0.999306,-0.117803,0.199874,-1.46743,0.276912,0,0,3.27758,1
