Starting real-time gait reader (100Hz). Press any key to stop.
Expected Class Range: 1-5.
[OK] MPU6050 initialized on /dev/i2c-1 (0x68)
ax:0.10083 ay:-0.900391 az:-0.506104 gx:-8.69466 gy:0.0610687 gz:-0.442748 | Class: -1 | Delay: 3.27063 ms
ax:0.10791 ay:-0.868896 az:-0.494629 gx:-6.26718 gy:1.01527 gz:-0.916031 | Class: -1 | Delay: 3.29006 ms
ax:0.118408 ay:-0.888428 az:-0.501953 gx:-4.35115 gy:1.69466 gz:0.572519 | Class: -1 | Delay: 3.2525 ms
ax:0.135742 ay:-0.909668 az:-0.509033 gx:-3.77099 gy:1.03817 gz:1.55725 | Class: -1 | Delay: 3.25169 ms
ax:0.156006 ay:-0.925537 az:-0.514648 gx:-3.48855 gy:-1.46565 gz:1.58779 | Class: -1 | Delay: 3.25693 ms
ax:0.154297 ay:-0.925781 az:-0.502197 gx:-4.12214 gy:-3.72519 gz:1.17557 | Class: -1 | Delay: 3.25858 ms
ax:0.111328 ay:-0.921875 az:-0.496826 gx:-4.71756 gy:-4.31298 gz:0.419847 | Class: -1 | Delay: 3.25706 ms
ax:0.108398 ay:-0.910645 az:-0.502686 gx:-4.78626 gy:-3.12977 gz:-0.229008 | Class: -1 | Delay: 3.25591 ms
ax:0.109131 ay:-0.901123 az:-0.51123 gx:-4.00763 gy:-1.71756 gz:-0.694656 | Class: -1 | Delay: 3.26069 ms
ax:0.114746 ay:-0.898682 az:-0.515869 gx:-2.60305 gy:-1.16031 gz:-0.946565 | Class: 5 | Delay: 3.33263 ms
ax:0.132324 ay:-0.89209 az:-0.51123 gx:-1.17557 gy:-1.1145 gz:-0.519084 | Class: 5 | Delay: 3.27847 ms
ax:0.12793 ay:-0.893555 az:-0.508057 gx:0.328244 gy:-1.56489 gz:0.351145 | Class: 1 | Delay: 3.27667 ms
ax:0.130127 ay:-0.898438 az:-0.513672 gx:1.44275 gy:-1.96183 gz:0.854962 | Class: 1 | Delay: 3.27528 ms
ax:0.128906 ay:-0.901855 az:-0.516113 gx:2.41221 gy:-1.87786 gz:0.89313 | Class: 1 | Delay: 3.27234 ms
ax:0.134521 ay:-0.902832 az:-0.512939 gx:3.16794 gy:-2.0458 gz:0.770992 | Class: 1 | Delay: 3.27552 ms
ax:0.125977 ay:-0.897217 az:-0.501465 gx:4.16794 gy:-0.977099 gz:0.0381679 | Class: 1 | Delay: 3.28345 ms
ax:0.118652 ay:-0.910156 az:-0.490967 gx:3.59542 gy:0.0992366 gz:-1.47328 | Class: 1 | Delay: 3.28065 ms
ax:0.118164 ay:-0.921387 az:-0.498779 gx:2.32824 gy:1.38931 gz:-3.48855 | Class: 5 | Delay: 3.28154 ms
ax:0.117188 ay:-0.92627 az:-0.496338 gx:1.41985 gy:2.73282 gz:-4.0687 | Class: 5 | Delay: 3.27739 ms
ax:0.121338 ay:-0.921387 az:-0.503662 gx:0.389313 gy:3.35878 gz:-4.12977 | Class: 5 | Delay: 3.27352 ms
ax:0.128418 ay:-0.905762 az:-0.506592 gx:-0.305344 gy:3.77863 gz:-5.05344 | Class: 5 | Delay: 3.27058 ms
ax:0.133789 ay:-0.907959 az:-0.520264 gx:-0.633588 gy:3.58779 gz:-4.33588 | Class: 5 | Delay: 3.26137 ms
ax:0.140137 ay:-0.914062 az:-0.52002 gx:-0.267176 gy:3.15267 gz:-2.72519 | Class: 5 | Delay: 3.27041 ms
ax:0.146973 ay:-0.911865 az:-0.522705 gx:0.0916031 gy:2.24427 gz:-1.76336 | Class: 5 | Delay: 3.28235 ms
ax:0.140869 ay:-0.908691 az:-0.518799 gx:-0.167939 gy:1.30534 gz:-0.961832 | Class: 5 | Delay: 3.28106 ms
ax:0.127686 ay:-0.907471 az:-0.52124 gx:0.412214 gy:1.87786 gz:-0.778626 | Class: 5 | Delay: 3.27524 ms
ax:0.128418 ay:-0.914795 az:-0.510742 gx:0 gy:2.45038 gz:-0.770992 | Class: 5 | Delay: 3.27232 ms
ax:0.136963 ay:-0.921387 az:-0.518311 gx:-1.03817 gy:3.15267 gz:-1.52672 | Class: 5 | Delay: 3.27293 ms
ax:0.148193 ay:-0.916992 az:-0.516602 gx:-2.16794 gy:2.57252 gz:-2.33588 | Class: 5 | Delay: 3.27069 ms
ax:0.149414 ay:-0.912109 az:-0.51709 gx:-2.20611 gy:1.36641 gz:-1.75573 | Class: 5 | Delay: 3.27195 ms
ax:0.147217 ay:-0.905029 az:-0.507812 gx:-3.28244 gy:0.763359 gz:-2.16794 | Class: 5 | Delay: 3.27734 ms
ax:0.143311 ay:-0.892822 az:-0.505615 gx:-3.39695 gy:0.603053 gz:-3.35115 | Class: 5 | Delay: 3.27871 ms
ax:0.137695 ay:-0.901123 az:-0.509277 gx:-2.03817 gy:0.938931 gz:-3.67939 | Class: 5 | Delay: 3.26771 ms
ax:0.146484 ay:-0.900635 az:-0.521729 gx:-1.96183 gy:0.633588 gz:-2.23664 | Class: 5 | Delay: 3.26878 ms
ax:0.141357 ay:-0.891113 az:-0.525879 gx:-0.320611 gy:0.419847 gz:-1.29771 | Class: 5 | Delay: 3.27052 ms
ax:0.145508 ay:-0.88916 az:-0.528076 gx:1.01527 gy:0.259542 gz:-1.06107 | Class: 5 | Delay: 3.27274 ms
ax:0.141113 ay:-0.892334 az:-0.527588 gx:1.79389 gy:0.381679 gz:-0.564885 | Class: 5 | Delay: 3.2738 ms
ax:0.137207 ay:-0.911377 az:-0.515381 gx:1.8626 gy:0.473282 gz:0.137405 | Class: 5 | Delay: 3.27369 ms
ax:0.126465 ay:-0.929199 az:-0.505859 gx:1 gy:0.633588 gz:0.51145 | Class: 5 | Delay: 3.28539 ms
ax:0.130615 ay:-0.918701 az:-0.502197 gx:-0.183206 gy:0.664122 gz:0.00763359 | Class: 5 | Delay: 3.28908 ms
ax:0.132568 ay:-0.917725 az:-0.505127 gx:-1.1374 gy:1.0458 gz:-0.824427 | Class: 5 | Delay: 3.27015 ms
ax:0.133301 ay:-0.898682 az:-0.507324 gx:-1 gy:0.992366 gz:-1.21374 | Class: 5 | Delay: 3.27602 ms
ax:0.138428 ay:-0.895264 az:-0.51709 gx:-0.328244 gy:1.15267 gz:-0.740458 | Class: 5 | Delay: 3.27295 ms
ax:0.14917 ay:-0.888916 az:-0.518311 gx:0.801527 gy:1.26718 gz:-0.381679 | Class: 5 | Delay: 3.2718 ms
ax:0.146973 ay:-0.893799 az:-0.507812 gx:2.0916 gy:1.0458 gz:-0.00763359 | Class: 5 | Delay: 3.27176 ms
ax:0.15625 ay:-0.912354 az:-0.518311 gx:2.35115 gy:0.656489 gz:0.396947 | Class: 5 | Delay: 3.2835 ms
ax:0.161621 ay:-0.920898 az:-0.520996 gx:1.66412 gy:-0.198473 gz:0.480916 | Class: 5 | Delay: 3.28208 ms
ax:0.163086 ay:-0.916016 az:-0.515625 gx:0.824427 gy:-2.0687 gz:0.221374 | Class: 5 | Delay: 3.27787 ms
ax:0.156738 ay:-0.904541 az:-0.51123 gx:0.435115 gy:-3.45802 gz:-0.389313 | Class: 5 | Delay: 3.27608 ms
ax:0.140381 ay:-0.898926 az:-0.50708 gx:0.435115 gy:-3.69466 gz:-0.679389 | Class: 5 | Delay: 3.2745 ms
ax:0.13623 ay:-0.907471 az:-0.512695 gx:-0.541985 gy:-3.70992 gz:-0.572519 | Class: 5 | Delay: 3.26917 ms
ax:0.123291 ay:-0.918213 az:-0.505127 gx:-1.39695 gy:-2.48855 gz:-0.0152672 | Class: 1 | Delay: 3.27178 ms
ax:0.123779 ay:-0.929443 az:-0.507812 gx:-2.8855 gy:-1.70992 gz:0.305344 | Class: 1 | Delay: 3.27011 ms
ax:0.138428 ay:-0.913086 az:-0.52002 gx:-4.0687 gy:-1.34351 gz:0.160305 | Class: 1 | Delay: 3.28456 ms
ax:0.157471 ay:-0.908447 az:-0.519531 gx:-4.0229 gy:-1.16794 gz:0.381679 | Class: 1 | Delay: 3.2805 ms
ax:0.158203 ay:-0.884521 az:-0.518066 gx:-3.1145 gy:-1.62595 gz:1.12977 | Class: 1 | Delay: 3.27406 ms
ax:0.157227 ay:-0.881592 az:-0.526367 gx:-2.01527 gy:-2.26718 gz:1.66412 | Class: 1 | Delay: 3.27372 ms
ax:0.154541 ay:-0.885986 az:-0.530273 gx:-1.22137 gy:-3.38931 gz:1.68702 | Class: 1 | Delay: 3.27452 ms
ax:0.14624 ay:-0.905518 az:-0.534424 gx:-1.52672 gy:-3.78626 gz:1.21374 | Class: 1 | Delay: 3.27309 ms
ax:0.142334 ay:-0.927246 az:-0.525879 gx:-3.14504 gy:-3.79389 gz:0.618321 | Class: 1 | Delay: 3.27402 ms
ax:0.136963 ay:-0.929443 az:-0.524658 gx:-5.41985 gy:-3.21374 gz:-0.244275 | Class: 1 | Delay: 3.27791 ms
ax:0.133301 ay:-0.921143 az:-0.529541 gx:-7.03817 gy:-2.41221 gz:-0.80916 | Class: 1 | Delay: 3.27922 ms
ax:0.135986 ay:-0.909668 az:-0.527832 gx:-8.53435 gy:-1.45802 gz:-1.1145 | Class: 1 | Delay: 3.27085 ms
ax:0.139404 ay:-0.89917 az:-0.530518 gx:-9.40458 gy:-0.603053 gz:-1.17557 | Class: 1 | Delay: 3.26734 ms
ax:0.148438 ay:-0.897949 az:-0.539795 gx:-9.16031 gy:0.0916031 gz:-0.175573 | Class: 1 | Delay: 3.28108 ms
ax:0.152588 ay:-0.890137 az:-0.541016 gx:-8.99237 gy:0.625954 gz:0.541985 | Class: 1 | Delay: 3.27589 ms
ax:0.143799 ay:-0.878174 az:-0.538818 gx:-7.8626 gy:0.732824 gz:0.557252 | Class: 1 | Delay: 3.27128 ms
ax:0.140625 ay:-0.875977 az:-0.546631 gx:-7.1374 gy:0.709924 gz:0.541985 | Class: 1 | Delay: 3.27067 ms
ax:0.144775 ay:-0.899658 az:-0.547852 gx:-7.64122 gy:1.15267 gz:1.84733 | Class: 1 | Delay: 3.27984 ms
ax:0.143799 ay:-0.947021 az:-0.542725 gx:-10.7634 gy:1.20611 gz:2.50382 | Class: 1 | Delay: 3.2795 ms
ax:0.137207 ay:-0.971436 az:-0.537598 gx:-15.7328 gy:1.18321 gz:1.69466 | Class: 1 | Delay: 3.27211 ms
ax:0.140381 ay:-0.968262 az:-0.523438 gx:-21 gy:1.70229 gz:0.465649 | Class: 5 | Delay: 3.2748 ms
ax:0.124512 ay:-0.946533 az:-0.526123 gx:-26.1527 gy:2.51145 gz:-1.12977 | Class: 5 | Delay: 3.27263 ms
ax:0.132812 ay:-0.915771 az:-0.535156 gx:-29.0458 gy:3.53435 gz:-1.32824 | Class: 5 | Delay: 3.27135 ms
ax:0.147705 ay:-0.897705 az:-0.547607 gx:-30.3664 gy:4.51908 gz:-0.473282 | Class: 5 | Delay: 3.27043 ms
ax:0.156006 ay:-0.888672 az:-0.558838 gx:-31.5267 gy:4.48855 gz:0.251908 | Class: 5 | Delay: 3.27997 ms
ax:0.174561 ay:-0.891357 az:-0.572998 gx:-32.1527 gy:3.29771 gz:0.625954 | Class: 5 | Delay: 3.27945 ms
ax:0.182373 ay:-0.888184 az:-0.587158 gx:-33.3053 gy:1.0458 gz:0.916031 | Class: 5 | Delay: 3.27439 ms
ax:0.191406 ay:-0.888672 az:-0.577881 gx:-34.2748 gy:-1.51145 gz:0.587786 | Class: 5 | Delay: 3.27128 ms
ax:0.169434 ay:-0.818359 az:-0.591064 gx:-31.6794 gy:-4.01527 gz:-1.64122 | Class: 5 | Delay: 3.27161 ms
ax:0.200684 ay:-0.860107 az:-0.633057 gx:-34.0076 gy:-6.9542 gz:-3.99237 | Class: 5 | Delay: 3.2715 ms
ax:0.19751 ay:-0.869629 az:-0.617676 gx:-36.8855 gy:-9.8626 gz:-7.61832 | Class: 5 | Delay: 3.27019 ms
ax:0.164307 ay:-0.816406 az:-0.603271 gx:-30.5267 gy:-10.8702 gz:-8.29771 | Class: 1 | Delay: 3.27004 ms
ax:0.154297 ay:-0.840576 az:-0.596191 gx:-28.5267 gy:-10.7405 gz:-3.46565 | Class: 1 | Delay: 3.28367 ms
ax:0.1521 ay:-0.843506 az:-0.603516 gx:-29.0687 gy:-10.6031 gz:0.412214 | Class: 1 | Delay: 3.28026 ms
ax:0.154053 ay:-0.854004 az:-0.627686 gx:-27.4275 gy:-10.5802 gz:0.29771 | Class: 1 | Delay: 3.27359 ms
ax:0.178467 ay:-0.86499 az:-0.649414 gx:-27.7863 gy:-11.7023 gz:-0.503817 | Class: 1 | Delay: 3.2735 ms
ax:0.168945 ay:-0.817383 az:-0.63916 gx:-26.6718 gy:-12.8702 gz:-1.38168 | Class: 1 | Delay: 3.27287 ms
ax:0.161377 ay:-0.762451 az:-0.640625 gx:-21.3664 gy:-14.0534 gz:-0.557252 | Class: 1 | Delay: 3.27002 ms
ax:0.164307 ay:-0.76001 az:-0.666992 gx:-17.8321 gy:-15.4046 gz:1.64885 | Class: 3 | Delay: 3.2745 ms
ax:0.166016 ay:-0.754639 az:-0.677734 gx:-11.5573 gy:-16.3664 gz:2.14504 | Class: 3 | Delay: 3.27904 ms
ax:0.158447 ay:-0.768066 az:-0.681396 gx:-5.10687 gy:-17.4885 gz:2.35878 | Class: 3 | Delay: 3.27859 ms
ax:0.166748 ay:-0.780518 az:-0.671631 gx:-0.374046 gy:-19.7099 gz:3.36641 | Class: 3 | Delay: 3.27078 ms
ax:0.164551 ay:-0.773926 az:-0.672363 gx:4.29008 gy:-22.5802 gz:3.63359 | Class: 3 | Delay: 3.27039 ms
ax:0.143311 ay:-0.786377 az:-0.673096 gx:6.43511 gy:-24.626 gz:3.38168 | Class: 3 | Delay: 3.27124 ms
ax:0.131592 ay:-0.949219 az:-0.662842 gx:0.290076 gy:-23.9466 gz:4.49618 | Class: 3 | Delay: 3.2728 ms
ax:0.0932617 ay:-0.905029 az:-0.646484 gx:-1.99237 gy:-22.6947 gz:5.32061 | Class: 3 | Delay: 3.27087 ms
ax:0.10083 ay:-0.958252 az:-0.677734 gx:-10.8321 gy:-22.3359 gz:5.25191 | Class: 3 | Delay: 3.26965 ms
ax:0.097168 ay:-0.966064 az:-0.653076 gx:-24.3053 gy:-21.4122 gz:2.98473 | Class: 3 | Delay: 3.27756 ms
ax:0.0864258 ay:-0.963379 az:-0.658936 gx:-33.3664 gy:-19.7328 gz:-0.435115 | Class: 3 | Delay: 3.27747 ms
ax:0.0744629 ay:-0.893555 az:-0.656738 gx:-38.5878 gy:-17.1221 gz:-2.24427 | Class: 3 | Delay: 3.27082 ms
ax:0.0598145 ay:-0.766602 az:-0.651367 gx:-36.313 gy:-13.8397 gz:-3.21374 | Class: 3 | Delay: 3.27367 ms
ax:0.0576172 ay:-0.668945 az:-0.661133 gx:-31.2672 gy:-11.1298 gz:-4.39695 | Class: 3 | Delay: 3.27056 ms
ax:0.0471191 ay:-0.593018 az:-0.657471 gx:-21 gy:-7.63359 gz:-4.61069 | Class: 3 | Delay: 3.27385 ms
ax:0.0449219 ay:-0.604736 az:-0.696289 gx:-9.80153 gy:-3.93893 gz:-2.9313 | Class: 3 | Delay: 3.27191 ms
ax:0.074707 ay:-0.708496 az:-0.712402 gx:-3.61069 gy:-0.885496 gz:0.129771 | Class: 3 | Delay: 3.28578 ms
ax:0.112305 ay:-0.807373 az:-0.731934 gx:-1.0687 gy:-1.07634 gz:1.64885 | Class: 3 | Delay: 3.28191 ms
ax:0.139893 ay:-0.833252 az:-0.720215 gx:-0.183206 gy:-1.9542 gz:-0.633588 | Class: 3 | Delay: 3.28089 ms
ax:0.122803 ay:-0.892578 az:-0.759766 gx:-6.65649 gy:-6.08397 gz:-0.282443 | Class: 3 | Delay: 3.27126 ms
ax:0.0969238 ay:-0.800049 az:-0.766357 gx:-7.40458 gy:-6.96947 gz:1.70229 | Class: 3 | Delay: 3.27117 ms
ax:0.0893555 ay:-0.69751 az:-0.769287 gx:2.68702 gy:-5.34351 gz:3.63359 | Class: 3 | Delay: 3.27056 ms
ax:0.0537109 ay:-0.624268 az:-0.752441 gx:10.855 gy:-4.0458 gz:6.70992 | Class: 3 | Delay: 3.27024 ms
ax:0.0717773 ay:-0.58667 az:-0.740479 gx:20.7481 gy:-1.94656 gz:11.0458 | Class: 1 | Delay: 3.27219 ms
ax:0.0600586 ay:-0.640381 az:-0.731934 gx:32.3282 gy:1 gz:16.7252 | Class: 1 | Delay: 3.28456 ms
ax:0.076416 ay:-0.727783 az:-0.738281 gx:39.6183 gy:0.900763 gz:21.771 | Class: 5 | Delay: 3.27987 ms
ax:0.072998 ay:-0.749268 az:-0.705322 gx:46.8931 gy:1.76336 gz:19.4733 | Class: 5 | Delay: 3.27435 ms
ax:0.0964355 ay:-0.826416 az:-0.681885 gx:48.7405 gy:-0.0229008 gz:16.4198 | Class: 1 | Delay: 3.27582 ms
ax:0.0861816 ay:-0.842041 az:-0.619385 gx:46.7634 gy:0.541985 gz:15.2901 | Class: 1 | Delay: 3.27161 ms
ax:0.0942383 ay:-0.88208 az:-0.597412 gx:42.4962 gy:2.25191 gz:17.3893 | Class: 5 | Delay: 3.28422 ms
ax:0.0915527 ay:-0.916992 az:-0.564697 gx:38.5038 gy:4.70992 gz:15.7634 | Class: 5 | Delay: 3.27659 ms
ax:0.115723 ay:-0.643555 az:-0.455811 gx:59.0229 gy:6.53435 gz:6.79389 | Class: 5 | Delay: 3.28274 ms
ax:0.195068 ay:-0.393799 az:-0.497314 gx:88.4809 gy:-2.78626 gz:-1.56489 | Class: 5 | Delay: 3.28111 ms
ax:0.178711 ay:-0.644775 az:-0.5896 gx:84.5725 gy:-11.0305 gz:7.60305 | Class: 5 | Delay: 3.29993 ms
ax:0.195557 ay:-1.11133 az:-0.736816 gx:68.9847 gy:-14.2977 gz:23.8702 | Class: 5 | Delay: 3.27641 ms
ax:0.108643 ay:-1.31274 az:-0.591797 gx:61.8702 gy:-14.2824 gz:19.2901 | Class: 5 | Delay: 3.27402 ms
ax:-0.00927734 ay:-1.4375 az:-0.456055 gx:26.2061 gy:-11.9466 gz:-2.16031 | Class: 5 | Delay: 3.27602 ms
ax:-0.0332031 ay:-1.18823 az:-0.405029 gx:-2.84733 gy:-9.19084 gz:-12.542 | Class: 1 | Delay: 3.27545 ms
