Starting real-time gait reader (100Hz) WITH KALMAN.
Press any key to stop.
[OK] MPU6050 initialized on /dev/i2c-1 (0x68)
ax:0.186035 ay:0.946045 az:-0.482666 gx:0.29771 gy:-0.671756 gz:0.656489 | Class: -1 | Delay: 3.27458 ms
 R_K:3.57731e-06 P_K:-8.54501e-07 | Dly: 3.27458msax:0.173828 ay:0.918457 az:-0.476562 gx:-0.00763359 gy:-0.824427 gz:0.664122 | Class: -1 | Delay: 3.43829 ms
 R_K:0.0523167 P_K:-0.0152971 | Dly: 3.43829msax:0.179443 ay:0.926758 az:-0.474854 gx:0.00763359 gy:-0.564885 gz:0.526718 | Class: -1 | Delay: 3.27893 ms
 R_K:0.157755 P_K:-0.0317648 | Dly: 3.27893msax:0.171875 ay:0.920166 az:-0.486328 gx:0.00763359 gy:-0.954198 gz:0.572519 | Class: -1 | Delay: 3.26295 ms
 R_K:0.316164 P_K:-0.0570818 | Dly: 3.26295msax:0.170166 ay:0.921387 az:-0.48584 gx:0.0992366 gy:-1.0458 gz:0.496183 | Class: -1 | Delay: 3.26054 ms
 R_K:0.527724 P_K:-0.0875127 | Dly: 3.26054msax:0.170898 ay:0.922852 az:-0.486084 gx:-0.00763359 gy:-1.03817 gz:0.717557 | Class: -1 | Delay: 3.25006 ms
 R_K:0.789616 P_K:-0.12193 | Dly: 3.25006msax:0.175537 ay:0.927979 az:-0.476807 gx:-0.0229008 gy:-1 gz:0.534351 | Class: -1 | Delay: 3.25864 ms
 R_K:1.10127 P_K:-0.160489 | Dly: 3.25864msax:0.179199 ay:0.932861 az:-0.478271 gx:0.29771 gy:-0.687023 gz:0.641221 | Class: -1 | Delay: 3.25534 ms
 R_K:1.46809 P_K:-0.199452 | Dly: 3.25534msax:0.179199 ay:0.925537 az:-0.476562 gx:-0.0610687 gy:-0.862595 gz:0.564885 | Class: -1 | Delay: 3.25554 ms
 R_K:1.8812 P_K:-0.245114 | Dly: 3.25554msax:0.174072 ay:0.922363 az:-0.483643 gx:-0.00763359 gy:-0.862595 gz:0.450382 | Class: 1 | Delay: 3.33762 ms
 R_K:2.34719 P_K:-0.29378 | Dly: 3.33762msax:0.174316 ay:0.92334 az:-0.473633 gx:-0.00763359 gy:-0.954198 gz:0.671756 | Class: 1 | Delay: 3.27812 ms
 R_K:2.86157 P_K:-0.347953 | Dly: 3.27812msax:0.179932 ay:0.92627 az:-0.468506 gx:-0.129771 gy:-0.885496 gz:0.648855 | Class: 1 | Delay: 3.27449 ms
 R_K:3.4225 P_K:-0.406547 | Dly: 3.27449msax:0.176514 ay:0.921875 az:-0.477051 gx:0.229008 gy:-0.839695 gz:0.687023 | Class: 1 | Delay: 3.27358 ms
 R_K:4.0402 P_K:-0.467572 | Dly: 3.27358msax:0.171143 ay:0.922852 az:-0.478027 gx:0 gy:-0.740458 gz:0.519084 | Class: 1 | Delay: 3.27236 ms
 R_K:4.7039 P_K:-0.529442 | Dly: 3.27236msax:0.170898 ay:0.923828 az:-0.480957 gx:0.114504 gy:-0.687023 gz:0.541985 | Class: 1 | Delay: 3.2704 ms
 R_K:5.41827 P_K:-0.594127 | Dly: 3.2704msax:0.168945 ay:0.924072 az:-0.480469 gx:0.198473 gy:-0.824427 gz:0.59542 | Class: 1 | Delay: 3.28028 ms
 R_K:6.18144 P_K:-0.663601 | Dly: 3.28028msax:0.174072 ay:0.927734 az:-0.483887 gx:-0.0305344 gy:-0.839695 gz:0.832061 | Class: 1 | Delay: 3.27506 ms
 R_K:6.98943 P_K:-0.738496 | Dly: 3.27506msax:0.177979 ay:0.922363 az:-0.483154 gx:0.0458015 gy:-0.801527 gz:0.572519 | Class: 1 | Delay: 3.27412 ms
 R_K:7.84586 P_K:-0.818396 | Dly: 3.27412msax:0.178223 ay:0.926514 az:-0.476074 gx:-0.0839695 gy:-0.977099 gz:0.70229 | Class: 1 | Delay: 3.27421 ms
 R_K:8.74302 P_K:-0.904339 | Dly: 3.27421msax:0.177979 ay:0.925293 az:-0.484131 gx:0.183206 gy:-0.816794 gz:0.59542 | Class: 1 | Delay: 3.27202 ms
 R_K:9.69241 P_K:-0.991394 | Dly: 3.27202msax:0.179199 ay:0.926514 az:-0.473145 gx:0.0229008 gy:-0.78626 gz:0.755725 | Class: 1 | Delay: 3.27215 ms
 R_K:10.6791 P_K:-1.08243 | Dly: 3.27215msax:0.174805 ay:0.922607 az:-0.472656 gx:0.0916031 gy:-0.877863 gz:0.564885 | Class: 1 | Delay: 3.27204 ms
 R_K:11.7107 P_K:-1.17623 | Dly: 3.27204msax:0.172607 ay:0.925049 az:-0.47998 gx:0.167939 gy:-0.679389 gz:0.755725 | Class: 1 | Delay: 3.27416 ms
 R_K:12.7889 P_K:-1.26904 | Dly: 3.27416msax:0.181396 ay:0.924805 az:-0.483154 gx:0.0916031 gy:-0.778626 gz:0.603053 | Class: 1 | Delay: 3.2668 ms
 R_K:13.9094 P_K:-1.37102 | Dly: 3.2668msax:0.176758 ay:0.925781 az:-0.481445 gx:0 gy:-0.931298 gz:0.748092 | Class: 1 | Delay: 3.26545 ms
 R_K:15.0683 P_K:-1.47559 | Dly: 3.26545msax:0.179688 ay:0.931396 az:-0.476562 gx:-0.0381679 gy:-0.709924 gz:0.671756 | Class: 1 | Delay: 3.27401 ms
 R_K:16.2622 P_K:-1.58171 | Dly: 3.27401msax:0.174561 ay:0.926514 az:-0.477783 gx:-0.0610687 gy:-0.709924 gz:0.641221 | Class: 1 | Delay: 3.27334 ms
 R_K:17.4964 P_K:-1.68806 | Dly: 3.27334msax:0.170654 ay:0.928711 az:-0.483643 gx:0.0687023 gy:-0.671756 gz:0.709924 | Class: 1 | Delay: 3.27275 ms
 R_K:18.7726 P_K:-1.79373 | Dly: 3.27275msax:0.173828 ay:0.922607 az:-0.479004 gx:0.175573 gy:-0.916031 gz:0.618321 | Class: 1 | Delay: 3.26697 ms
 R_K:20.0855 P_K:-1.90819 | Dly: 3.26697msax:0.173828 ay:0.924561 az:-0.480957 gx:0.0534351 gy:-0.618321 gz:0.610687 | Class: 1 | Delay: 3.27158 ms
 R_K:21.4323 P_K:-2.02099 | Dly: 3.27158msax:0.176514 ay:0.920898 az:-0.484131 gx:0.0381679 gy:-0.824427 gz:0.664122 | Class: 1 | Delay: 3.27093 ms
 R_K:22.8159 P_K:-2.14114 | Dly: 3.27093msax:0.177246 ay:0.922607 az:-0.480957 gx:0.0763359 gy:-0.946565 gz:0.694656 | Class: 1 | Delay: 3.26243 ms
 R_K:24.2298 P_K:-2.26584 | Dly: 3.26243msax:0.175293 ay:0.926025 az:-0.480225 gx:-0.0763359 gy:-0.877863 gz:0.610687 | Class: 1 | Delay: 3.2733 ms
 R_K:25.6708 P_K:-2.39007 | Dly: 3.2733msax:0.175537 ay:0.924072 az:-0.486816 gx:-0.00763359 gy:-0.870229 gz:0.656489 | Class: 1 | Delay: 3.27514 ms
