timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista
1774536830199,0.045407,0.944026,-0.441375,2.67554,-1.33021,-1.18661,0,0,3.2658,-1
1774536830212,0.0317392,0.941406,-0.443115,1.85545,-0.882298,-0.170368,0,0,3.28346,-1
1774536830226,0.0422356,0.954833,-0.438233,1.91544,-0.605791,-0.0545816,0,0,3.27139,-1
1774536830239,0.0253918,0.950196,-0.446533,1.86311,-0.519934,0.324491,0,0,3.72926,-1
1774536830253,0.0512677,0.948242,-0.433351,1.93063,-0.813883,0.222385,0,0,3.256,-1
1774536830266,0.0468753,0.951172,-0.444091,1.81791,-0.945264,-0.330404,0,0,3.27113,-1
1774536830280,0.0446779,0.953857,-0.443604,1.86216,-1.27158,-0.60038,0,0,3.27587,-1
1774536830293,0.0375982,0.92676,-0.45703,1.53001,-1.36548,-0.678615,0,0,3.24563,-1
1774536830306,0.0395506,0.949217,-0.446778,0.997638,-1.20011,-0.286327,0,0,3.2485,-1
1774536830320,0.0354007,0.937501,-0.447266,0.637157,-1.28164,-0.116189,0,0,3.35368,0
1774536830337,0.0236825,0.947753,-0.446533,0.127187,-1.04811,0.777411,0,0,7.07492,0
1774536830351,0.0310053,0.934327,-0.443604,-0.149928,-0.690563,1.39843,0,0,4.07007,0
1774536830365,0.0270999,0.950194,-0.450927,-0.258467,-0.195739,2.95406,0,0,4.21317,0
1774536830379,0.0429676,0.951172,-0.441163,-0.0252105,-0.258916,2.71232,0,0,3.31544,5
1774536830392,0.0507807,0.944336,-0.438721,0.286985,-0.433387,2.08257,0,0,3.29844,5
1774536830406,0.0434575,0.954101,-0.440185,0.736012,-0.775241,1.124,0,0,3.30737,5
1774536830419,0.043457,0.948487,-0.442139,1.28464,-0.748358,0.086608,0,0,3.30937,5
1774536830432,0.035401,0.93921,-0.44458,1.25223,-0.974856,-0.429999,0,0,3.2967,5
1774536830446,0.0202647,0.947753,-0.434571,0.193688,-0.765432,0.403956,0,0,3.27135,5
1774536830460,0.0429672,0.942383,-0.444579,0.0850452,-1.09596,0.238282,0,0,3.6522,5
1774536830473,0.0332038,0.944824,-0.449951,-0.331751,-1.2655,0.448302,0,0,3.30355,5
1774536830487,0.034912,0.944092,-0.443848,-0.68354,-1.49392,0.321863,0,0,3.33087,5
1774536830500,0.0300296,0.951904,-0.441895,-0.830605,-1.32987,0.963116,0,0,3.27833,5
1774536830513,0.0280763,0.943116,-0.443115,-0.673313,-0.882294,1.27931,0,0,3.27346,5
1774536830527,0.0405265,0.963866,-0.443848,-0.180453,-0.893024,1.27485,0,0,3.29533,5
1774536830540,0.0471187,0.955323,-0.443115,0.217434,-1.0821,0.586964,0,0,3.61009,5
1774536830554,0.034913,0.957031,-0.451171,0.153307,-0.894983,0.799423,0,0,3.29102,5
1774536830567,0.0295414,0.952393,-0.444581,0.341647,-0.953618,1.14165,0,0,3.35485,5
1774536830582,0.0344235,0.960205,-0.439453,0.819694,-0.576256,1.76482,0,0,4.16028,5
1774536830595,0.0373533,0.952881,-0.446777,1.02091,-0.731289,1.89187,0,0,3.29831,5
1774536830608,0.0375976,0.95044,-0.444336,1.2572,-0.407783,2.64143,0,0,3.25531,5
1774536830622,0.040283,0.954101,-0.443115,1.7584,-0.321465,2.61855,0,0,3.29183,5
1774536830635,0.0290535,0.94751,-0.446533,1.49875,-0.214797,2.92823,0,0,3.26148,5
1774536830650,0.0290527,0.969237,-0.449463,1.73809,0.300244,4.35231,0,0,5.04768,5
1774536830664,0.0402824,0.958253,-0.452881,2.29222,0.796612,5.0768,0,0,3.26411,5
1774536830679,0.039795,0.950196,-0.444581,2.81921,0.839272,5.31066,0,0,4.8222,5
1774536830692,0.041992,0.937501,-0.444824,2.59006,0.764103,5.02572,0,0,3.29129,5
1774536830706,0.0549307,0.958739,-0.442383,2.9733,1.0506,4.5694,0,0,3.95755,5
1774536830720,0.0522463,0.935304,-0.452636,2.82589,0.607442,3.80906,0,0,3.27894,5
1774536830733,0.0534667,0.934082,-0.448242,2.26509,0.126896,3.35563,0,0,3.25194,5
1774536830747,0.055908,0.932129,-0.453369,1.68513,-0.0667845,2.68602,0,0,3.28796,5
1774536830760,0.053467,0.935791,-0.451904,1.05207,-0.136712,2.6341,0,0,3.25074,5
1774536830774,0.0495608,0.943847,-0.454346,0.834218,-0.394395,2.48998,0,0,3.30272,5
1774536830787,0.0502929,0.944092,-0.452393,0.575085,-0.661477,2.11819,0,0,3.25879,5
1774536830800,0.0544431,0.955077,-0.443848,0.670808,-0.414658,1.75928,0,0,3.30135,5
1774536830814,0.0585935,0.948487,-0.455566,0.747334,-0.570971,1.4005,0,0,3.26791,5
1774536830827,0.0627439,0.949707,-0.436769,0.884142,-0.829501,0.56552,0,0,3.28141,5
1774536830841,0.0339376,0.973387,-0.457762,1.46751,-1.10415,0.663155,0,0,3.26883,5
1774536830854,0.0541978,0.9646,-0.446534,2.16107,-1.33361,0.339087,0,0,3.24943,5
1774536830867,0.0451666,0.960938,-0.452636,2.74989,-1.26027,0.819669,0,0,3.32033,5
1774536830881,0.0476073,0.966308,-0.450684,3.12605,-1.14617,1.54246,0,0,3.30157,5
1774536830896,0.0405278,0.962158,-0.459228,3.93096,-1.03923,2.26763,0,0,4.86563,5
1774536830909,0.0429686,0.965088,-0.448731,4.59646,-0.380568,3.2347,0,0,3.31422,5
