timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista
1771444827051,0.0304738,0.93771,0.0851406,3.48069,1.2276,1.93871,0,0,3.64929,-1
1771444827065,0.0435709,0.963745,0.0839985,3.76331,2.42218,0.754216,0,0,3.30103,-1
1771444827078,0.05449,0.971246,0.0783019,3.65552,3.20361,0.160031,0,0,3.26894,-1
1771444827092,0.0499702,0.975539,0.0801097,3.64829,3.84183,-0.164101,0,0,3.41313,-1
1771444827105,0.056121,0.980598,0.0817186,3.6103,4.05128,-1.2837,0,0,3.27187,-1
1771444827119,0.0540081,0.97586,0.0797076,2.84277,4.03708,-3.33415,0,0,3.33146,-1
1771444827132,0.0495063,0.982617,0.0742157,2.38695,3.80858,-3.00671,0,0,3.28113,-1
1771444827146,0.03673,0.9843,0.0714999,1.84612,2.93478,-1.99949,0,0,3.26802,-1
1771444827159,0.0435189,0.989054,0.0737003,0.995572,2.25364,-1.62951,0,0,3.25205,-1
1771444827172,0.0378971,0.991402,0.0850855,1.24588,2.20316,-2.29949,0,0,3.3315,5
1771444827186,0.0288671,0.99317,0.082679,1.80996,2.92982,-3.16501,0,0,3.40733,5
1771444827199,0.030683,0.991681,0.0848961,2.05384,3.36568,-3.17029,0,0,3.31683,5
1771444827213,0.0324605,0.995361,0.0881556,2.92386,2.76299,-3.34087,0,0,3.37439,5
1771444827226,0.0327266,0.995624,0.0896351,3.60697,2.72501,-4.51776,0,0,3.29613,5
1771444827240,0.028524,0.992643,0.0869984,4.07829,3.32434,-6.28178,0,0,3.29183,5
1771444827253,0.0266143,0.991518,0.0910791,4.50098,3.76522,-7.22868,0,0,3.30961,5
1771444827267,0.0343976,0.999192,0.0920359,5.88789,5.00475,-6.81281,0,0,3.30792,5
1771444827281,0.0345819,0.998957,0.0794428,7.50883,7.28863,-7.73083,0,0,3.81792,5
1771444827295,0.0313765,0.988922,0.0704865,7.21625,9.60997,-10.4303,0,0,3.71901,5
1771444827309,0.0172493,0.986156,0.0640392,6.61957,10.0607,-12.3487,0,0,3.37818,5
1771444827322,-0.0019627,0.988142,0.0622633,5.57696,9.27845,-11.5446,0,0,3.28916,5
1771444827336,-0.0103559,0.981894,0.0590244,4.31902,8.87968,-12.0395,0,0,3.29557,5
1771444827350,-0.00891994,0.981209,0.0538846,2.49539,7.2948,-12.0503,0,0,4.62812,5
1771444827364,0.00380941,0.981031,0.0530352,0.579754,4.32297,-11.4564,0,0,3.27322,5
1771444827377,0.0160018,0.981092,0.0503035,-1.07654,1.06988,-12.3733,0,0,3.30146,5
1771444827390,0.0147297,0.979907,0.0504746,-3.69857,-1.93834,-14.6408,0,0,3.26259,5
1771444827404,0.00595409,0.983344,0.0513717,-5.7157,-4.13329,-16.038,0,0,3.29653,1
1771444827417,-0.00422581,0.988786,0.0482738,-7.22808,-5.71168,-15.9617,0,0,3.25733,5
1771444827430,0.00192378,0.979771,0.058356,-8.49572,-6.13828,-15.4351,0,0,3.27489,5
1771444827444,0.000272451,0.987019,0.066313,-8.99213,-7.4241,-15.2557,0,0,3.27411,5
1771444827457,-0.00577279,0.999541,0.0742183,-8.57622,-7.52503,-17.4027,0,0,3.26002,5
1771444827471,-0.0142005,1.0067,0.0810407,-7.80719,-6.4648,-20.7357,0,0,3.3712,5
1771444827484,-0.0169849,1.01873,0.0960023,-6.17077,-5.6866,-22.5091,0,0,3.26907,3
1771444827497,-0.0192091,1.02549,0.100531,-3.36401,-5.57231,-24.2736,0,0,3.28009,3
1771444827511,-0.0178376,1.0063,0.112883,-0.945365,-5.80905,-28.4307,0,0,3.26478,3
1771444827524,-0.00584939,1.01655,0.118624,2.85938,-6.55338,-33.3947,0,0,3.26555,3
1771444827538,-0.00891425,1.03048,0.134553,7.13198,-7.29578,-38.5752,0,0,3.33779,3
1771444827551,-0.00589558,1.04484,0.13253,12.5889,-7.83109,-45.2456,0,0,3.29166,3
1771444827565,-0.00798178,1.06323,0.142165,18.0616,-9.37738,-52.3976,0,0,3.50403,3
1771444827578,-0.00276068,1.10513,0.158406,25.7865,-12.1162,-57.8019,0,0,3.28924,3
1771444827595,0.00478824,1.15493,0.174952,35.8169,-13.3367,-62.6528,0,0,6.42622,3
1771444827608,0.0237146,1.1875,0.195016,44.3932,-13.5615,-68.1928,0,0,3.29259,3
1771444827621,0.0788934,1.2524,0.215327,53.8798,-17.3571,-72.8598,0,0,3.28959,3
1771444827635,-0.268094,1.39262,0.0568417,75.3521,-12.9075,-84.0139,0,0,3.29603,2
1771444827648,-0.436542,1.36969,0.360536,77.8936,17.9241,-94.797,0,0,3.27926,2
1771444827662,-0.304988,1.48993,0.296446,86.9773,47.13,-90.6161,0,0,3.31652,2
1771444827675,-0.328058,1.43406,0.338408,111.237,61.0574,-82.9722,0,0,3.25531,2
1771444827688,-0.317761,1.39375,0.368486,110.107,84.6966,-75.3296,0,0,3.27092,2
1771444827702,-0.321824,1.44012,0.365571,119.053,121.97,-71.1075,0,0,3.25922,2
1771444827715,-0.231718,1.41732,0.393615,124.389,159.661,-71.6072,0,0,3.35626,2
1771444827729,-0.0922883,1.36262,0.397267,121.897,183.586,-76.1128,0,0,3.35213,2
1771444827742,0.0477446,1.27566,0.225817,128.559,194.759,-82.5411,0,0,3.54338,2
1771444827756,0.179506,1.20157,0.101708,119.867,194.105,-90.8087,0,0,3.2967,2
1771444827770,0.16234,1.31224,-0.0550815,110.422,186.503,-96.3089,0,0,3.28863,5
1771444827783,0.0402435,1.25609,-0.0146189,104.081,207.95,-87.0514,0,0,3.34672,5
1771444827797,0.0200532,1.11808,0.0573544,86.0407,229.04,-61.4494,0,0,3.29039,5
1771444827810,0.281125,1.00344,0.10433,71.986,239.585,-36.8926,0,0,3.325,5
1771444827824,0.555023,0.896113,0.122231,57.6342,232.8,-25.7364,0,0,3.29383,3
1771444827837,0.645779,0.785428,0.123398,37.7866,201.973,-24.7651,0,0,3.36289,3
1771444827851,0.60055,0.681684,0.133506,20.6299,172.536,-17.9055,0,0,3.2912,3
1771444827867,0.55062,0.573212,0.138155,0.181376,146.054,-1.59014,0,0,5.86113,3
1771444827880,0.515604,0.469926,0.157495,-26.5238,122.355,10.2507,0,0,3.30081,3
1771444827894,0.447301,0.39927,0.197808,-60.4413,102.632,17.7666,0,0,3.28085,3
1771444827907,0.346004,0.365035,0.235049,-88.2626,89.8541,25.5703,0,0,3.32852,3
1771444827921,0.257819,0.314727,0.276091,-117.234,85.6255,35.4569,0,0,3.296,3
1771444827934,0.236125,0.263636,0.320185,-149.839,85.4998,45.5949,0,0,3.31413,3
1771444827947,0.254653,0.292863,0.376383,-175.759,82.4598,57.0226,0,0,3.29807,3
1771444827961,0.282462,0.368208,0.379386,-199.292,74.7452,69.4006,0,0,3.36257,3
1771444827974,0.312116,0.427144,0.378952,-222.1,65.6627,77.3148,0,0,3.293,3
1771444827988,0.337881,0.517707,0.406662,-236.119,56.1176,80.207,0,0,3.29576,5
1771444828001,0.331499,0.691717,0.416398,-243.128,47.5283,82.0386,0,0,3.39357,5
1771444828015,0.29338,0.851754,0.415037,-246.633,42.2641,83.2598,0,0,3.28204,4
1771444828028,0.21294,1.00318,0.413376,-248.385,42.0634,85.7368,0,0,3.321,5
1771444828042,0.111812,1.18055,0.420094,-249.261,47.6958,91.3913,0,0,3.29139,5
1771444828055,-0.0210459,1.35211,0.412685,-249.699,62.0578,99.6346,0,0,3.36074,5
1771444828069,-0.145404,1.50533,0.395511,-249.918,85.2999,105.764,0,0,3.29807,5
1771444828082,-0.179028,1.66173,0.350553,-250.028,107.497,106.569,0,0,3.2914,5
1771444828096,-0.138155,1.81826,0.268872,-250.083,123.405,103.38,0,0,3.33796,5
1771444828109,-0.0781643,1.93532,0.14001,-248.957,136.225,96.9571,0,0,3.25998,5
1771444828122,0.0573334,1.97537,-0.0134464,-232.883,143.693,85.8183,0,0,3.28255,5
1771444828136,0.294728,1.9542,-0.177437,-208.514,130.572,73.8366,0,0,3.28874,5
1771444828149,0.486784,1.89783,-0.337343,-178.715,92.5301,64.1664,0,0,3.39328,5
1771444828163,0.505163,1.84452,-0.495064,-144.136,47.0475,58.2588,0,0,3.3259,5
1771444828177,0.383136,1.76981,-0.621645,-109.225,11.1879,53.1332,0,0,4.03709,5
1771444828190,0.196807,1.69143,-0.712674,-73.5779,-9.97859,42.3719,0,0,3.29033,5
1771444828204,0.05519,1.61953,-0.777301,-35.9416,-20.0236,25.4722,0,0,3.27826,5
1771444828217,0.0254467,1.54784,-0.764284,-2.86395,-24.7866,9.71322,0,0,3.33852,5
1771444828231,0.0499169,1.50289,-0.704938,28.5947,-32.2292,0.890959,0,0,3.27385,5
1771444828244,0.0870494,1.42436,-0.599418,55.1562,-42.897,-2.0278,0,0,3.32383,5
1771444828258,0.0945229,1.34589,-0.472312,74.6391,-54.0058,-5.85741,0,0,3.56155,1
1771444828272,0.0902226,1.30366,-0.27214,89.9722,-61.522,-13.1348,0,0,3.86672,5
1771444828285,-0.143795,1.17213,0.66511,100.238,-60.364,-27.9834,0,0,3.27404,1
1771444828299,-0.281817,1.93159,0.474235,140.936,-36.4988,-28.4383,0,0,3.2745,2
1771444828312,-0.208493,1.69055,0.206114,195.533,-1.09292,-15.7917,0,0,3.29739,3
1771444828326,-0.259836,1.10615,0.0604628,143.751,4.25888,-1.8882,0,0,3.29102,1
1771444828339,-0.0516435,1.06384,0.154081,120.337,17.0378,16.2735,0,0,3.46161,2
1771444828353,-0.127167,1.05251,0.135616,140.669,25.2021,24.4001,0,0,3.52577,2
1771444828366,-0.112834,0.911511,0.0420731,121.285,50.4713,22.5245,0,0,3.29417,2
1771444828380,0.186924,0.902454,-0.031864,99.3905,68.1669,28.7126,0,0,3.28309,2
1771444828393,0.238123,0.970637,0.0182112,79.4739,51.1102,33.57,0,0,3.31148,2
1771444828407,0.176779,1.02401,0.0328535,65.9698,33.8757,29.8728,0,0,3.31048,5
1771444828420,0.165838,0.996781,0.0837086,54.4276,27.5753,21.8524,0,0,3.30357,5
1771444828434,0.25774,0.934697,0.069638,43.5459,13.4861,8.20866,0,0,3.61451,5
1771444828447,0.243509,0.894855,0.102942,37.021,-5.43634,0.0318113,0,0,3.27316,5
1771444828461,0.214435,0.933136,0.134197,31.1479,-16.4663,7.51591,0,0,3.30757,5
1771444828474,0.158166,0.968024,0.127141,26.574,-26.0041,23.4602,0,0,3.29107,5
1771444828488,0.134389,0.981579,0.127074,23.2641,-29.5326,29.8561,0,0,3.84383,5
1771444828501,0.108809,1.00296,0.13394,22.3191,-24.1213,21.4242,0,0,3.3185,5
1771444828515,0.0895071,1.01056,0.132749,23.5985,-10.5377,12.7694,0,0,3.41955,5
1771444828528,0.132223,0.988671,0.139944,25.3947,-0.753597,10.7664,0,0,3.29446,5
1771444828542,0.197858,0.975149,0.145523,27.7966,0.466713,11.7801,0,0,3.28141,5
1771444828555,0.217588,0.986151,0.143419,29.9403,-2.63306,12.5924,0,0,3.30737,5
1771444828569,0.226488,0.99155,0.146004,31.2526,-5.32416,8.99847,0,0,3.29853,3
1771444828583,0.255291,0.99379,0.136555,32.5042,-11.8644,1.31603,0,0,3.33294,5
1771444828596,0.265903,0.987706,0.12157,33.9009,-20.8749,-6.59008,0,0,3.40405,5
1771444828610,0.272801,0.978116,0.110903,34.8398,-27.0291,-7.30649,0,0,3.68851,3
1771444828623,0.267344,0.984207,0.0985479,36.2939,-32.0756,-2.02347,0,0,3.28939,3
1771444828637,0.250722,0.993976,0.0914937,36.6546,-34.6599,-1.18731,0,0,3.28068,5
1771444828650,0.232795,0.99902,0.081019,37.0372,-33.3223,-5.3303,0,0,3.2899,5
1771444828663,0.215693,1.00777,0.0663376,37.0415,-30.936,-9.20332,0,0,3.269,5
1771444828677,0.18014,1.02528,0.0575282,38.4024,-27.8382,-8.89173,0,0,3.31768,3
1771444828690,0.160648,1.03258,0.0449651,39.4646,-25.568,-5.97258,0,0,3.29403,3
