timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,classe_prevista_raw,classe_prevista,delay_ms
1777415143532,0.337158,0.531006,-0.898926,3.00763,-25.3969,28.3817,135.967,-16.2847,1.09714,38.2043,0,0,3.568
1777415143546,0.356,0.505,-0.864,1.183,-3.153,-2.397,142.871,-17.933,1.062,4.133,0,0,3.536
1777415143559,0.423,0.472,-0.866,-2.802,-3.397,-0.557,146.084,-19.923,1.073,4.438,0,0,3.256
1777415143573,0.406,0.541,-0.913,1.099,1.084,2.168,147.137,-20.244,1.137,2.661,0,0,3.259
1777415143586,0.349,0.497,-0.871,0.733,0.733,1.176,148.072,-19.926,1.062,1.567,0,0,3.259
1777415143599,0.395,0.551,-0.921,-0.176,-2.382,-0.244,148.374,-20.003,1.143,2.401,0,0,3.248
1777415143613,0.367,0.532,-0.899,0.061,-0.489,0.985,148.647,-19.822,1.107,1.101,0,0,3.250
1777415143626,0.359,0.527,-0.894,-0.107,-1.260,0.588,148.873,-19.622,1.098,1.394,0,0,3.250
1777415143641,0.363,0.527,-0.891,-0.229,-0.649,0.855,149.015,-19.537,1.096,1.097,0,0,5.035
1777415143655,0.370,0.523,-0.888,0.176,-0.748,0.595,149.139,-19.599,1.095,0.972,0,0,3.245
1777415143668,0.371,0.529,-0.901,0.481,-0.664,0.748,149.264,-19.585,1.108,1.110,0,0,3.285
1777415143681,0.373,0.531,-0.909,0.183,-0.924,0.580,149.388,-19.562,1.117,1.106,0,0,3.249
1777415143695,0.369,0.535,-0.904,-0.176,-1.198,0.321,149.380,-19.508,1.113,1.253,0,0,3.249
1777415143708,0.361,0.531,-0.892,-0.229,-0.885,0.656,149.340,-19.420,1.099,1.126,0,0,3.264
1777415143721,0.366,0.524,-0.891,-0.008,-1.099,0.817,149.399,-19.441,1.096,1.370,0,0,3.241
1777415143736,0.363,0.525,-0.890,0.313,-0.481,0.779,149.419,-19.418,1.095,0.967,0,0,3.467
1777415143749,0.364,0.534,-0.892,0.191,-0.916,0.519,149.334,-19.384,1.101,1.070,0,0,3.244
1777415143763,0.373,0.534,-0.902,0.305,-0.985,0.519,149.348,-19.438,1.113,1.154,0,0,3.263
1777415143776,0.371,0.533,-0.904,0.084,-0.740,0.435,149.378,-19.448,1.113,0.863,0,0,3.255
1777415143789,0.367,0.529,-0.893,-0.229,-1.038,0.565,149.378,-19.460,1.101,1.204,0,0,3.260
1777415143803,0.363,0.518,-0.888,0.038,-0.817,0.763,149.479,-19.459,1.091,1.119,0,0,3.254
1777415143816,0.366,0.524,-0.887,-0.023,-0.595,0.542,149.469,-19.492,1.093,0.805,0,0,3.246
1777415143830,0.366,0.527,-0.885,0.198,-0.832,0.679,149.411,-19.511,1.093,1.092,0,0,4.040
1777415143843,0.370,0.540,-0.900,0.244,-0.656,0.687,149.318,-19.484,1.113,0.981,0,0,3.258
1777415143857,0.367,0.532,-0.900,0.168,-0.855,0.634,149.340,-19.445,1.109,1.077,0,0,3.256
1777415143870,0.368,0.530,-0.891,-0.168,-0.947,0.695,149.318,-19.470,1.100,1.186,0,0,3.256
1777415143883,0.368,0.529,-0.885,0.015,-0.954,0.634,149.260,-19.514,1.094,1.145,0,0,3.257
1777415143897,0.369,0.527,-0.888,0.229,-0.763,0.603,149.274,-19.551,1.096,0.999,0,0,3.250
1777415143910,0.365,0.525,-0.885,0.183,-0.641,0.542,149.290,-19.538,1.092,0.859,0,0,3.249
1777415143924,0.369,0.527,-0.894,0.160,-0.901,0.664,149.349,-19.546,1.101,1.131,5,5,4.915
1777415143938,0.371,0.534,-0.902,0.214,-0.931,0.542,149.349,-19.529,1.112,1.099,5,5,3.282
1777415143952,0.371,0.533,-0.898,-0.061,-1.031,0.618,149.332,-19.534,1.108,1.203,5,5,3.250
1777415143965,0.367,0.526,-0.889,-0.183,-1.053,0.496,149.350,-19.543,1.096,1.179,5,5,3.252
1777415143978,0.370,0.524,-0.885,0.015,-1.092,0.626,149.355,-19.606,1.093,1.258,5,5,3.253
1777415143992,0.369,0.530,-0.891,0.183,-0.824,0.672,149.322,-19.598,1.100,1.079,5,5,3.930
1777415144006,0.373,0.532,-0.901,0.115,-0.824,0.779,149.353,-19.605,1.111,1.140,5,5,3.251
1777415144019,0.372,0.533,-0.894,0.183,-0.985,0.664,149.307,-19.627,1.105,1.202,5,5,3.310
1777415144033,0.378,0.528,-0.905,-0.031,-1.023,0.595,149.421,-19.690,1.114,1.184,5,5,3.244
1777415144046,0.368,0.529,-0.898,-0.176,-0.763,0.527,149.447,-19.621,1.105,0.944,5,5,3.258
1777415144059,0.375,0.528,-0.899,-0.008,-0.939,0.718,149.485,-19.658,1.108,1.182,5,5,3.916
1777415144073,0.371,0.525,-0.894,0.122,-0.603,0.664,149.508,-19.667,1.101,0.905,5,5,3.243
1777415144087,0.370,0.531,-0.900,0.145,-0.802,0.534,149.494,-19.627,1.109,0.974,5,5,3.260
1777415144100,0.370,0.535,-0.891,0.130,-0.840,0.664,149.366,-19.618,1.104,1.078,5,5,3.245
1777415144114,0.367,0.530,-0.890,0.008,-1.115,0.626,149.330,-19.595,1.099,1.278,5,5,4.341
1777415144128,0.365,0.531,-0.893,-0.122,-1.046,0.542,149.317,-19.530,1.101,1.184,5,5,3.911
1777415144142,0.365,0.522,-0.888,0.031,-0.725,0.725,149.379,-19.530,1.093,1.026,5,5,3.269
1777415144155,0.372,0.519,-0.894,0.206,-0.817,0.725,149.508,-19.596,1.098,1.112,5,5,3.278
1777415144168,0.368,0.533,-0.894,0.221,-0.771,0.519,149.417,-19.568,1.104,0.955,5,5,3.258
1777415144182,0.375,0.528,-0.896,0.015,-0.924,0.611,149.432,-19.634,1.106,1.107,5,5,3.255
1777415144195,0.368,0.525,-0.894,-0.038,-0.954,0.450,149.471,-19.604,1.100,1.056,5,5,3.909
1777415144209,0.363,0.524,-0.905,-0.145,-0.779,0.664,149.599,-19.480,1.107,1.034,5,5,3.274
1777415144222,0.365,0.527,-0.883,0.099,-0.740,0.504,149.486,-19.490,1.091,0.901,5,5,3.252
1777415144236,0.368,0.521,-0.890,0.137,-0.718,0.687,149.524,-19.525,1.095,1.003,5,5,3.244
1777415144249,0.373,0.531,-0.893,0.160,-0.840,0.664,149.454,-19.586,1.104,1.083,5,5,3.265
1777415144263,0.371,0.530,-0.899,-0.046,-0.824,0.672,149.465,-19.576,1.107,1.064,5,5,3.925
1777415144278,0.367,0.533,-0.891,-0.206,-1.115,0.527,149.364,-19.547,1.101,1.250,5,5,4.271
1777415144291,0.364,0.524,-0.895,-0.153,-0.954,0.695,149.433,-19.492,1.099,1.190,5,5,3.246
1777415144304,0.372,0.527,-0.890,0.099,-1.008,0.725,149.417,-19.566,1.099,1.245,5,5,3.261
1777415144318,0.370,0.527,-0.897,0.008,-0.977,0.687,149.460,-19.576,1.104,1.194,5,5,3.251
1777415144331,0.373,0.532,-0.898,0.206,-0.908,0.763,149.434,-19.603,1.109,1.204,5,5,3.908
1777415144345,0.369,0.528,-0.894,0.069,-1.076,0.573,149.437,-19.593,1.102,1.221,5,5,3.576
1777415144359,0.366,0.529,-0.893,-0.038,-1.137,0.649,149.420,-19.546,1.100,1.310,5,5,3.253
1777415144373,0.367,0.527,-0.884,-0.092,-0.908,0.611,149.359,-19.563,1.093,1.098,5,5,4.301
1777415144386,0.362,0.524,-0.879,0.031,-1.023,0.695,149.317,-19.543,1.086,1.237,5,5,3.250
1777415144400,0.371,0.525,-0.899,0.046,-0.824,0.664,149.423,-19.558,1.106,1.060,5,5,3.915
1777415144414,0.366,0.530,-0.894,0.160,-0.954,0.466,149.403,-19.518,1.102,1.074,5,5,3.254
1777415144427,0.364,0.531,-0.894,0.176,-0.901,0.626,149.369,-19.452,1.102,1.111,5,5,3.258
1777415144441,0.365,0.531,-0.891,-0.061,-0.908,0.771,149.325,-19.439,1.100,1.193,5,5,3.270
1777415144455,0.366,0.527,-0.891,0.038,-0.901,0.588,149.342,-19.448,1.098,1.076,5,5,3.259
1777415144468,0.368,0.519,-0.888,-0.031,-0.878,0.603,149.435,-19.510,1.093,1.065,5,5,3.918
1777415144482,0.366,0.529,-0.904,0.107,-0.847,0.611,149.493,-19.450,1.109,1.050,5,5,3.257
1777415144495,0.369,0.528,-0.888,0.206,-0.885,0.542,149.430,-19.504,1.097,1.058,5,5,3.258
1777415144509,0.370,0.532,-0.893,0.046,-1.069,0.618,149.372,-19.528,1.104,1.236,5,5,3.251
1777415144522,0.369,0.538,-0.893,0.008,-0.901,0.702,149.246,-19.514,1.106,1.142,5,5,3.247
1777415144536,0.375,0.529,-0.888,0.099,-0.878,0.802,149.243,-19.624,1.099,1.193,5,5,5.112
