timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,classe_prevista_raw,classe_prevista,delay_ms
1777578527496,-0.0952148,0.92334,-0.497314,0.0121374,-0.0176336,-0.0299237,59.1831,2.59509,1.05306,0.0367925,0,0,3.609
1777578527509,-0.097,0.930,-0.483,0.015,-0.023,-0.043,78.643,3.493,1.053,0.051,0,0,3.292
1777578527523,-0.073,0.935,-0.487,0.024,-0.038,-0.057,88.392,3.614,1.057,0.072,0,0,3.292
1777578527536,-0.098,0.923,-0.482,0.031,-0.054,-0.062,94.265,3.965,1.045,0.088,0,0,3.293
1777578527550,-0.076,0.924,-0.491,0.035,-0.065,-0.069,98.252,4.001,1.049,0.101,0,0,3.281
1777578527563,-0.080,0.927,-0.492,0.036,-0.087,-0.069,101.106,4.049,1.053,0.117,0,0,3.269
1777578527576,-0.063,0.927,-0.502,0.048,-0.133,-0.052,103.313,3.973,1.056,0.150,0,0,3.312
1777578527590,-0.083,0.933,-0.507,0.052,-0.202,-0.021,105.039,4.031,1.065,0.209,0,0,3.274
1777578527603,-0.095,0.919,-0.495,0.054,-0.265,0.035,106.405,4.152,1.048,0.273,0,0,3.306
1777578527617,-0.136,0.907,-0.505,0.053,-0.325,0.095,107.599,4.463,1.047,0.343,0,0,3.256
1777578527630,-0.164,0.899,-0.498,0.045,-0.371,0.143,108.585,4.865,1.040,0.400,0,0,3.243
1777578527643,-0.195,0.915,-0.500,0.037,-0.360,0.180,109.397,5.326,1.060,0.404,0,0,3.267
1777578527657,-0.241,0.892,-0.474,0.022,-0.279,0.162,110.045,5.936,1.038,0.323,0,0,3.251
1777578527670,-0.230,0.908,-0.477,0.003,-0.148,0.116,110.590,6.415,1.051,0.188,0,0,3.283
1777578527683,-0.199,0.918,-0.485,-0.012,-0.029,0.064,111.079,6.714,1.058,0.071,0,0,3.264
1777578527697,-0.103,0.932,-0.486,-0.012,-0.012,0.035,111.493,6.642,1.056,0.039,0,0,3.259
1777578527713,-0.127,0.925,-0.489,-0.010,-0.007,0.035,111.880,6.660,1.054,0.037,0,0,6.336
1777578527727,-0.138,0.923,-0.492,-0.004,-0.009,0.042,112.241,6.709,1.055,0.043,0,0,3.463
1777578527740,-0.141,0.908,-0.494,-0.004,-0.011,0.060,112.594,6.769,1.043,0.061,0,0,3.263
1777578527754,-0.131,0.910,-0.488,-0.010,-0.012,0.073,112.896,6.793,1.041,0.075,0,0,3.264
1777578527767,-0.121,0.917,-0.489,-0.008,-0.015,0.078,113.164,6.785,1.046,0.080,0,0,3.278
1777578527780,-0.108,0.929,-0.483,-0.005,-0.020,0.074,113.380,6.740,1.053,0.076,0,0,3.246
1777578527794,-0.111,0.918,-0.490,0.001,-0.024,0.073,113.610,6.708,1.046,0.077,0,0,3.256
1777578527807,-0.100,0.928,-0.485,0.006,-0.027,0.069,113.799,6.649,1.052,0.074,0,0,3.258
1777578527820,-0.110,0.926,-0.492,0.009,-0.030,0.062,113.994,6.619,1.054,0.069,0,0,3.238
1777578527834,-0.102,0.929,-0.491,0.013,-0.032,0.058,114.169,6.571,1.056,0.067,0,0,3.247
1777578527847,-0.101,0.927,-0.487,0.013,-0.034,0.047,114.325,6.524,1.052,0.059,0,0,3.244
1777578527860,-0.105,0.926,-0.492,0.018,-0.034,0.039,114.483,6.490,1.054,0.054,0,0,3.250
1777578527874,-0.100,0.926,-0.484,0.019,-0.031,0.033,114.614,6.447,1.050,0.049,0,0,3.239
1777578527887,-0.106,0.928,-0.485,0.019,-0.031,0.025,114.738,6.418,1.052,0.044,4,4,4.128
1777578527901,-0.111,0.920,-0.489,0.020,-0.030,0.024,114.870,6.404,1.047,0.043,4,4,3.289
1777578527915,-0.110,0.929,-0.501,0.017,-0.027,0.022,115.010,6.386,1.061,0.039,4,4,3.255
1777578527928,-0.094,0.924,-0.486,0.021,-0.024,0.019,115.117,6.337,1.048,0.037,4,4,3.261
1777578527941,-0.102,0.921,-0.494,0.021,-0.024,0.020,115.238,6.307,1.050,0.038,4,4,3.257
1777578527955,-0.109,0.915,-0.491,0.019,-0.021,0.021,115.353,6.296,1.044,0.036,1,1,3.905
1777578527969,-0.102,0.924,-0.488,0.020,-0.021,0.022,115.447,6.268,1.050,0.036,1,1,3.250
1777578527982,-0.102,0.919,-0.489,0.021,-0.021,0.021,115.543,6.243,1.046,0.036,1,1,3.264
1777578527995,-0.108,0.923,-0.491,0.022,-0.023,0.022,115.634,6.230,1.051,0.039,1,1,3.259
1777578528009,-0.103,0.919,-0.496,0.024,-0.022,0.017,115.734,6.207,1.050,0.037,1,1,3.251
1777578528022,-0.102,0.918,-0.490,0.025,-0.028,0.013,115.820,6.184,1.045,0.039,1,1,3.902
1777578528036,-0.100,0.920,-0.492,0.024,-0.024,0.010,115.903,6.158,1.048,0.036,1,1,3.250
1777578528050,-0.103,0.918,-0.487,0.026,-0.028,0.006,115.975,6.141,1.044,0.038,1,1,3.492
1777578528063,-0.103,0.929,-0.488,0.025,-0.031,0.004,116.037,6.121,1.055,0.040,1,1,3.253
1777578528076,-0.120,0.912,-0.493,0.025,-0.026,0.005,116.120,6.137,1.044,0.036,1,1,3.276
1777578528090,-0.106,0.914,-0.500,0.024,-0.023,0.007,116.209,6.127,1.047,0.034,2,2,3.899
1777578528104,-0.112,0.920,-0.486,0.022,-0.022,0.009,116.265,6.127,1.047,0.033,2,2,3.291
1777578528117,-0.107,0.922,-0.506,0.023,-0.022,0.008,116.351,6.116,1.057,0.033,2,2,3.265
1777578528131,-0.109,0.910,-0.500,0.020,-0.021,0.007,116.433,6.112,1.044,0.030,2,2,3.252
1777578528144,-0.101,0.926,-0.487,0.020,-0.023,-0.001,116.476,6.093,1.051,0.031,2,2,3.276
1777578528157,-0.116,0.912,-0.495,0.019,-0.023,0.000,116.544,6.103,1.044,0.030,4,4,3.882
1777578528171,-0.090,0.920,-0.494,0.022,-0.014,-0.018,116.601,6.064,1.048,0.031,4,4,3.266
1777578528185,-0.065,0.906,-0.497,0.020,-0.025,0.005,116.672,5.982,1.036,0.032,4,4,3.260
1777578528198,-0.135,0.910,-0.507,0.018,-0.014,0.016,116.754,6.029,1.050,0.028,4,4,3.248
1777578528211,-0.092,0.917,-0.492,0.020,-0.014,0.010,116.803,5.997,1.045,0.026,4,4,3.274
1777578528225,-0.102,0.919,-0.489,0.023,-0.020,0.004,116.842,5.983,1.046,0.031,2,2,3.891
1777578528239,-0.104,0.918,-0.498,0.022,-0.027,-0.003,116.895,5.973,1.049,0.035,2,2,3.276
1777578528252,-0.094,0.914,-0.504,0.020,-0.030,-0.007,116.961,5.946,1.048,0.037,2,2,3.364
1777578528266,-0.116,0.912,-0.501,0.018,-0.031,-0.008,117.019,5.960,1.047,0.037,2,2,3.268
1777578528279,-0.102,0.917,-0.506,0.011,-0.027,-0.006,117.080,5.947,1.052,0.030,2,2,3.260
1777578528292,-0.106,0.917,-0.508,0.006,-0.021,-0.002,117.142,5.942,1.053,0.022,2,2,3.893
1777578528308,-0.111,0.925,-0.517,0.002,-0.017,0.005,117.208,5.944,1.065,0.018,2,2,3.339
1777578528322,-0.117,0.922,-0.510,-0.001,-0.010,0.011,117.265,5.956,1.060,0.015,2,2,3.244
1777578528335,-0.110,0.927,-0.507,-0.001,-0.005,0.014,117.310,5.955,1.062,0.015,2,2,3.276
1777578528348,-0.110,0.926,-0.504,-0.003,-0.006,0.014,117.350,5.955,1.060,0.015,2,2,3.248
1777578528362,-0.105,0.917,-0.501,-0.005,-0.007,0.013,117.393,5.948,1.050,0.015,4,4,3.912
1777578528376,-0.122,0.928,-0.501,-0.002,-0.006,0.011,117.425,5.969,1.062,0.013,4,4,3.266
1777578528389,-0.112,0.927,-0.504,-0.003,-0.004,0.016,117.460,5.972,1.061,0.016,4,4,3.247
1777578528404,-0.111,0.919,-0.504,-0.002,-0.001,0.013,117.502,5.975,1.054,0.013,4,4,3.267
1777578528418,-0.112,0.917,-0.509,-0.002,-0.003,0.014,117.550,5.978,1.054,0.014,4,4,3.393
1777578528431,-0.102,0.922,-0.503,-0.004,-0.002,0.016,117.584,5.965,1.055,0.017,2,2,3.974
1777578528446,-0.107,0.925,-0.503,-0.001,-0.001,0.013,117.614,5.960,1.058,0.013,2,2,3.284
1777578528459,-0.102,0.916,-0.503,0.001,-0.002,0.013,117.651,5.948,1.050,0.013,2,2,3.278
1777578528473,-0.111,0.910,-0.503,0.002,0.001,0.015,117.691,5.952,1.045,0.015,2,2,3.263
1777578528486,-0.103,0.913,-0.493,0.002,-0.002,0.013,117.713,5.943,1.043,0.013,2,2,3.268
1777578528502,-0.102,0.925,-0.501,0.003,-0.002,0.012,117.737,5.930,1.057,0.012,2,2,3.954
1777578528516,-0.098,0.914,-0.497,0.002,-0.005,0.006,117.762,5.913,1.045,0.009,2,2,3.263
1777578528529,-0.112,0.925,-0.495,-0.001,-0.002,0.004,117.775,5.919,1.055,0.004,2,2,3.268
1777578528542,-0.102,0.922,-0.503,-0.001,-0.003,0.004,117.801,5.908,1.055,0.005,2,2,3.266
1777578528556,-0.095,0.912,-0.510,-0.008,-0.003,-0.007,117.846,5.885,1.049,0.011,2,2,3.263
1777578528569,-0.109,0.904,-0.501,-0.012,-0.008,-0.010,117.883,5.889,1.039,0.017,2,2,4.223
1777578528583,-0.119,0.907,-0.507,-0.019,-0.002,-0.007,117.924,5.910,1.046,0.020,2,2,3.255
1777578528597,-0.098,0.907,-0.502,-0.024,-0.003,-0.009,117.956,5.894,1.041,0.025,2,2,3.272
1777578528611,-0.116,0.917,-0.502,-0.028,-0.007,-0.011,117.979,5.908,1.051,0.031,2,2,3.782
1777578528624,-0.140,0.924,-0.507,-0.036,0.008,0.009,118.004,5.961,1.063,0.038,2,2,3.270
1777578528637,-0.133,0.932,-0.500,-0.039,0.017,0.030,118.011,5.999,1.066,0.051,2,2,3.931
1777578528652,-0.114,0.927,-0.496,-0.042,0.026,0.039,118.015,6.006,1.057,0.063,2,2,3.270
1777578528665,-0.110,0.924,-0.492,-0.038,0.026,0.040,118.016,6.005,1.052,0.061,2,2,3.261
1777578528678,-0.109,0.922,-0.492,-0.035,0.028,0.040,118.017,6.004,1.051,0.060,2,2,3.258
1777578528692,-0.098,0.917,-0.490,-0.032,0.024,0.037,118.020,5.984,1.044,0.054,2,2,3.334
1777578528705,-0.094,0.915,-0.500,-0.031,0.020,0.030,118.039,5.957,1.047,0.048,2,2,3.925
1777578528719,-0.087,0.916,-0.490,-0.029,0.013,0.018,118.042,5.920,1.042,0.037,2,2,3.277
1777578528733,-0.082,0.915,-0.492,-0.022,0.000,-0.003,118.049,5.876,1.042,0.022,2,2,3.264
1777578528746,-0.086,0.919,-0.483,-0.015,-0.009,-0.017,118.038,5.839,1.041,0.024,2,2,3.265
1777578528763,-0.084,0.919,-0.477,-0.004,-0.017,-0.033,118.018,5.802,1.039,0.037,2,2,7.196
1777578528777,-0.120,0.922,-0.486,0.007,-0.022,-0.029,118.011,5.826,1.049,0.037,2,2,3.946
