timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,classe_prevista_raw,classe_prevista,delay_ms
1777496550626,-0.00854492,0.957031,-0.504395,-0.00557252,-0.0841221,0.0187786,107.179,0.411782,1.08185,0.0863726,0,0,3.277
1777496550639,-0.026,0.927,-0.493,-0.005,-0.081,0.037,112.617,0.908,1.050,0.090,0,0,3.332
1777496550652,-0.031,0.922,-0.489,-0.006,-0.065,0.034,114.606,1.216,1.044,0.074,0,0,3.263
1777496550666,-0.049,0.933,-0.482,-0.004,-0.049,0.032,115.485,1.686,1.052,0.058,0,0,3.303
1777496550679,-0.047,0.936,-0.490,-0.009,-0.029,0.025,116.126,1.948,1.057,0.039,0,0,3.257
1777496550693,-0.047,0.949,-0.483,-0.004,-0.008,0.016,116.359,2.111,1.066,0.019,0,0,3.290
1777496550706,-0.026,0.945,-0.486,0.006,0.003,0.020,116.590,1.908,1.063,0.021,0,0,3.302
1777496550719,0.005,0.946,-0.497,0.014,0.006,0.024,116.894,1.310,1.069,0.028,0,0,3.292
1777496550733,0.017,0.931,-0.490,0.017,0.004,0.020,117.128,0.707,1.052,0.026,0,0,3.272
1777496550746,0.021,0.942,-0.501,0.017,-0.001,0.011,117.373,0.203,1.067,0.020,0,0,3.296
1777496550760,0.033,0.933,-0.502,0.019,-0.013,-0.001,117.625,-0.342,1.060,0.023,0,0,3.269
1777496550773,0.042,0.957,-0.512,0.027,-0.025,0.005,117.768,-0.842,1.086,0.037,0,0,3.423
1777496550786,0.095,0.941,-0.514,0.040,-0.059,0.045,118.008,-1.982,1.077,0.084,0,0,3.270
1777496550800,0.097,0.930,-0.511,0.041,-0.094,0.078,118.222,-2.857,1.066,0.129,0,0,3.278
1777496550813,0.098,0.921,-0.510,0.038,-0.130,0.093,118.432,-3.524,1.057,0.164,0,0,3.394
1777496550827,0.101,0.922,-0.510,0.032,-0.167,0.116,118.578,-4.045,1.059,0.206,0,0,3.244
1777496550840,0.091,0.905,-0.517,0.028,-0.204,0.135,118.889,-4.294,1.046,0.246,0,0,3.255
1777496550853,0.071,0.900,-0.519,0.017,-0.229,0.134,119.178,-4.184,1.041,0.266,0,0,3.240
1777496550867,0.061,0.892,-0.511,-0.002,-0.245,0.120,119.352,-3.964,1.030,0.273,0,0,3.272
1777496550880,0.051,0.893,-0.523,-0.017,-0.256,0.112,119.620,-3.656,1.036,0.280,0,0,3.252
1777496550894,0.009,0.915,-0.548,-0.009,-0.231,0.120,119.972,-2.796,1.066,0.261,0,0,3.792
1777496550907,-0.034,0.874,-0.576,-0.003,-0.177,0.091,120.898,-1.539,1.047,0.199,0,0,3.285
1777496550921,-0.024,0.882,-0.573,-0.007,-0.133,0.069,121.472,-0.768,1.053,0.150,0,0,3.257
1777496550934,0.005,0.871,-0.569,-0.012,-0.110,0.082,121.925,-0.629,1.040,0.138,0,0,3.355
1777496550948,-0.005,0.893,-0.584,-0.011,-0.094,0.092,122.262,-0.388,1.067,0.132,0,0,3.308
1777496550961,-0.019,0.895,-0.590,-0.008,-0.073,0.084,122.571,-0.016,1.072,0.112,0,0,3.296
1777496550975,-0.027,0.902,-0.585,-0.011,-0.060,0.057,122.680,0.372,1.076,0.083,0,0,3.271
