timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,classe_prevista_raw,classe_prevista,delay_ms,tempo_s,Fase
1778532213192,0.0252363,0.668028,-0.124228,0.0375547,-0.161,0.133194,91.4033,-1.93383,1.01958,0.360764,0,0,3.288,0.0,0
1778532213205,0.028,0.799,-0.151,0.028,-0.109,0.078,95.924,-1.893,1.014,0.028,0,0,3.323,0.013,0
1778532213219,0.03,0.856,-0.163,0.023,-0.083,0.057,97.61,-1.918,1.016,0.019,0,0,3.297,0.027,0
1778532213232,0.031,0.889,-0.167,0.02,-0.069,0.044,98.222,-1.929,1.02,0.019,0,0,3.277,0.04,0
1778532213246,0.032,0.91,-0.17,0.019,-0.059,0.037,98.702,-1.94,1.017,0.017,0,0,3.271,0.054,0
1778532213259,0.032,0.924,-0.173,0.017,-0.052,0.032,99.053,-1.931,1.021,0.018,0,0,3.269,0.067,0
1778532213272,0.033,0.935,-0.175,0.016,-0.047,0.028,99.32,-1.967,1.019,0.015,0,0,3.256,0.08,0
1778532213286,0.033,0.943,-0.177,0.015,-0.043,0.026,99.501,-1.919,1.017,0.018,0,0,3.244,0.094,0
1778532213299,0.033,0.949,-0.177,0.014,-0.04,0.024,99.608,-1.924,1.017,0.015,0,0,3.266,0.107,0
1778532213312,0.033,0.954,-0.178,0.013,-0.037,0.022,99.703,-1.944,1.021,0.014,0,0,3.248,0.12,0
1778532213326,0.033,0.959,-0.179,0.013,-0.035,0.021,99.823,-1.923,1.02,0.016,0,0,3.283,0.134,0
1778532213339,0.034,0.963,-0.18,0.012,-0.033,0.019,99.934,-1.983,1.023,0.014,0,0,3.247,0.147,0
1778532213352,0.034,0.966,-0.18,0.012,-0.031,0.018,99.976,-1.985,1.016,0.014,0,0,3.262,0.16,0
1778532213366,0.034,0.968,-0.181,0.011,-0.03,0.017,100.042,-1.98,1.017,0.014,0,0,3.25,0.174,0
1778532213379,0.034,0.971,-0.181,0.011,-0.028,0.016,100.096,-1.969,1.016,0.013,0,0,3.266,0.187,0
1778532213392,0.034,0.972,-0.182,0.01,-0.027,0.016,100.158,-1.973,1.016,0.012,0,0,3.263,0.2,0
1778532213406,0.034,0.975,-0.182,0.01,-0.026,0.015,100.184,-1.959,1.02,0.014,0,0,3.263,0.214,0
1778532213419,0.034,0.976,-0.181,0.01,-0.025,0.014,100.151,-1.953,1.018,0.013,0,0,3.276,0.227,0
