timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista
1774299874496,0,-0.660213,0.00374474,-5.96732,-3.51813,-0.657815,0,0,3.86749,-1
1774299874510,-0.00900232,-0.794442,0.00478798,-7.13621,-3.70489,-0.564067,0,0,3.40758,-1
1774299874524,-0.013007,-0.854798,0.00937187,-7.79354,-3.4455,-0.312712,0,0,3.29026,-1
1774299874537,-0.0197819,-0.891636,0.0150455,-8.51895,-2.87971,-0.066198,0,0,3.26076,-1
1774299874550,-0.0232947,-0.910912,0.0193873,-9.13177,-2.08537,-0.0431124,0,0,3.25767,-1
1774299874564,-0.0200164,-0.924802,0.0242843,-9.43582,-1.35362,-0.0986684,0,0,3.26682,-1
1774299874577,-0.0131095,-0.934158,0.0279905,-9.72146,-1.08724,0.0019682,0,0,3.25791,-1
1774299874591,-0.00840095,-0.939672,0.0323006,-9.84404,-1.11515,0.265468,0,0,3.25919,-1
1774299874604,-0.00590665,-0.94618,0.036881,-9.97732,-1.19924,0.432229,0,0,3.25407,-1
1774299874617,-0.00446928,-0.950489,0.0398186,-10.1409,-1.10227,0.468361,0,0,3.3256,0
1774299874631,-0.000672107,-0.953681,0.0426476,-10.1293,-0.956732,0.437078,0,0,3.26508,0
1774299874644,0.00489991,-0.955484,0.0452088,-9.94561,-0.912523,0.325544,0,0,3.25537,0
1774299874657,0.0100166,-0.95685,0.0474645,-9.66957,-1.0529,0.204477,0,0,3.27872,0
1774299874671,0.0132094,-0.959226,0.0495729,-9.40645,-1.29585,0.129384,0,0,3.2515,5
1774299874684,0.01556,-0.960537,0.0505238,-9.13241,-1.53451,0.0635349,0,0,3.26385,5
1774299874698,0.0192005,-0.961732,0.0519997,-8.78787,-1.84775,-0.088588,0,0,3.51722,5
1774299874711,0.0237795,-0.961941,0.052592,-8.36844,-2.24662,-0.242368,0,0,3.26722,5
1774299874724,0.0296021,-0.962114,0.0525221,-7.86609,-2.84811,-0.434266,0,0,3.27667,5
1774299874738,0.0330417,-0.962239,0.0525966,-7.28844,-3.65055,-0.569589,0,0,3.27648,5
1774299874751,0.0328884,-0.964415,0.0524418,-6.82311,-4.36321,-0.786335,0,0,3.30037,5
1774299874765,0.0327051,-0.965392,0.0513202,-6.44379,-4.86742,-1.14224,0,0,3.27693,1
1774299874778,0.0342509,-0.966779,0.0499266,-5.99391,-5.32693,-1.48154,0,0,3.28987,1
1774299874791,0.0358657,-0.967836,0.0489594,-5.56986,-5.86767,-1.71096,0,0,3.27567,1
1774299874805,0.0361892,-0.968759,0.0474216,-5.15831,-6.43086,-1.94221,0,0,3.32999,1
1774299874818,0.0341326,-0.969825,0.0459573,-4.6805,-6.84351,-2.20704,0,0,3.29352,1
1774299874831,0.0312778,-0.972069,0.0451267,-4.22763,-7.04557,-2.46789,0,0,3.2798,1
1774299874845,0.0294703,-0.974135,0.044124,-3.78819,-7.06241,-2.66835,0,0,3.28443,1
1774299874858,0.0282461,-0.975988,0.043551,-3.33884,-7.03964,-2.83296,0,0,3.27596,1
1774299874872,0.0270881,-0.977698,0.0427059,-2.95938,-7.02394,-2.99316,0,0,3.27374,1
1774299874885,0.0256242,-0.978667,0.0421943,-2.57902,-6.93456,-3.15169,0,0,3.28135,1
1774299874898,0.0234771,-0.979769,0.0415689,-2.20071,-6.79451,-3.26309,0,0,3.304,1
1774299874912,0.0208842,-0.981272,0.0409449,-1.86002,-6.57043,-3.31777,0,0,3.30415,1
