timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista
1774300362234,-0.0490072,-0.270109,0.197494,55.9319,-74.4035,27.5401,0,0,3.2749,-1
1774300362247,-0.0937513,-0.24884,0.235956,70.5327,-78.7996,31.0514,0,0,3.28125,-1
1774300362261,-0.127821,-0.2402,0.249873,82.941,-75.7553,30.7236,0,0,3.33477,-1
1774300362274,-0.14816,-0.244095,0.26162,95.2459,-70.2371,27.3097,0,0,3.3778,-1
1774300362288,-0.159249,-0.269017,0.269117,106.808,-63.7895,21.8306,0,0,3.24547,-1
1774300362302,-0.163422,-0.308553,0.269527,117.237,-56.9635,15.8383,0,0,4.53399,-1
1774300362316,-0.162269,-0.350673,0.267013,126.675,-50.1385,10.7271,0,0,3.24677,-1
1774300362329,-0.157353,-0.393987,0.263081,135.337,-43.7361,6.41011,0,0,3.2564,-1
1774300362342,-0.152075,-0.439123,0.258558,143.423,-37.7811,2.77167,0,0,3.2561,-1
1774300362356,-0.148892,-0.491249,0.252406,150.983,-32.2019,-0.283301,0,0,3.33416,0
1774300362369,-0.151338,-0.555427,0.242386,157.496,-26.7408,-3.05559,0,0,3.32349,0
1774300362383,-0.155789,-0.628186,0.227383,162.623,-21.2008,-5.5725,0,0,3.29701,0
1774300362397,-0.159566,-0.713953,0.205664,165.655,-15.4524,-8.63526,0,0,3.87029,0
1774300362410,-0.156191,-0.791456,0.175574,167.187,-9.77435,-11.8349,0,0,3.28273,0
1774300362423,-0.140518,-0.850793,0.144684,168.735,-4.40911,-13.9252,0,0,3.26984,5
1774300362437,-0.106997,-0.92269,0.113854,169.646,-0.107695,-15.0989,0,0,3.29171,5
1774300362450,-0.0610797,-1.00094,0.0793682,168.833,2.49602,-16.2514,0,0,3.30829,5
1774300362464,-0.0153954,-1.06723,0.0402588,166.248,3.40209,-17.3976,0,0,3.33451,5
1774300362477,0.0190097,-1.11623,-0.000694112,162.532,3.14885,-18.2348,0,0,3.28386,5
1774300362492,0.0331922,-1.13633,-0.0428522,159.043,2.4572,-18.9686,0,0,3.34088,5
1774300362505,0.0285218,-1.13832,-0.0819714,157.026,2.08398,-20.3918,0,0,3.26523,5
1774300362519,0.00843657,-1.13492,-0.11743,156.698,2.62897,-23.1431,0,0,3.86114,5
1774300362532,-0.0173899,-1.14352,-0.150095,156.886,4.33592,-25.784,0,0,3.26843,5
1774300362546,-0.0376061,-1.15748,-0.184038,156.482,6.94686,-26.9286,0,0,3.31399,5
1774300362559,-0.0449643,-1.17056,-0.22036,155.052,9.81393,-26.7221,0,0,3.30003,5
1774300362573,-0.0389241,-1.17976,-0.258286,152.491,12.1698,-26.1891,0,0,3.30358,5
1774300362586,-0.0275229,-1.18536,-0.298783,148.663,13.522,-26.1509,0,0,3.30475,5
1774300362599,-0.0208106,-1.18795,-0.340118,143.552,13.9321,-26.4858,0,0,3.27114,5
1774300362613,-0.0226861,-1.18595,-0.380874,137.289,13.8076,-26.4722,0,0,3.4289,5
1774300362626,-0.0296192,-1.18291,-0.419684,129.969,13.5899,-25.6384,0,0,3.28508,5
1774300362640,-0.0362031,-1.18374,-0.45366,121.056,13.4105,-23.8797,0,0,3.27151,5
1774300362653,-0.0375488,-1.1863,-0.483232,111.361,13.0543,-21.3629,0,0,3.3098,5
1774300362667,-0.0398809,-1.19385,-0.508182,100.675,12.6296,-17.8751,0,0,3.30701,5
1774300362680,-0.0572738,-1.19652,-0.526041,88.9407,12.8418,-11.7624,0,0,3.36988,5
1774300362693,-0.0718504,-1.33007,-0.444231,69.6314,11.2219,-5.27607,0,0,3.27232,5
1774300362707,-0.0872016,-1.34845,-0.404256,59.3988,10.5394,-3.96051,0,0,4.02084,5
1774300362721,-0.0720275,-1.27544,-0.371677,46.4033,10.3493,-1.9399,0,0,3.26412,5
1774300362734,-0.0739649,-1.24213,-0.358839,34.0293,8.82996,0.926661,0,0,3.26723,5
1774300362748,-0.0795193,-1.23402,-0.356075,25.1549,8.19625,1.73672,0,0,3.2729,5
1774300362761,-0.0819019,-1.22806,-0.349845,19.2994,8.29157,1.99195,0,0,3.2609,5
1774300362774,-0.0795059,-1.20683,-0.345356,15.0486,8.83006,2.48131,0,0,3.30443,5
1774300362788,-0.0765704,-1.18389,-0.340209,12.9335,9.18333,3.46897,0,0,3.25812,5
1774300362801,-0.072333,-1.17104,-0.334136,11.8323,9.18506,3.87083,0,0,3.29675,5
1774300362814,-0.0710431,-1.16262,-0.319863,10.8582,9.17325,3.7221,0,0,3.27408,5
1774300362828,-0.0685665,-1.1651,-0.314079,9.90555,8.77551,3.6188,0,0,3.33423,5
1774300362841,-0.0656249,-1.15266,-0.301981,9.24845,8.30393,3.40171,0,0,3.30203,5
1774300362855,-0.062362,-1.14617,-0.295298,8.37179,7.85003,3.23211,0,0,3.27555,5
1774300362868,-0.0591332,-1.13917,-0.288252,7.86227,7.39849,3.05457,0,0,3.35355,5
1774300362882,-0.0555751,-1.12969,-0.279524,7.28409,6.97844,2.95879,0,0,3.26186,5
1774300362897,-0.0529696,-1.12431,-0.272832,6.65798,6.65652,2.88787,0,0,4.97709,5
