timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista
1774536270813,0.0324684,0.93182,-0.471891,-1.25935,-1.51122,0.152649,0,0,3.22099,-1
1774536270826,0.0278324,0.94287,-0.470215,-1.35113,-0.954282,1.12962,0,0,3.24871,-1
1774536270840,0.0390617,0.941162,-0.472412,-1.1298,-0.496252,1.79379,0,0,3.29697,-1
1774536270853,0.0319829,0.927003,-0.46753,-1.35874,-0.465653,2.12972,0,0,3.22643,-1
1774536270866,0.0393061,0.939941,-0.4729,-1.1985,-0.0687618,2.00002,0,0,3.22217,-1
1774536270880,0.036133,0.936035,-0.465577,-1.66405,-0.221351,2.27477,0,0,3.22588,-1
1774536270893,0.0415035,0.927735,-0.467285,-1.8702,-0.442715,2.20612,0,0,3.23032,-1
1774536270906,0.0422363,0.932617,-0.462403,-1.80154,-0.526705,2.05346,0,0,3.2296,-1
1774536270920,0.0449217,0.947753,-0.46875,-1.66414,-0.557247,1.73287,0,0,3.22365,-1
1774536270933,0.0395512,0.938721,-0.46875,-1.74808,-0.931242,1.54965,0,0,3.28988,0
1774536270946,0.0378419,0.939697,-0.466797,-1.77099,-0.748119,1.51909,0,0,3.27043,0
1774536270960,0.0415036,0.939209,-0.475829,-1.86258,-0.450426,1.44276,0,0,3.24471,0
1774536270973,0.0449216,0.938965,-0.467286,-1.64889,-0.748047,1.35879,0,0,3.23193,0
1774536270986,0.0419924,0.932374,-0.46582,-1.97705,-0.893108,1.25956,0,0,3.28076,5
1774536271000,0.0334479,0.936523,-0.464356,-1.77866,-1.03815,1.33587,0,0,3.25117,5
1774536271013,0.0458976,0.937988,-0.473144,-2.16025,-1.15265,1.52669,0,0,3.26475,5
1774536271027,0.0397953,0.930665,-0.468506,-2.50377,-0.969493,1.70226,0,0,3.27986,5
1774536271040,0.0432127,0.935791,-0.462159,-2.75569,-0.938936,1.9389,0,0,3.28897,5
1774536271053,0.0422364,0.931641,-0.466064,-3.02286,-0.793915,2.02289,0,0,3.32625,5
1774536271067,0.0437011,0.932373,-0.467285,-3.38163,-0.87785,2.3511,0,0,3.27378,5
1774536271080,0.0385746,0.935791,-0.463867,-3.51906,-0.824435,2.81672,0,0,3.25358,5
1774536271093,0.03418,0.93335,-0.467773,-3.687,-0.854957,3.37396,0,0,3.26899,5
1774536271107,0.0363768,0.938232,-0.46167,-4.18313,-0.702313,4.0686,0,0,3.27314,5
1774536271120,0.0432124,0.948974,-0.46167,-4.19847,-0.633598,4.61824,0,0,3.23623,5
1774536271134,0.0463865,0.954345,-0.450928,-4.08399,-0.893091,4.7786,0,0,3.27945,5
1774536271147,0.0495603,0.950684,-0.457519,-3.56496,-0.839703,4.09171,0,0,3.28351,5
1774536271160,0.0532224,0.948975,-0.449708,-3.34354,-1.09157,3.23677,0,0,3.30551,5
1774536271174,0.0517579,0.950683,-0.458984,-3.00768,-1.42743,2.25969,0,0,3.31584,5
1774536271187,0.0568844,0.946533,-0.457764,-2.48863,-1.34352,1.28259,0,0,3.29923,5
1774536271201,0.0522464,0.949707,-0.445557,-1.90848,-1.28245,0.748172,0,0,3.31206,5
1774536271216,0.0456548,0.944336,-0.45581,-1.89313,-1.16796,0.671767,0,0,5.02454,5
1774536271229,0.0419924,0.953124,-0.454102,-1.44282,-0.717625,0.702285,0,0,3.33577,5
