timestamp,ax,ay,az,gx,gy,gz,roll,pitch,delay_ms,classe_prevista
1777250994672,0.0157789,0.775043,-0.0946733,0.0268999,-0.27546,0.210148,0,0,3.27814,-1
1777250994686,0.0145412,0.879913,-0.110766,0.0130779,-0.165136,0.101141,0,0,3.32973,-1
1777250994699,0.0122641,0.918052,-0.116898,0.00729283,-0.120982,0.0697619,0,0,3.24734,-1
1777250994712,0.011157,0.939676,-0.120478,0.00361153,-0.0968489,0.0555634,0,0,3.26727,-1
1777250994726,0.0120192,0.953578,-0.120126,0.00113222,-0.0820783,0.0477727,0,0,3.26051,-1
1777250994739,0.0124907,0.962758,-0.122888,-0.000268596,-0.072017,0.0433908,0,0,3.24432,-1
1777250994752,0.0129052,0.969605,-0.124347,-0.000908828,-0.0644695,0.0403318,0,0,3.25227,-1
1777250994766,0.0130033,0.9759,-0.124649,-0.000665535,-0.0587495,0.0381207,0,0,3.25382,-1
1777250994779,0.0131092,0.980057,-0.124095,-0.000154165,-0.0540749,0.0367175,0,0,3.26225,-1
1777250994792,0.0128828,0.982523,-0.124868,0.000236812,-0.0501392,0.0357079,0,0,3.26895,-1
1777250994806,0.0137835,0.985924,-0.124543,0.000992484,-0.0467441,0.0347641,0,0,3.24245,-1
1777250994819,0.0138412,0.988139,-0.12488,0.00177973,-0.0435146,0.0336831,0,0,3.24094,-1
1777250994832,0.0140621,0.989416,-0.125941,0.00242771,-0.040981,0.032589,0,0,3.24455,-1
1777250994846,0.014682,0.990219,-0.126494,0.00269673,-0.0384637,0.0316333,0,0,3.24155,-1
1777250994859,0.0151866,0.991254,-0.127175,0.00281674,-0.0362257,0.0307097,0,0,3.24742,-1
1777250994873,0.0147512,0.99217,-0.127627,0.00282319,-0.0341107,0.0302035,0,0,3.32371,-1
1777250994886,0.0147798,0.993349,-0.127069,0.00274962,-0.0320603,0.0301714,0,0,3.25892,-1
1777250994899,0.015157,0.995269,-0.127289,0.00277149,-0.0301537,0.0301151,0,0,3.25068,-1
1777250994913,0.0158908,0.995788,-0.12771,0.00286609,-0.0285337,0.0299894,0,0,3.24925,-1
1777250994926,0.0167238,0.99631,-0.128026,0.00286324,-0.0270633,0.029244,0,0,3.24597,-1
1777250994939,0.0171892,0.996883,-0.12833,0.00279426,-0.025687,0.0282835,0,0,3.25051,-1
1777250994953,0.0181599,0.997584,-0.128688,0.0026109,-0.0241868,0.0270487,0,0,3.23808,-1
1777250994966,0.0183114,0.998701,-0.127978,0.00241787,-0.0229467,0.0257274,0,0,3.24597,-1
1777250994979,0.0183578,0.999435,-0.128207,0.00223517,-0.0217023,0.024544,0,0,3.25358,-1
1777250994993,0.0183702,1.00007,-0.1277,0.0021525,-0.0206054,0.0234842,0,0,3.25329,-1
1777250995006,0.0185176,1.0007,-0.127639,0.00225555,-0.0195895,0.0228005,0,0,3.25562,-1
1777250995021,0.0183853,1.0016,-0.127761,0.002599,-0.018427,0.0223625,0,0,4.19831,-1
1777250995035,0.0186326,1.00208,-0.127727,0.00288592,-0.0174433,0.021983,0,0,4.63898,-1
1777250995049,0.0191713,1.00247,-0.127578,0.00333222,-0.0165685,0.0216433,0,0,3.24881,-1
1777250995062,0.0189741,1.00267,-0.128094,0.00369836,-0.0156843,0.0213082,0,0,3.56082,0
1777250995076,0.019094,1.00309,-0.128302,0.00406294,-0.0148267,0.0209093,0,0,3.32849,0
1777250995091,0.0195371,1.00341,-0.12897,0.00451181,-0.01371,0.0201854,0,0,5.67896,0
1777250995105,0.0197228,1.00401,-0.129081,0.00512437,-0.0125036,0.0192751,0,0,3.42694,0
1777250995119,0.0198825,1.00451,-0.129185,0.00613913,-0.0112977,0.0175183,0,0,4.23994,0
1777250995133,0.0206421,1.00483,-0.129807,0.00739214,-0.00973244,0.0149886,0,0,3.45718,0
1777250995146,0.0210723,1.00477,-0.130037,0.00853695,-0.00817093,0.0124118,0,0,3.37249,0
1777250995160,0.0206033,1.00488,-0.129747,0.00966028,-0.0065771,0.010252,0,0,3.46503,0
1777250995173,0.0198959,1.00533,-0.129951,0.0107112,-0.00498755,0.00879349,0,0,3.38192,0
1777250995187,0.019231,1.00523,-0.130997,0.0114321,-0.00332272,0.00798722,0,0,3.47405,0
1777250995201,0.0192063,1.0052,-0.131646,0.0120227,-0.00188812,0.00778796,0,0,3.46044,0
1777250995214,0.0183747,1.00561,-0.132562,0.0124737,-0.00048619,0.00800573,0,0,3.42819,0
1777250995228,0.0181485,1.00551,-0.132187,0.0126198,0.000676629,0.00875867,0,0,3.33242,0
1777250995241,0.017644,1.00545,-0.132917,0.0123883,0.00156293,0.0102447,0,0,3.46629,0
1777250995255,0.0175154,1.00504,-0.133383,0.0119752,0.00238456,0.012264,0,0,3.40366,0
1777250995268,0.0174359,1.00477,-0.133613,0.0115341,0.00289872,0.0145167,0,0,3.33334,0
1777250995282,0.0188131,1.0045,-0.133471,0.0106127,0.00303288,0.0165137,0,0,3.37836,0
1777250995296,0.0184669,1.00523,-0.133724,0.00989986,0.00297357,0.0183308,0,0,3.82642,0
1777250995309,0.0193276,1.0049,-0.133935,0.00937473,0.00269759,0.0199097,0,0,3.46103,4
1777250995323,0.020263,1.00488,-0.133485,0.00886677,0.00222184,0.0209582,0,0,3.4594,4
1777250995336,0.0215583,1.00537,-0.13302,0.00862052,0.00188963,0.0216452,0,0,3.44853,4
1777250995350,0.0226282,1.00496,-0.133242,0.0084443,0.00157208,0.022026,0,0,3.38968,4
1777250995363,0.0232931,1.005,-0.13286,0.00829533,0.00136298,0.0218774,0,0,3.48996,4
1777250995377,0.0230812,1.00562,-0.133573,0.00822365,0.00112277,0.0219221,0,0,3.49071,4
1777250995391,0.0229225,1.00627,-0.133695,0.00805286,0.000879004,0.0224157,0,0,3.52897,4
1777250995404,0.0226354,1.0071,-0.133783,0.0079777,0.000481489,0.0233195,0,0,3.4669,4
1777250995418,0.0223646,1.00791,-0.133975,0.00786814,0.000196689,0.0250784,0,0,3.39951,4
1777250995431,0.0227271,1.00867,-0.133292,0.00800523,-2.90592e-05,0.0271758,0,0,3.44169,4
1777250995445,0.0233024,1.00873,-0.133718,0.00818178,-0.000156197,0.0294937,0,0,3.45738,4
1777250995458,0.0243256,1.0088,-0.133708,0.00854576,-0.000336231,0.0315648,0,0,3.38097,4
1777250995472,0.0256753,1.00831,-0.133548,0.00891494,-0.0004203,0.0328025,0,0,3.49503,4
1777250995486,0.0271134,1.00786,-0.13422,0.00939197,-0.000512495,0.0330997,0,0,3.41334,4
1777250995499,0.027579,1.00718,-0.134964,0.00983353,-0.000728148,0.0332129,0,0,3.50286,4
1777250995513,0.0280732,1.00723,-0.135694,0.0100358,-0.000824456,0.033234,0,0,3.44775,4
1777250995526,0.0285532,1.00703,-0.136162,0.0104282,-0.000773867,0.0331809,0,0,3.51195,4
1777250995540,0.0287595,1.00714,-0.136879,0.0107857,-0.000708978,0.0331695,0,0,3.70562,4
1777250995554,0.0290227,1.00674,-0.137021,0.0110373,-0.000604881,0.0333559,0,0,3.46444,4
1777250995568,0.0303676,1.00709,-0.136977,0.0112534,-0.000369499,0.0330475,0,0,3.45145,4
1777250995581,0.0311161,1.00709,-0.137318,0.0111573,-8.30758e-05,0.0324736,0,0,3.3676,4
1777250995595,0.0320007,1.00702,-0.137723,0.0109595,-1.28586e-06,0.0317606,0,0,3.46934,4
1777250995608,0.0332877,1.00738,-0.138311,0.0106657,-0.000116895,0.0308477,0,0,3.50566,4
1777250995622,0.0339407,1.00761,-0.138701,0.0104441,-0.000247429,0.0297848,0,0,3.48403,4
1777250995636,0.03405,1.00818,-0.13859,0.00996939,-0.000550556,0.028713,0,0,3.53057,4
1777250995649,0.0343998,1.00886,-0.138375,0.00966268,-0.000798103,0.0280998,0,0,3.48251,4
1777250995663,0.0339353,1.01034,-0.138392,0.00920614,-0.00110885,0.0287376,0,0,3.49405,4
1777250995676,0.0320312,1.01402,-0.137723,0.00921642,-0.000772497,0.0312242,0,0,3.42507,4
1777250995690,0.0330832,1.01438,-0.13805,0.00967157,-0.00024087,0.0333571,0,0,3.44375,4
1777250995704,0.035268,1.01403,-0.138112,0.010628,0.000376553,0.0344579,0,0,3.48466,4
1777250995717,0.0364808,1.0138,-0.138568,0.0123102,0.0011392,0.0345119,0,0,3.45894,4
1777250995731,0.039913,1.01448,-0.137519,0.0145832,0.00185047,0.0333208,0,0,3.46431,4
1777250995744,0.0418788,1.01408,-0.13731,0.017157,0.00250469,0.0309075,0,0,3.57068,4
1777250995758,0.0432274,1.01394,-0.137962,0.0199374,0.00281813,0.0279787,0,0,3.36225,4
1777250995771,0.0442675,1.01681,-0.138974,0.0238423,0.00306687,0.0245976,0,0,3.33953,4
