timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,classe_prevista_raw,classe_prevista,delay_ms
1778532599809,0.0153046,0.667377,-0.126019,0.000494141,-0.00575001,0.00494141,91.5475,-1.17365,1.01868,0.0129107,0,0,3.333
1778532599823,0.016,0.800,-0.152,0.001,-0.008,0.005,95.988,-1.079,1.017,0.012,0,0,3.390
1778532599839,0.021,0.859,-0.162,0.001,-0.008,0.005,97.476,-1.358,1.024,0.010,0,0,6.511
1778532599853,0.021,0.891,-0.168,0.000,-0.008,0.006,98.287,-1.288,1.019,0.012,0,0,3.260
1778532599866,0.022,0.912,-0.172,0.000,-0.009,0.006,98.770,-1.346,1.019,0.013,0,0,3.254
1778532599879,0.022,0.926,-0.175,0.000,-0.009,0.006,99.137,-1.326,1.021,0.011,0,0,3.252
1778532599893,0.022,0.936,-0.177,0.000,-0.009,0.006,99.412,-1.281,1.016,0.015,0,0,3.246
1778532599906,0.022,0.943,-0.178,-0.000,-0.009,0.007,99.589,-1.309,1.015,0.012,0,0,3.246
1778532599919,0.022,0.950,-0.180,-0.000,-0.009,0.006,99.769,-1.300,1.025,0.011,0,0,3.245
1778532599933,0.023,0.955,-0.181,-0.000,-0.009,0.006,99.916,-1.325,1.021,0.013,0,0,3.255
1778532599946,0.023,0.960,-0.183,-0.000,-0.009,0.006,100.039,-1.320,1.026,0.010,0,0,3.251
1778532599959,0.023,0.964,-0.183,-0.000,-0.009,0.007,100.124,-1.354,1.022,0.011,0,0,3.258
1778532599973,0.024,0.967,-0.184,-0.000,-0.009,0.007,100.200,-1.402,1.023,0.012,0,0,3.241
1778532599986,0.025,0.970,-0.185,-0.001,-0.009,0.007,100.311,-1.455,1.026,0.011,0,0,3.263
1778532599999,0.025,0.972,-0.186,-0.000,-0.009,0.007,100.381,-1.445,1.017,0.011,0,0,3.257
1778532600013,0.025,0.975,-0.187,-0.001,-0.009,0.007,100.436,-1.495,1.032,0.011,0,0,3.254
1778532600026,0.025,0.977,-0.187,-0.001,-0.009,0.007,100.469,-1.418,1.020,0.012,0,0,3.319
1778532600040,0.024,0.978,-0.187,-0.000,-0.009,0.007,100.495,-1.403,1.017,0.010,0,0,3.257
1778532600053,0.025,0.980,-0.187,-0.000,-0.009,0.006,100.487,-1.412,1.019,0.010,0,0,3.264
1778532600066,0.025,0.981,-0.187,-0.000,-0.009,0.006,100.522,-1.455,1.021,0.011,0,0,3.263
1778532600080,0.026,0.983,-0.187,-0.000,-0.009,0.006,100.523,-1.530,1.022,0.011,0,0,3.257
1778532600093,0.026,0.984,-0.188,0.000,-0.009,0.006,100.586,-1.551,1.022,0.012,0,0,3.255
