timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,classe_prevista_raw,classe_prevista,delay_ms
1777493486803,-0.0397949,0.996582,-0.2854,-3.25191,-2.51908,-2.50382,96.4328,2.00035,1.03741,4.81558,0,0,3.285
1777493486821,-0.048,1.001,-0.287,-2.412,-2.573,-1.756,101.236,2.317,1.042,3.939,0,0,6.250
1777493486835,-0.050,1.000,-0.275,-1.748,-2.244,-0.947,102.798,2.480,1.038,2.998,0,0,3.278
1777493486848,-0.044,0.997,-0.278,-1.405,-1.359,-0.908,103.693,2.473,1.036,2.155,0,0,3.277
1777493486861,-0.041,0.994,-0.273,-1.160,-1.000,-0.427,104.184,2.408,1.031,1.590,0,0,3.274
1777493486875,-0.039,0.990,-0.281,-0.992,-0.595,-0.420,104.657,2.333,1.030,1.231,0,0,3.264
1777493486888,-0.035,0.990,-0.295,-1.008,-0.611,-0.763,105.198,2.227,1.033,1.404,0,0,3.256
1777493486901,-0.024,0.987,-0.287,-1.122,-1.252,-1.496,105.473,1.989,1.028,2.251,0,0,3.244
1777493486915,-0.039,0.990,-0.283,-1.290,-1.901,-1.756,105.609,2.043,1.030,2.891,0,0,3.258
1777493486928,-0.038,0.996,-0.283,-1.076,-2.260,-2.504,105.673,2.053,1.036,3.540,0,0,3.248
1777493486941,-0.037,0.986,-0.287,-0.901,-2.397,-2.687,105.829,2.054,1.028,3.712,0,0,3.258
1777493486955,-0.035,0.984,-0.281,-1.168,-2.664,-2.672,105.864,2.027,1.024,3.950,0,0,3.258
1777493486968,-0.039,0.990,-0.286,-0.718,-3.206,-3.015,105.928,2.062,1.032,4.459,0,0,3.249
1777493486981,-0.049,0.988,-0.273,-0.901,-2.634,-2.237,105.799,2.238,1.026,3.571,0,0,3.305
1777493486995,-0.041,0.990,-0.289,-1.115,-2.840,-1.969,105.927,2.249,1.032,3.631,0,0,3.255
1777493487008,-0.041,0.979,-0.299,-1.298,-3.634,-2.069,106.208,2.262,1.024,4.378,0,0,3.273
1777493487022,-0.039,0.987,-0.279,-1.626,-3.458,-2.252,106.095,2.233,1.026,4.435,0,0,3.261
1777493487035,-0.045,0.980,-0.280,-1.733,-2.962,-2.008,106.046,2.307,1.021,3.976,0,0,3.266
1777493487048,-0.038,0.974,-0.287,-1.931,-2.855,-2.275,106.139,2.260,1.016,4.130,0,0,3.264
1777493487062,-0.042,0.982,-0.281,-2.053,-3.008,-2.466,106.102,2.290,1.022,4.398,0,0,3.259
1777493487075,-0.044,0.989,-0.271,-1.893,-3.191,-2.466,105.888,2.341,1.026,4.455,0,0,3.287
1777493487088,-0.043,0.999,-0.289,-1.565,-2.985,-2.611,105.953,2.355,1.041,4.263,0,0,3.272
1777493487102,-0.053,0.992,-0.275,-1.443,-3.366,-2.183,105.826,2.511,1.031,4.264,0,0,3.272
1777493487115,-0.054,0.996,-0.286,-1.496,-2.962,-1.863,105.879,2.642,1.037,3.805,0,0,3.270
1777493487128,-0.045,0.990,-0.280,-1.275,-2.969,-1.779,105.858,2.611,1.030,3.689,0,0,3.259
1777493487142,-0.050,1.004,-0.265,0.565,-2.603,-2.015,105.568,2.655,1.039,3.340,0,0,3.272
1777493487155,-0.054,0.990,-0.284,0.290,-2.099,-1.534,105.690,2.744,1.031,2.616,0,0,3.260
1777493487169,-0.034,0.981,-0.293,-0.206,-2.779,-2.099,105.946,2.512,1.025,3.489,0,0,3.295
1777493487182,-0.053,0.984,-0.282,-0.718,-3.038,-2.550,105.960,2.634,1.025,4.031,0,0,3.263
1777493487195,-0.047,0.982,-0.275,-1.023,-3.290,-2.611,105.879,2.629,1.021,4.323,1,1,3.995
1777493487209,-0.048,0.981,-0.266,-1.130,-3.985,-3.061,105.686,2.647,1.017,5.150,1,1,3.278
1777493487223,-0.059,0.998,-0.269,-1.061,-3.618,-2.893,105.526,2.809,1.035,4.753,1,1,3.280
1777493487236,-0.078,1.002,-0.275,-1.198,-3.611,-2.427,105.483,3.204,1.042,4.513,1,1,3.284
1777493487250,-0.097,1.000,-0.263,-0.710,-3.053,-1.473,105.283,3.785,1.039,3.464,1,1,3.262
1777493487263,-0.088,0.999,-0.266,-0.351,-1.740,-0.313,105.188,4.079,1.037,1.803,4,1,3.962
1777493487277,-0.076,0.982,-0.270,-0.137,-1.267,0.565,105.230,4.132,1.022,1.394,4,1,3.266
1777493487290,-0.067,0.987,-0.269,-0.115,-0.366,1.191,105.232,4.034,1.025,1.251,4,1,3.274
1777493487304,-0.053,0.979,-0.276,0.069,-0.611,1.405,105.368,3.754,1.019,1.533,4,1,3.259
1777493487317,-0.053,0.989,-0.278,-0.092,-0.641,1.260,105.451,3.537,1.029,1.416,4,1,3.252
1777493487330,-0.058,0.991,-0.272,0.206,-0.855,1.389,105.425,3.459,1.030,1.644,1,1,3.908
1777493487344,-0.053,0.991,-0.278,0.656,-1.191,1.511,105.490,3.324,1.030,2.033,1,1,3.262
1777493487358,-0.054,0.988,-0.278,1.229,-0.878,1.641,105.548,3.239,1.028,2.230,1,1,3.284
1777493487371,-0.051,0.985,-0.283,1.802,-0.901,1.847,105.680,3.130,1.026,2.733,1,1,3.261
1777493487385,-0.035,0.987,-0.279,2.305,-1.115,1.206,105.700,2.807,1.026,2.830,1,1,3.270
1777493487398,-0.042,0.995,-0.286,2.916,-1.214,1.183,105.787,2.684,1.036,3.373,1,1,3.888
1777493487412,-0.054,0.988,-0.291,3.595,-1.740,1.405,105.958,2.766,1.031,4.234,1,1,3.249
1777493487425,-0.053,0.985,-0.280,4.427,-1.733,1.618,105.937,2.815,1.026,5.022,1,1,3.264
1777493487439,-0.063,0.991,-0.283,5.427,-1.679,2.229,105.943,3.003,1.033,6.103,1,1,3.256
1777493487452,-0.055,1.005,-0.279,6.489,-2.412,1.366,105.821,3.013,1.044,7.056,1,1,3.259
1777493487465,-0.057,1.015,-0.276,7.939,-3.519,-0.496,105.661,3.035,1.054,8.698,1,1,3.884
1777493487479,-0.041,1.026,-0.279,10.282,-4.802,-3.809,105.545,2.812,1.064,11.971,1,1,3.259
1777493487493,-0.069,1.050,-0.272,13.427,-5.679,-6.321,105.273,3.034,1.087,15.890,1,1,3.267
1777493487506,-0.073,1.054,-0.265,16.099,-5.519,-6.649,104.956,3.248,1.090,18.272,1,1,3.265
1777493487519,-0.084,1.068,-0.270,20.832,-4.992,-5.794,104.749,3.545,1.105,22.192,1,1,3.284
1777493487533,-0.144,1.081,-0.291,24.603,-3.603,-3.893,104.828,4.568,1.129,25.168,4,1,3.930
1777493487547,-0.123,1.087,-0.295,29.802,-1.908,-1.603,104.925,5.018,1.133,29.906,4,1,3.276
1777493487560,-0.111,1.084,-0.280,35.397,-0.756,3.344,104.799,5.190,1.125,35.563,4,1,3.274
1777493487574,-0.090,1.083,-0.311,36.779,4.282,0.794,105.131,5.026,1.130,37.036,4,1,3.254
1777493487587,-0.124,1.117,-0.314,37.748,14.565,-12.893,105.288,5.320,1.167,42.465,4,1,3.274
1777493487600,-0.087,1.015,-0.238,33.046,23.527,-126.878,104.715,5.174,1.046,133.205,4,1,3.922
1777493487614,-0.017,1.347,-0.352,38.137,41.519,11.771,104.697,3.963,1.393,57.592,4,1,3.278
1777493487628,0.022,0.908,-0.416,51.519,22.153,-31.244,107.370,2.544,0.999,64.196,4,1,3.273
1777493487641,-0.214,1.225,-0.310,51.603,31.847,-22.832,106.518,4.458,1.282,64.795,4,1,3.269
1777493487655,-0.050,1.066,-0.330,52.237,36.901,-21.183,106.700,3.951,1.117,67.373,4,1,3.269
1777493487668,-0.006,1.090,-0.360,55.046,30.802,-23.473,107.123,2.963,1.147,67.304,4,1,3.916
1777493487682,-0.025,1.023,-0.372,55.473,27.168,-23.092,107.889,2.520,1.089,65.944,4,1,3.293
1777493487695,-0.019,1.026,-0.402,54.038,25.893,-25.458,108.834,2.100,1.102,65.105,4,1,3.263
1777493487710,-0.023,1.035,-0.425,55.634,17.573,-25.420,109.772,1.846,1.119,63.640,4,1,4.178
1777493487723,-0.020,1.000,-0.429,55.183,11.779,-24.702,110.704,1.632,1.088,61.596,4,1,3.267
1777493487736,-0.075,0.913,-0.352,51.496,7.908,-23.756,110.802,2.382,0.982,57.260,4,4,3.945
1777493487750,-0.080,0.862,-0.275,43.557,14.092,-15.595,109.958,3.109,0.908,48.363,4,4,3.271
1777493487764,-0.129,0.859,-0.213,36.275,10.260,-14.649,108.329,4.516,0.895,40.444,4,4,3.262
1777493487778,-0.253,0.703,-0.218,12.779,50.992,-3.191,108.038,8.424,0.778,52.666,4,4,4.541
1777493487792,-0.235,0.431,0.203,-19.687,40.618,12.962,96.361,13.247,0.531,46.962,4,4,3.268
1777493487806,0.218,1.016,0.087,-8.191,30.336,-0.053,93.318,6.404,1.043,31.422,4,4,4.860
1777493487820,-0.038,0.715,0.091,-29.389,45.031,11.191,90.459,5.481,0.721,54.925,4,4,3.273
1777493487834,-0.115,0.740,0.124,-43.878,42.443,12.504,87.761,6.349,0.759,62.314,4,4,3.257
1777493487847,-0.093,0.785,0.064,-53.580,45.397,11.794,87.108,6.447,0.793,71.210,4,4,3.273
1777493487860,-0.044,0.798,0.037,-64.779,40.351,13.282,87.179,5.561,0.800,77.466,4,4,3.261
1777493487874,-0.029,0.869,0.027,-72.076,29.580,10.412,87.463,4.567,0.870,78.603,5,4,4.054
1777493487888,-0.025,0.872,0.021,-77.420,14.061,5.282,87.768,3.770,0.873,78.863,5,4,3.265
1777493487902,-0.032,0.904,0.015,-81.649,-1.122,1.603,88.116,3.295,0.904,81.672,5,4,3.277
1777493487915,-0.063,0.906,-0.001,-85.725,-12.985,-2.557,88.641,3.484,0.908,86.741,5,4,3.264
1777493487929,-0.072,0.930,-0.014,-91.878,-23.840,-6.733,89.244,3.730,0.933,95.159,5,4,3.254
1777493487942,-0.062,1.011,-0.042,-94.649,-31.031,-7.771,90.098,3.677,1.014,99.908,5,4,3.956
