timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,classe_prevista_raw,classe_prevista,delay_ms
1777577043702,-0.0195312,0.938232,-0.488037,-0.000610687,-0.309924,0.258397,106.811,0.961922,1.05775,0.403512,0,0,3.260
1777577043715,-0.021,0.944,-0.485,-0.038,-0.017,-0.040,111.793,1.050,1.062,0.057,0,0,3.281
1777577043728,-0.023,0.948,-0.493,-0.033,-0.014,-0.007,113.660,1.118,1.069,0.036,0,0,3.258
1777577043742,-0.021,0.954,-0.495,-0.025,-0.013,-0.001,114.613,1.125,1.075,0.028,0,0,3.258
1777577043755,-0.047,0.965,-0.486,-0.006,-0.009,0.013,115.054,1.408,1.082,0.017,0,0,3.261
1777577043768,-0.049,0.956,-0.486,0.004,0.001,0.017,115.393,1.620,1.073,0.018,0,0,3.246
1777577043782,-0.149,1.127,-0.467,0.044,0.043,-0.013,114.932,2.467,1.229,0.063,0,0,3.252
1777577043795,-0.044,0.990,-0.480,0.077,0.058,0.021,115.068,2.445,1.101,0.098,0,0,3.252
1777577043808,-0.096,0.956,-0.491,0.099,0.079,0.034,115.355,2.799,1.079,0.132,0,0,3.252
1777577043822,-0.170,0.939,-0.499,0.112,0.131,0.021,115.686,3.587,1.077,0.173,0,0,3.250
1777577043835,-0.212,0.936,-0.525,0.112,0.196,0.005,116.115,4.496,1.094,0.226,0,0,3.254
1777577043849,-0.239,0.916,-0.508,0.113,0.277,-0.032,116.444,5.455,1.074,0.301,0,0,3.507
1777577043862,-0.264,0.912,-0.497,0.109,0.385,-0.099,116.681,6.434,1.072,0.412,0,0,3.249
1777577043875,-0.282,0.865,-0.541,0.079,0.488,-0.122,117.256,7.407,1.059,0.509,0,0,3.267
1777577043889,-0.240,0.854,-0.574,0.056,0.575,-0.137,117.954,8.009,1.057,0.594,0,0,3.253
1777577043902,-0.270,0.830,-0.578,0.005,0.669,-0.127,118.669,8.727,1.046,0.681,0,0,3.257
1777577043915,-0.343,0.844,-0.620,-0.039,0.789,-0.220,119.446,9.688,1.102,0.820,0,0,3.254
1777577043929,-0.116,0.961,-0.792,0.013,0.783,-0.454,120.460,9.249,1.251,0.905,0,0,3.268
1777577043942,0.071,0.835,-0.890,0.102,0.562,-0.437,122.088,7.995,1.222,0.719,0,0,3.255
1777577043955,0.179,0.809,-0.920,0.131,0.202,-0.225,123.728,6.383,1.238,0.330,0,0,3.258
1777577043969,0.180,0.737,-0.939,0.137,-0.209,-0.164,125.510,4.914,1.207,0.299,0,0,3.250
1777577043982,-0.032,0.690,-0.970,0.108,-0.512,-0.222,127.371,4.586,1.191,0.569,0,0,3.242
1777577043995,-0.156,0.736,-0.934,0.056,-0.668,-0.079,128.771,4.869,1.200,0.675,0,0,3.248
1777577044009,-0.174,0.868,-0.916,0.099,-0.765,0.024,129.520,5.158,1.274,0.772,0,0,3.245
1777577044022,-0.242,0.899,-0.955,0.214,-0.803,0.055,130.213,5.669,1.334,0.832,0,0,3.257
1777577044035,-0.247,0.875,-0.959,0.323,-0.810,0.045,130.926,6.159,1.322,0.873,0,0,3.260
1777577044049,-0.182,0.876,-0.976,0.415,-0.828,0.022,131.612,6.326,1.324,0.926,0,0,3.611
1777577044062,-0.079,0.899,-0.958,0.523,-0.871,0.030,132.111,6.049,1.316,1.017,0,0,3.248
1777577044076,-0.013,0.875,-0.931,0.611,-0.930,0.113,132.556,5.528,1.278,1.118,0,0,3.240
1777577044089,0.024,0.847,-0.865,0.646,-0.975,0.231,132.846,4.890,1.210,1.192,4,4,3.899
1777577044103,0.039,0.899,-0.814,0.688,-0.998,0.266,132.779,4.246,1.214,1.241,4,4,3.240
1777577044116,0.028,0.902,-0.758,0.732,-0.986,0.208,132.517,3.710,1.179,1.246,4,4,3.255
1777577044130,0.043,0.892,-0.712,0.760,-0.931,0.139,132.141,3.148,1.142,1.209,4,4,3.240
1777577044143,0.086,0.885,-0.658,0.763,-0.865,0.134,131.616,2.421,1.107,1.161,4,4,3.237
1777577044156,0.150,0.854,-0.589,0.749,-0.805,0.137,130.950,1.407,1.048,1.108,4,4,3.828
1777577044170,0.177,0.828,-0.538,0.714,-0.743,0.129,130.195,0.307,1.003,1.039,4,4,3.242
