timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista,tempo_s,Fase,Classe_Prevista
1774389180948,0.0374474,0.656631,-0.189516,3.3713e-14,-2.4550600000000004e-13,2.1073600000000003e-13,3.28544,-1,0.0,0,
1774389180961,0.0435744,0.787795,-0.2255,1.8318700000000005e-14,-1.44645e-13,1.0979100000000003e-13,3.27889,-1,0.013,0,
1774389180975,0.0460644,0.845853,-0.2427,1.2658200000000004e-14,-1.0360000000000002e-13,7.803180000000003e-14,3.42922,-1,0.027,0,
1774389180989,0.0482175,0.87632,-0.252934,9.133700000000002e-15,-8.207110000000003e-14,6.10375e-14,3.28439,-1,0.041,0,
1774389181003,0.049952,0.89671,-0.258114,7.150210000000001e-15,-6.85171e-14,5.06143e-14,3.63421,-1,0.055,0,
1774389181016,0.0514641,0.910683,-0.261828,5.864190000000001e-15,-5.858920000000001e-14,4.346140000000001e-14,3.24368,-1,0.068,0,
1774389181030,0.0523427,0.921508,-0.264294,5.0012900000000005e-15,-5.1467600000000004e-14,3.8148000000000013e-14,3.2682,-1,0.082,0,
1774389181043,0.0510768,0.929794,-0.266726,4.21475e-15,-4.6151300000000003e-14,3.396960000000001e-14,3.24539,-1,0.095,0,
1774389181056,0.051557,0.935586,-0.268143,3.769880000000001e-15,-4.1928900000000007e-14,3.0735800000000015e-14,3.27065,-1,0.108,0,
1774389181070,0.0519972,0.941213,-0.269593,3.2293700000000003e-15,-3.862920000000001e-14,2.80763e-14,3.33183,3,0.122,0,
1774389181084,0.0525685,0.946049,-0.271094,2.93205e-15,-3.610230000000001e-14,2.5732800000000002e-14,3.91065,1,0.136,0,
1774389181097,0.0528384,0.949667,-0.272299,2.8298500000000004e-15,-3.365590000000001e-14,2.38455e-14,3.29609,1,0.149,0,
1774389181111,0.05255,0.95255,-0.273272,2.6082100000000002e-15,-3.1699599999999996e-14,2.2254700000000006e-14,3.28991,1,0.163,0,
1774389181124,0.0528855,0.955353,-0.27404,2.4350100000000005e-15,-2.993840000000001e-14,2.0988900000000003e-14,3.32322,1,0.176,0,
1774389181138,0.0527307,0.958332,-0.275253,2.36852e-15,-2.8412200000000004e-14,1.9787500000000002e-14,3.29439,1,0.19,0,
1774389181151,0.0525251,0.960178,-0.27588,2.2862400000000006e-15,-2.7073500000000006e-14,1.8618900000000006e-14,3.30474,1,0.203,0,
1774389181164,0.0525721,0.962072,-0.276341,2.28085e-15,-2.5726900000000004e-14,1.7639100000000002e-14,3.30966,1,0.216,0,
1774389181178,0.0529945,0.963756,-0.276643,2.3804200000000013e-15,-2.4523400000000006e-14,1.6776100000000004e-14,3.57065,1,0.23,0,
1774389181192,0.0532843,0.96537,-0.276901,2.30994e-15,-2.3581100000000003e-14,1.59861e-14,3.30387,1,0.244,0,
1774389181207,0.0533992,0.966718,-0.276928,2.365980000000001e-15,-2.2584900000000005e-14,1.5300300000000004e-14,3.33589,1,0.259,0,
1774389181221,0.0535041,0.967487,-0.277169,2.35069e-15,-2.17686e-14,1.4654700000000002e-14,3.28592,5,0.273,0,
1774389181234,0.0533755,0.968177,-0.277558,2.4018100000000003e-15,-2.08862e-14,1.4219000000000002e-14,3.30724,1,0.286,0,
1774389181247,0.0535316,0.968964,-0.278219,2.3453600000000003e-15,-2.01544e-14,1.3671100000000002e-14,3.28666,5,0.299,0,
1774389181261,0.053622,0.969744,-0.278788,2.3079000000000003e-15,-1.9485100000000003e-14,1.3171199999999999e-14,3.82878,5,0.313,0,
1774389181275,0.0535346,0.970902,-0.279066,2.16805e-15,-1.8809300000000007e-14,1.2785900000000001e-14,3.31661,5,0.327,0,
1774389181288,0.0534793,0.971939,-0.279065,2.1425200000000003e-15,-1.82875e-14,1.2481000000000004e-14,3.29631,5,0.34,0,
1774389181302,0.0537076,0.972828,-0.278874,2.0346600000000006e-15,-1.7892100000000004e-14,1.22122e-14,3.83437,5,0.354,0,
1774389181316,0.0536952,0.973446,-0.279259,1.9297400000000005e-15,-1.74781e-14,1.1776900000000002e-14,3.29622,5,0.368,0,
1774389181329,0.0538938,0.974197,-0.279693,1.8549900000000006e-15,-1.70742e-14,1.1495600000000002e-14,3.29294,5,0.381,0,
1774389181342,0.0538114,0.97462,-0.279954,1.83084e-15,-1.6565300000000006e-14,1.12103e-14,3.29779,5,0.394,0,
1774389181356,0.0537823,0.975211,-0.279922,1.7947e-15,-1.6216800000000004e-14,1.08534e-14,3.35905,5,0.408,0,
1774389181370,0.0539102,0.975241,-0.280512,1.7519200000000003e-15,-1.5791900000000003e-14,1.0573700000000002e-14,3.30852,5,0.422,2,2.0
1774389181383,0.0540188,0.975719,-0.280749,1.5865799999999998e-15,-1.5358400000000004e-14,1.0311900000000003e-14,3.29202,1,0.435,2,2.0
1774389181396,0.0540157,0.976017,-0.280831,1.5519100000000002e-15,-1.5032500000000004e-14,1.00755e-14,3.40583,1,0.448,2,2.0
1774389181410,0.0543733,0.976485,-0.280851,1.4617600000000001e-15,-1.47756e-14,9.800580000000003e-15,3.44565,5,0.462,2,2.0
1774389181424,0.0543767,0.97672,-0.280766,1.4257700000000003e-15,-1.44507e-14,9.573590000000001e-15,3.2937,1,0.476,2,2.0
1774389181437,0.0542536,0.977378,-0.281133,1.3875699999999998e-15,-1.4119200000000003e-14,9.329630000000002e-15,3.2997,1,0.489,2,2.0
1774389181450,0.0543993,0.977784,-0.281446,1.39557e-15,-1.3807700000000004e-14,9.13995e-15,3.30431,5,0.502,2,2.0
1774389181464,0.0544127,0.978056,-0.281596,1.3987100000000002e-15,-1.3602500000000004e-14,8.887230000000004e-15,3.30204,5,0.516,2,2.0
1774389181477,0.0544705,0.978709,-0.281478,1.4147700000000001e-15,-1.33659e-14,8.61028e-15,3.32393,5,0.529,2,2.0
1774389181492,0.0541662,0.978666,-0.281771,1.4473000000000007e-15,-1.3265200000000003e-14,8.415090000000001e-15,4.22677,5,0.544,2,2.0
1774389181507,0.0539889,0.978771,-0.281468,1.55185e-15,-1.3135700000000002e-14,8.344470000000002e-15,5.12291,1,0.559,2,2.0
1774389181522,0.0541098,0.979227,-0.28148,1.61121e-15,-1.2887900000000002e-14,8.18681e-15,4.16458,5,0.574,2,2.0
