timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista
1771446632478,0.013188,0.676495,-0.194075,0.881002,-0.01762,-0.311287,0,0,3.25689,-1
1771446632492,0.0197423,0.806547,-0.231755,1.44531,-0.192952,-0.594861,0,0,3.25702,-1
1771446632505,0.020593,0.866651,-0.246738,1.86853,-0.38101,-1.02136,0,0,3.25646,-1
1771446632518,0.0202453,0.899243,-0.257709,2.32788,-0.503557,-1.18011,0,0,3.25746,-1
1771446632532,0.0199784,0.918602,-0.265252,2.5769,-0.673008,-1.31328,0,0,3.27869,-1
1771446632545,0.0206374,0.931744,-0.271298,2.78912,-0.785537,-1.43098,0,0,3.63232,-1
1771446632559,0.0186077,0.939073,-0.274677,3.08977,-0.979413,-1.56951,0,0,3.58765,-1
1771446632573,0.0140329,0.94521,-0.277869,3.27463,-1.02991,-1.69005,0,0,3.29759,-1
1771446632586,0.0111589,0.953589,-0.280726,3.55551,-1.03619,-1.63122,0,0,3.26939,-1
1771446632599,0.00852324,0.957445,-0.283916,3.81542,-0.998945,-1.42874,0,0,3.34965,5
1771446632617,0.00795445,0.959689,-0.286818,3.95626,-0.989973,-1.26825,0,0,7.27043,5
1771446632630,0.00696286,0.960777,-0.289759,4.15253,-0.970336,-1.06176,0,0,3.26615,5
1771446632643,0.00543304,0.96087,-0.292021,4.26111,-0.928708,-0.89281,0,0,3.25932,5
1771446632657,0.00246165,0.962444,-0.293569,4.24632,-0.781016,-0.701576,0,0,3.30043,5
1771446632670,0.00287319,0.966769,-0.293938,4.32301,-0.654555,-0.494232,0,0,3.26933,5
1771446632684,0.002517,0.970938,-0.295156,4.51641,-0.501597,-0.294346,0,0,3.3167,5
1771446632697,0.00269286,0.974032,-0.295387,4.75743,-0.358971,-0.108741,0,0,3.29441,5
1771446632710,0.00186873,0.976397,-0.296244,5.08698,-0.222142,0.0749119,0,0,3.28628,5
1771446632724,0.00054254,0.976178,-0.29815,5.43001,-0.059024,0.289936,0,0,3.26578,5
1771446632737,0.000865572,0.974867,-0.300149,5.65108,0.0775473,0.534147,0,0,3.2667,5
1771446632751,0.00064146,0.973799,-0.302566,5.81791,0.198998,0.841564,0,0,3.31363,5
1771446632764,0.00105407,0.971626,-0.30405,5.92102,0.290629,1.15901,0,0,3.25478,5
1771446632777,-0.000747456,0.969475,-0.306062,5.90445,0.410738,1.4634,0,0,3.26713,5
1771446632791,-0.00101515,0.970617,-0.306765,5.90567,0.533524,1.78506,0,0,3.25513,5
1771446632804,0.00263333,0.971148,-0.308364,5.9422,0.620167,2.14729,0,0,3.30589,5
1771446632817,0.00642434,0.970982,-0.310316,5.93585,0.524577,2.40947,0,0,3.34185,5
1771446632831,0.00855705,0.970294,-0.311777,5.915,0.391445,2.51438,0,0,3.27465,5
1771446632844,0.00890724,0.971605,-0.312804,5.95535,0.126411,2.56978,0,0,3.28295,5
1771446632858,0.00563865,0.974328,-0.313741,6.03151,0.0816132,2.54882,0,0,3.26415,5
1771446632871,0.00895709,0.977002,-0.314557,6.17363,0.0694502,2.55297,0,0,3.28182,5
1771446632885,0.118099,0.978561,-0.314878,6.2362,0.0404387,2.31108,0,0,3.62693,3
1771446632899,0.0251508,0.98232,-0.314272,6.44857,-0.162592,1.69935,0,0,3.7218,5
1771446632913,0.0278706,0.988333,-0.313193,7.16328,-0.471656,0.784902,0,0,4.16895,5
1771446632927,0.0280798,0.994801,-0.313101,8.11832,-0.861408,-0.110115,0,0,3.72341,5
1771446632942,0.0242302,1.00332,-0.312526,9.17788,-1.16034,-0.728943,0,0,3.30996,5
1771446632955,0.0192746,1.01417,-0.310793,10.5361,-1.4351,-0.964612,0,0,3.28496,5
1771446632968,0.00967651,1.02702,-0.307949,12.3634,-1.4056,-1.01244,0,0,3.2898,2
1771446632983,0.00136012,1.04305,-0.302633,14.9413,-1.08119,-0.870833,0,0,4.98909,5
1771446632997,-0.0044156,1.06077,-0.298025,18.3458,-0.535071,-0.643619,0,0,3.29609,5
1771446633010,-0.0076623,1.08004,-0.293754,22.4596,0.188541,-0.749157,0,0,3.29113,5
1771446633024,-0.0120129,1.10247,-0.288286,27.5232,1.27716,-1.40707,0,0,3.496,2
1771446633037,-0.0202698,1.12755,-0.283057,33.6766,2.78486,-2.5677,0,0,3.27848,5
1771446633051,-0.0386383,1.15597,-0.277831,40.8041,5.26711,-4.56518,0,0,3.72756,5
1771446633065,-0.0641046,1.18762,-0.273605,49.2072,9.03481,-7.6635,0,0,3.29185,5
1771446633079,-0.0917399,1.22546,-0.265902,58.7486,14.2899,-11.8067,0,0,4.50472,2
1771446633093,-0.120503,1.26717,-0.257501,69.5896,21.4749,-17.1411,0,0,3.30389,5
1771446633106,-0.143187,1.30332,-0.245081,79.8055,30.3216,-24.7691,0,0,3.28732,5
1771446633119,-0.153698,1.35374,-0.232724,89.4342,39.9612,-33.9674,0,0,3.33572,5
1771446633133,-0.144994,1.41302,-0.226354,98.5108,49.334,-40.9249,0,0,3.81389,5
1771446633147,-0.122428,1.45093,-0.210073,107.068,57.9696,-45.3893,0,0,3.32532,5
1771446633160,-0.0942637,1.46966,-0.183555,115.137,65.2722,-49.0761,0,0,3.29439,5
1771446633174,-0.039153,1.47644,-0.134647,122.747,70.5667,-52.1962,0,0,3.71269,3
1771446633187,0.0300569,1.46297,-0.14547,129.923,71.8099,-54.6365,0,0,3.29806,3
1771446633201,0.0937488,1.41025,-0.143541,136.692,70.0006,-57.1931,0,0,3.30211,3
1771446633214,0.165956,1.35923,-0.150441,143.077,64.2253,-58.5989,0,0,3.29061,3
1771446633228,0.201905,1.29113,-0.158747,146.644,56.703,-57.0267,0,0,3.28222,3
1771446633242,0.226249,1.23028,-0.162072,145.111,48.2577,-54.2729,0,0,3.31408,5
1771446633255,0.239961,1.16019,-0.163801,139.854,40.9534,-52.4767,0,0,3.30522,5
1771446633269,0.247263,1.08226,-0.162745,130.742,35.325,-53.1365,0,0,3.75317,3
1771446633282,0.255314,1.0122,-0.156306,118.714,31.3872,-56.7802,0,0,3.376,3
1771446633296,0.265082,0.945995,-0.143803,105.157,28.4903,-62.2117,0,0,3.26298,3
1771446633309,0.272702,0.88309,-0.127461,89.6762,26.0226,-67.2036,0,0,3.27617,3
1771446633323,0.279013,0.827997,-0.109268,71.6227,23.6824,-69.6199,0,0,3.26022,3
1771446633336,0.286386,0.781712,-0.0902639,53.5522,21.5807,-68.9656,0,0,3.29867,3
1771446633349,0.29022,0.74188,-0.0691316,36.4989,20.1378,-65.606,0,0,3.26445,3
1771446633363,0.295901,0.708865,-0.0458584,20.4051,19.554,-60.517,0,0,3.33363,3
1771446633376,0.298873,0.684804,-0.0181681,5.21648,19.9879,-54.6905,0,0,3.27183,3
1771446633389,0.306818,0.679185,0.00994586,-9.11804,21.263,-49.6029,0,0,3.26367,3
1771446633403,0.31708,0.681598,0.0333946,-22.6467,22.885,-45.247,0,0,3.27769,3
1771446633416,0.329354,0.691427,0.0527195,-35.4151,24.4982,-41.2344,0,0,3.28185,3
1771446633430,0.341492,0.709585,0.0654477,-47.466,25.8733,-36.8856,0,0,3.38309,3
1771446633444,0.352783,0.735457,0.073651,-58.8399,26.8314,-31.747,0,0,3.69911,3
1771446633457,0.368394,0.772618,0.0782265,-69.5749,27.1729,-25.9079,0,0,3.68317,3
